i,j,steps,acidgas_Fv,acidgas_CO2,acidgas_H2O,acidgas_H2S,acidgas_T,acidgas_P,air_m3,air_SP_m3,second_air2,air2_SP,COG,COG_SP,burner_input_T_SP,burner_input_T_PV,burner_inputP,burner_output_T_SP,burner_output_T_PV,burner_output_P_SP,burner_output_P_PV,fur_F,fur_inputT,fur_inputP,fur_temp,fur_outputT,fur_outputP_SP,fur_outputP_PV,WHB_F,WHB_inputT,WHB_inputP,WHB_outputT,WHB_outputP,SEP1_F,SEP1_P_SP,SEP1_P_PV,SEP1_T,HEATER1_F,HEATER1_input_T,HEATER1_input_P,HEATER1_output_T_SP,HEATER1_output_T_PV,HEATER1_output_P,cat1_F,cat1_input_temp,cat1_output_temp,cat1_input_P,cat1_output_P_SP,cat1_output_P_PV,cat1_deltaP,SEP2_F,SEP2_P_SP,SEP2_P_PV,SEP2_T,HEATER2_F,HEATER2_input_T,HEATER2_input_P,HEATER2_output_T_SP,HEATER2_output_T_PV,HEATER2_output_P,cat2_F,cat2_input_temp,cat2_output_temp,cat2_input_P,cat2_output_P_SP,cat2_output_P_PV,cat2_deltaP,SEP3_F,SEP3_P_SP,SEP3_P_PV,SEP3_T,B35_H2S,B35_SO2,ratio,ratioSP,conv
0.0,0.0,0.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190.0,25.50727255,24.02452686,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,114.0000404,251.8807806,114.0000404,1.420144389,223.9751377,223.9751377,1.419502153,251.8807806,223.9751377,262.7290422,1.419362583,1.411445,1.411445,7.917582583,249.9995744,1.361375,1.361375,42.81390257,163.7756723,42.81390257,1.259985521,155,154.9999999,1.419502153,163.7756723,154.9999999,217.579187,1.259759659,1.251615,1.251615,8.144659006,161.8770044,1.200915,1.200915001,91.04731221,0.009200768,0.000669927,13.73398227,2.045433029,0.971320231
0.0,1.0,1.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190.0,25.50727255,24.02452686,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069317,1.521193381,273.1139313,1.520795,1.520795,114.0000398,251.8807809,114.0000398,1.420144389,223.975137,223.975137,1.419502153,251.8807809,223.975137,262.7290411,1.419362583,1.411445,1.411445,7.917582583,249.9995747,1.361375,1.361375,42.81390262,163.7756724,42.81390262,1.259985521,155,154.9999999,1.419502153,163.7756724,154.9999999,217.5791874,1.259759659,1.251615,1.251615,8.144659027,161.8770046,1.200915,1.200915001,91.0473204,0.009200768,0.000669927,13.73398189,2.045433029,0.971320231
0.0,2.0,2.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190.0,25.50727256,24.02452686,599.9999588,599.9999587,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876912,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,114.0000392,251.8807811,114.0000392,1.420144389,223.9751363,223.9751363,1.419502153,251.8807811,223.9751363,262.7290401,1.419362583,1.411445,1.411445,7.917582583,249.999575,1.361375,1.361375,42.81390268,163.7756726,42.81390268,1.259985521,155,154.9999999,1.419502153,163.7756726,154.9999999,217.5791878,1.259759659,1.251615,1.251615,8.144659047,161.8770047,1.200915,1.200915001,91.04732859,0.009200768,0.000669927,13.73398151,2.045433029,0.97132023
0.0,3.0,3.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190.0,25.50727255,24.02452686,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,114.0000386,251.8807814,114.0000386,1.420144389,223.9751356,223.9751356,1.419502153,251.8807814,223.9751356,262.7290391,1.419362583,1.411445,1.411445,7.917582582,249.9995753,1.361375,1.361375,42.81390274,163.7756728,42.81390274,1.259985522,155,154.9999999,1.419502153,163.7756728,154.9999999,217.5791881,1.259759659,1.251615,1.251615,8.144659067,161.8770049,1.200915,1.200915001,91.04733677,0.009200768,0.000669927,13.73398113,2.045433029,0.97132023
0.0,4.0,4.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190.0,25.50727255,24.02452686,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069317,1.521193381,273.1139313,1.520795,1.520795,114.000038,251.8807817,114.000038,1.420144389,223.9751349,223.9751349,1.419502153,251.8807817,223.9751349,262.729038,1.419362583,1.411445,1.411445,7.917582582,249.9995756,1.361375,1.361375,42.8139028,163.7756729,42.8139028,1.259985522,155,154.9999999,1.419502153,163.7756729,154.9999999,217.5791885,1.259759659,1.251615,1.251615,8.144659087,161.877005,1.200915,1.200915001,91.04734496,0.009200768,0.000669927,13.73398075,2.045433029,0.97132023
0.0,5.0,5.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190.0,25.50727256,24.02452686,599.9999588,599.9999587,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876912,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,114.0000374,251.880782,114.0000374,1.420144389,223.9751342,223.9751342,1.419502153,251.880782,223.9751342,262.729037,1.419362583,1.411445,1.411445,7.917582581,249.9995759,1.361375,1.361375,42.81390285,163.7756731,42.81390285,1.259985522,155,154.9999999,1.419502153,163.7756731,154.9999999,217.5791889,1.259759659,1.251615,1.251615,8.144659107,161.8770052,1.200915,1.200915001,91.04735314,0.009200769,0.000669927,13.73398037,2.045433029,0.97132023
0.0,6.0,6.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190.0,25.50727255,24.02452686,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,114.0000368,251.8807822,114.0000368,1.420144389,223.9751335,223.9751335,1.419502153,251.8807822,223.9751335,262.7290359,1.419362583,1.411445,1.411445,7.917582581,249.9995762,1.361375,1.361375,42.81390291,163.7756732,42.81390291,1.259985522,155,154.9999999,1.419502153,163.7756732,154.9999999,217.5791892,1.259759659,1.251615,1.251615,8.144659128,161.8770053,1.200915,1.200915001,91.04736133,0.009200769,0.000669927,13.73398,2.045433029,0.97132023
0.0,7.0,7.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190.0,25.50727255,24.02452686,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069317,1.521193381,273.1139313,1.520795,1.520795,114.0000362,251.8807825,114.0000362,1.420144389,223.9751328,223.9751328,1.419502153,251.8807825,223.9751328,262.7290349,1.419362583,1.411445,1.411445,7.917582581,249.9995765,1.361375,1.361375,42.81390297,163.7756734,42.81390297,1.259985522,155,154.9999999,1.419502153,163.7756734,154.9999999,217.5791896,1.259759659,1.251615,1.251615,8.144659148,161.8770055,1.200915,1.200915001,91.04736951,0.009200769,0.000669927,13.73397962,2.045433029,0.971320229
0.0,8.0,8.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190.0,25.50727256,24.02452686,599.9999588,599.9999587,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876912,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,114.0000356,251.8807828,114.0000356,1.420144389,223.9751321,223.9751321,1.419502153,251.8807828,223.9751321,262.7290338,1.419362583,1.411445,1.411445,7.91758258,249.9995768,1.361375,1.361375,42.81390302,163.7756736,42.81390302,1.259985522,155,154.9999999,1.419502153,163.7756736,154.9999999,217.57919,1.259759659,1.251615,1.251615,8.144659168,161.8770056,1.200915,1.200915001,91.04737769,0.009200769,0.000669927,13.73397924,2.045433029,0.971320229
0.0,9.0,9.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190.0,25.50727255,24.02452686,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,114.000035,251.8807831,114.000035,1.420144389,223.9751314,223.9751314,1.419502153,251.8807831,223.9751314,262.7290328,1.419362583,1.411445,1.411445,7.91758258,249.9995771,1.361375,1.361375,42.81390308,163.7756737,42.81390308,1.259985522,155,154.9999999,1.419502153,163.7756737,154.9999999,217.5791904,1.259759659,1.251615,1.251615,8.144659188,161.8770058,1.200915,1.200915001,91.04738587,0.009200769,0.000669927,13.73397886,2.045433029,0.971320229
