i,j,steps,acidgas_Fv,acidgas_CO2,acidgas_H2O,acidgas_H2S,acidgas_T,acidgas_P,air_m3,air_SP_m3,second_air2,air2_SP,COG,COG_SP,burner_input_T_SP,burner_input_T_PV,burner_inputP,burner_output_T_SP,burner_output_T_PV,burner_output_P_SP,burner_output_P_PV,fur_F,fur_inputT,fur_inputP,fur_temp,fur_outputT,fur_outputP_SP,fur_outputP_PV,WHB_F,WHB_inputT,WHB_inputP,WHB_outputT,WHB_outputP,SEP1_F,SEP1_P_SP,SEP1_P_PV,SEP1_T,HEATER1_F,HEATER1_input_T,HEATER1_input_P,HEATER1_output_T_SP,HEATER1_output_T_PV,HEATER1_output_P,cat1_F,cat1_input_temp,cat1_output_temp,cat1_input_P,cat1_output_P_SP,cat1_output_P_PV,cat1_deltaP,SEP2_F,SEP2_P_SP,SEP2_P_PV,SEP2_T,HEATER2_F,HEATER2_input_T,HEATER2_input_P,HEATER2_output_T_SP,HEATER2_output_T_PV,HEATER2_output_P,cat2_F,cat2_input_temp,cat2_output_temp,cat2_input_P,cat2_output_P_SP,cat2_output_P_PV,cat2_deltaP,SEP3_F,SEP3_P_SP,SEP3_P_PV,SEP3_T,B35_H2S,B35_SO2,ratio,ratioSP,conv
0.0,0.0,0.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190,25.50727261,24.02452691,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,113.997911,251.8817515,113.997911,1.420144388,223.9726656,223.9726656,1.419502151,251.8817515,223.9726656,262.7253406,1.419362581,1.411445,1.411445,7.917580801,250.0006006,1.361375,1.361375,42.81393987,163.7761964,42.81393987,1.261302711,229.9945153,229.9945153,1.419502151,163.7761964,229.9945153,287.0977329,1.261054855,1.251615,1.251615,9.439854857,161.9858259,1.200915,1.200915,160.712109,0.011807021,0.002008737,5.877831577,2.045433029,0.95948463
0.0,1.0,1.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190,25.50727261,24.02452691,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,113.9979108,251.8817516,113.9979108,1.420144388,223.9726653,223.9726653,1.419502151,251.8817516,223.9726653,262.7253403,1.419362581,1.411445,1.411445,7.9175808,250.0006007,1.361375,1.361375,42.81393984,163.7761965,42.81393984,1.261302711,229.9945152,229.9945152,1.419502151,163.7761965,229.9945152,287.097733,1.261054855,1.251615,1.251615,9.439854862,161.985826,1.200915,1.200915,160.7121097,0.011807021,0.002008737,5.877831559,2.045433029,0.95948463
0.0,2.0,2.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190,25.50727261,24.02452691,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,113.9979105,251.8817517,113.9979105,1.420144388,223.9726651,223.9726651,1.419502151,251.8817517,223.9726651,262.7253399,1.419362581,1.411445,1.411445,7.917580799,250.0006008,1.361375,1.361375,42.81393981,163.7761965,42.81393981,1.261302711,229.9945151,229.9945151,1.419502151,163.7761965,229.9945151,287.097733,1.261054855,1.251615,1.251615,9.439854868,161.985826,1.200915,1.200915,160.7121104,0.011807021,0.002008737,5.87783154,2.045433029,0.95948463
0.0,3.0,3.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190,25.50727261,24.02452691,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,113.9979103,251.8817518,113.9979103,1.420144388,223.9726649,223.9726649,1.419502151,251.8817518,223.9726649,262.7253395,1.419362581,1.411445,1.411445,7.917580799,250.0006009,1.361375,1.361375,42.81393978,163.7761966,42.81393978,1.261302711,229.994515,229.994515,1.419502151,163.7761966,229.994515,287.0977331,1.261054855,1.251615,1.251615,9.439854874,161.985826,1.200915,1.200915,160.712111,0.011807021,0.002008737,5.877831522,2.045433029,0.95948463
0.0,4.0,4.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190,25.50727261,24.02452691,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,113.9979101,251.8817519,113.9979101,1.420144388,223.9726646,223.9726646,1.419502151,251.8817519,223.9726646,262.7253392,1.419362581,1.411445,1.411445,7.917580798,250.000601,1.361375,1.361375,42.81393975,163.7761966,42.81393975,1.261302711,229.9945149,229.9945149,1.419502151,163.7761966,229.9945149,287.0977331,1.261054855,1.251615,1.251615,9.43985488,161.9858261,1.200915,1.200915,160.7121117,0.011807021,0.002008738,5.877831503,2.045433029,0.95948463
0.0,5.0,5.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190,25.50727261,24.02452691,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,113.9979099,251.881752,113.9979099,1.420144388,223.9726644,223.9726644,1.419502151,251.881752,223.9726644,262.7253388,1.419362581,1.411445,1.411445,7.917580797,250.0006011,1.361375,1.361375,42.81393972,163.7761967,42.81393972,1.261302711,229.9945149,229.9945149,1.419502151,163.7761967,229.9945149,287.0977332,1.261054855,1.251615,1.251615,9.439854885,161.9858261,1.200915,1.200915,160.7121123,0.011807021,0.002008738,5.877831485,2.045433029,0.95948463
0.0,6.0,6.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190,25.50727261,24.02452691,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,113.9979097,251.8817521,113.9979097,1.420144388,223.9726641,223.9726641,1.419502151,251.8817521,223.9726641,262.7253384,1.419362581,1.411445,1.411445,7.917580797,250.0006012,1.361375,1.361375,42.81393968,163.7761967,42.81393968,1.261302711,229.9945148,229.9945148,1.419502151,163.7761967,229.9945148,287.0977332,1.261054855,1.251615,1.251615,9.439854891,161.9858262,1.200915,1.200915,160.712113,0.011807021,0.002008738,5.877831466,2.045433029,0.959484629
0.0,7.0,7.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190,25.50727261,24.02452691,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,113.9979095,251.8817522,113.9979095,1.420144388,223.9726639,223.9726639,1.419502151,251.8817522,223.9726639,262.7253381,1.419362581,1.411445,1.411445,7.917580796,250.0006013,1.361375,1.361375,42.81393965,163.7761968,42.81393965,1.261302711,229.9945147,229.9945147,1.419502151,163.7761968,229.9945147,287.0977333,1.261054855,1.251615,1.251615,9.439854897,161.9858262,1.200915,1.200915,160.7121136,0.011807021,0.002008738,5.877831448,2.045433029,0.959484629
0.0,8.0,8.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190,25.50727261,24.02452691,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,113.9979093,251.8817522,113.9979093,1.420144388,223.9726636,223.9726636,1.419502151,251.8817522,223.9726636,262.7253377,1.419362581,1.411445,1.411445,7.917580795,250.0006013,1.361375,1.361375,42.81393962,163.7761968,42.81393962,1.261302711,229.9945146,229.9945146,1.419502151,163.7761968,229.9945146,287.0977333,1.261054855,1.251615,1.251615,9.439854902,161.9858262,1.200915,1.200915,160.7121143,0.011807021,0.002008738,5.87783143,2.045433029,0.959484629
0.0,9.0,9.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190,25.50727261,24.02452691,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,113.9979091,251.8817523,113.9979091,1.420144388,223.9726634,223.9726634,1.419502151,251.8817523,223.9726634,262.7253373,1.419362581,1.411445,1.411445,7.917580795,250.0006014,1.361375,1.361375,42.81393959,163.7761968,42.81393959,1.261302711,229.9945145,229.9945145,1.419502151,163.7761968,229.9945145,287.0977334,1.261054855,1.251615,1.251615,9.439854908,161.9858263,1.200915,1.200915,160.7121149,0.011807021,0.002008738,5.877831412,2.045433029,0.959484629
