i,j,steps,acidgas_Fm,acidgas_CO2,acidgas_H2O,acidgas_H2S,acidgas_T,acidgas_P,air,air_SP,second_air2,air2_SP,COG,COG_SP,burner_input_T_SP,burner_input_T_PV,burner_inputP,burner_output_T_SP,burner_output_T_PV,burner_output_P_SP,burner_output_P_PV,fur_F,fur_inputT,fur_inputP,fur_temp,fur_outputT,fur_outputP_SP,fur_outputP_PV,WHB_F,WHB_inputT,WHB_inputP,WHB_outputT,WHB_outputP,SEP1_F,SEP1_P_SP,SEP1_P_PV,SEP1_T,HEATER1_F,HEATER1_input_T,HEATER1_input_P,HEATER1_output_T_SP,HEATER1_output_T_PV,HEATER1_output_P,cat1_F,cat1_input_temp,cat1_output_temp,cat1_input_P,cat1_output_P_SP,cat1_output_P_PV,cat1_deltaP,SEP2_F,SEP2_P_SP,SEP2_P_PV,SEP2_T,HEATER2_F,HEATER2_input_T,HEATER2_input_P,HEATER2_output_T_SP,HEATER2_output_T_PV,HEATER2_output_P,cat2_F,cat2_input_temp,cat2_output_temp,cat2_input_P,cat2_output_P_SP,cat2_output_P_PV,cat2_deltaP,SEP3_F,SEP3_P_SP,SEP3_P_PV,SEP3_T,B35_H2S,B35_SO2,ratio,ratioSP,conv
0.0,0.0,0.0,2491.828254390633,40.12718814,45.39753912,54.93963142,83.6,1.6722,2186.985135710484,3456.87383,270.0,270,36.29291688,34.1864012,599.9999588,599.9999588,1.622141233,1219.506406,1219.506406,1.622195,1.622195,281.4075521,155.9852135,1.57201732,944.5493328,946.3286582,1.571315,1.571315,278.1342732,946.3286582,1.521316193,236.4041313,1.521205876,278.1342732,1.520795,1.520795,127.9718257,259.840213,127.9718257,1.420835374,234.3099742,234.3099742,1.420131396,259.840213,234.3099742,271.4656841,1.419980659,1.411445,1.411445,8.535659073,257.9750712,1.361375,1.361375,50.06469279,172.8544937,50.06469279,1.262140812,229.9967812,229.9967812,1.420131396,172.8544937,229.9967812,283.0431912,1.261866739,1.251615,1.251615,10.25173854,171.104074,1.200915,1.200915,163.0019075,0.00896416,0.004457845,2.010872723,2.045433029,0.958362766
0.0,1.0,1.0,2491.828254390633,40.12718814,45.39753912,54.93963142,83.6,1.6722,2186.985135710484,3456.87383,270.0,270,36.29291688,34.1864012,599.9999588,599.9999588,1.622141233,1219.506406,1219.506406,1.622195,1.622195,281.4075521,155.9852135,1.57201732,944.5493328,946.3286582,1.571315,1.571315,278.1342732,946.3286582,1.521316193,236.4041313,1.521205876,278.1342732,1.520795,1.520795,127.9718257,259.840213,127.9718257,1.420835374,234.3099742,234.3099742,1.420131396,259.840213,234.3099742,271.4656841,1.419980659,1.411445,1.411445,8.535659074,257.9750712,1.361375,1.361375,50.06469285,172.8544937,50.06469285,1.262140812,229.9967812,229.9967812,1.420131396,172.8544937,229.9967812,283.0431912,1.261866739,1.251615,1.251615,10.25173854,171.104074,1.200915,1.200915,163.0019076,0.00896416,0.004457845,2.010872723,2.045433029,0.958362766
0.0,2.0,2.0,2491.828254390633,40.12718814,45.39753912,54.93963142,83.6,1.6722,2186.985135710484,3456.87383,270.0,270,36.29291688,34.1864012,599.9999588,599.9999588,1.622141233,1219.506406,1219.506406,1.622195,1.622195,281.4075521,155.9852135,1.57201732,944.5493328,946.3286582,1.571315,1.571315,278.1342732,946.3286582,1.521316193,236.4041313,1.521205876,278.1342732,1.520795,1.520795,127.9718257,259.840213,127.9718257,1.420835374,234.3099742,234.3099742,1.420131396,259.840213,234.3099742,271.4656841,1.419980659,1.411445,1.411445,8.535659075,257.9750712,1.361375,1.361375,50.0646929,172.8544937,50.0646929,1.262140812,229.9967813,229.9967813,1.420131396,172.8544937,229.9967813,283.0431913,1.261866739,1.251615,1.251615,10.25173854,171.104074,1.200915,1.200915,163.0019076,0.00896416,0.004457845,2.010872723,2.045433029,0.958362766
0.0,3.0,3.0,2491.828254390633,40.12718814,45.39753912,54.93963142,83.6,1.6722,2186.985135710484,3456.87383,270.0,270,36.29291688,34.1864012,599.9999588,599.9999588,1.622141233,1219.506406,1219.506406,1.622195,1.622195,281.4075521,155.9852135,1.57201732,944.5493328,946.3286582,1.571315,1.571315,278.1342732,946.3286582,1.521316193,236.4041313,1.521205876,278.1342732,1.520795,1.520795,127.9718257,259.840213,127.9718257,1.420835374,234.3099742,234.3099742,1.420131396,259.840213,234.3099742,271.4656841,1.419980659,1.411445,1.411445,8.535659076,257.9750712,1.361375,1.361375,50.06469296,172.8544937,50.06469296,1.262140812,229.9967813,229.9967813,1.420131396,172.8544937,229.9967813,283.0431913,1.261866739,1.251615,1.251615,10.25173854,171.1040741,1.200915,1.200915,163.0019077,0.00896416,0.004457845,2.010872723,2.045433029,0.958362766
0.0,4.0,4.0,2491.828254390633,40.12718814,45.39753912,54.93963142,83.6,1.6722,2186.985135710484,3456.87383,270.0,270,36.29291688,34.1864012,599.9999588,599.9999588,1.622141233,1219.506406,1219.506406,1.622195,1.622195,281.4075521,155.9852135,1.57201732,944.5493328,946.3286582,1.571315,1.571315,278.1342732,946.3286582,1.521316193,236.4041313,1.521205876,278.1342732,1.520795,1.520795,127.9718258,259.840213,127.9718258,1.420835374,234.3099742,234.3099742,1.420131396,259.840213,234.3099742,271.4656842,1.419980659,1.411445,1.411445,8.535659077,257.9750712,1.361375,1.361375,50.06469301,172.8544938,50.06469301,1.262140812,229.9967814,229.9967814,1.420131396,172.8544938,229.9967814,283.0431913,1.261866739,1.251615,1.251615,10.25173854,171.1040741,1.200915,1.200915,163.0019077,0.00896416,0.004457845,2.010872723,2.045433029,0.958362766
0.0,5.0,5.0,2491.828254390633,40.12718814,45.39753912,54.93963142,83.6,1.6722,2186.985135710484,3456.87383,270.0,270,36.29291688,34.1864012,599.9999588,599.9999588,1.622141233,1219.506406,1219.506406,1.622195,1.622195,281.4075521,155.9852135,1.57201732,944.5493328,946.3286582,1.571315,1.571315,278.1342732,946.3286582,1.521316193,236.4041313,1.521205876,278.1342732,1.520795,1.520795,127.9718258,259.840213,127.9718258,1.420835374,234.3099742,234.3099742,1.420131396,259.840213,234.3099742,271.4656842,1.419980659,1.411445,1.411445,8.535659079,257.9750712,1.361375,1.361375,50.06469306,172.8544938,50.06469306,1.262140812,229.9967814,229.9967814,1.420131396,172.8544938,229.9967814,283.0431914,1.261866739,1.251615,1.251615,10.25173854,171.1040741,1.200915,1.200915,163.0019077,0.00896416,0.004457845,2.010872723,2.045433029,0.958362766
0.0,6.0,6.0,2491.828254390633,40.12718814,45.39753912,54.93963142,83.6,1.6722,2186.985135710484,3456.87383,270.0,270,36.29291688,34.1864012,599.9999588,599.9999588,1.622141233,1219.506406,1219.506406,1.622195,1.622195,281.4075521,155.9852135,1.57201732,944.5493328,946.3286582,1.571315,1.571315,278.1342732,946.3286582,1.521316193,236.4041313,1.521205876,278.1342732,1.520795,1.520795,127.9718258,259.840213,127.9718258,1.420835374,234.3099743,234.3099743,1.420131396,259.840213,234.3099743,271.4656842,1.419980659,1.411445,1.411445,8.53565908,257.9750713,1.361375,1.361375,50.06469312,172.8544938,50.06469312,1.262140812,229.9967814,229.9967814,1.420131396,172.8544938,229.9967814,283.0431914,1.261866739,1.251615,1.251615,10.25173855,171.1040741,1.200915,1.200915,163.0019078,0.00896416,0.004457845,2.010872723,2.045433029,0.958362766
0.0,7.0,7.0,2491.828254390633,40.12718814,45.39753912,54.93963142,83.6,1.6722,2186.985135710484,3456.87383,270.0,270,36.29291688,34.1864012,599.9999588,599.9999588,1.622141233,1219.506406,1219.506406,1.622195,1.622195,281.4075521,155.9852135,1.57201732,944.5493328,946.3286582,1.571315,1.571315,278.1342732,946.3286582,1.521316193,236.4041313,1.521205876,278.1342732,1.520795,1.520795,127.9718258,259.8402131,127.9718258,1.420835374,234.3099743,234.3099743,1.420131396,259.8402131,234.3099743,271.4656842,1.419980659,1.411445,1.411445,8.535659081,257.9750713,1.361375,1.361375,50.06469317,172.8544938,50.06469317,1.262140812,229.9967815,229.9967815,1.420131396,172.8544938,229.9967815,283.0431914,1.261866739,1.251615,1.251615,10.25173855,171.1040741,1.200915,1.200915,163.0019078,0.00896416,0.004457845,2.010872723,2.045433029,0.958362766
0.0,8.0,8.0,2491.828254390633,40.12718814,45.39753912,54.93963142,83.6,1.6722,2186.985135710484,3456.87383,270.0,270,36.29291688,34.1864012,599.9999588,599.9999588,1.622141233,1219.506406,1219.506406,1.622195,1.622195,281.4075521,155.9852135,1.57201732,944.5493328,946.3286582,1.571315,1.571315,278.1342732,946.3286582,1.521316193,236.4041313,1.521205876,278.1342732,1.520795,1.520795,127.9718258,259.8402131,127.9718258,1.420835374,234.3099743,234.3099743,1.420131396,259.8402131,234.3099743,271.4656842,1.419980659,1.411445,1.411445,8.535659082,257.9750713,1.361375,1.361375,50.06469323,172.8544938,50.06469323,1.262140812,229.9967815,229.9967815,1.420131396,172.8544938,229.9967815,283.0431915,1.261866739,1.251615,1.251615,10.25173855,171.1040741,1.200915,1.200915,163.0019079,0.00896416,0.004457845,2.010872723,2.045433029,0.958362766
0.0,9.0,9.0,2491.828254390633,40.12718814,45.39753912,54.93963142,83.6,1.6722,2186.985135710484,3456.87383,270.0,270,36.29291688,34.1864012,599.9999588,599.9999588,1.622141233,1219.506406,1219.506406,1.622195,1.622195,281.4075521,155.9852135,1.57201732,944.5493328,946.3286582,1.571315,1.571315,278.1342732,946.3286582,1.521316193,236.4041313,1.521205876,278.1342732,1.520795,1.520795,127.9718258,259.8402131,127.9718258,1.420835374,234.3099743,234.3099743,1.420131396,259.8402131,234.3099743,271.4656843,1.419980659,1.411445,1.411445,8.535659083,257.9750713,1.361375,1.361375,50.06469328,172.8544938,50.06469328,1.262140812,229.9967816,229.9967816,1.420131396,172.8544938,229.9967816,283.0431915,1.261866739,1.251615,1.251615,10.25173855,171.1040741,1.200915,1.200915,163.0019079,0.00896416,0.004457845,2.010872723,2.045433029,0.958362766
