i,j,steps,acidgas_Fm,acidgas_CO2,acidgas_H2O,acidgas_H2S,acidgas_T,acidgas_P,air,air_SP,second_air2,air2_SP,COG,COG_SP,burner_input_T_SP,burner_input_T_PV,burner_inputP,burner_output_T_SP,burner_output_T_PV,burner_output_P_SP,burner_output_P_PV,fur_F,fur_inputT,fur_inputP,fur_temp,fur_outputT,fur_outputP_SP,fur_outputP_PV,WHB_F,WHB_inputT,WHB_inputP,WHB_outputT,WHB_outputP,SEP1_F,SEP1_P_SP,SEP1_P_PV,SEP1_T,HEATER1_F,HEATER1_input_T,HEATER1_input_P,HEATER1_output_T_SP,HEATER1_output_T_PV,HEATER1_output_P,cat1_F,cat1_input_temp,cat1_output_temp,cat1_input_P,cat1_output_P_SP,cat1_output_P_PV,cat1_deltaP,SEP2_F,SEP2_P_SP,SEP2_P_PV,SEP2_T,HEATER2_F,HEATER2_input_T,HEATER2_input_P,HEATER2_output_T_SP,HEATER2_output_T_PV,HEATER2_output_P,cat2_F,cat2_input_temp,cat2_output_temp,cat2_input_P,cat2_output_P_SP,cat2_output_P_PV,cat2_deltaP,SEP3_F,SEP3_P_SP,SEP3_P_PV,SEP3_T,B35_H2S,B35_SO2,ratio,ratioSP,conv
0.0,0.0,0.0,140.4643587,40.12718814,45.39753912,54.93963142,83.6,1.6722,123.2803521,3456.87383,269.9999972,269.9999972,36.29291651,34.18640085,599.9999588,599.9999588,1.622141233,1219.506406,1219.506406,1.622195,1.622195,281.4075519,155.9852128,1.57201732,944.549332,946.3286574,1.571315,1.571315,278.134273,946.3286574,1.521316193,236.4041299,1.521205876,278.134273,1.520795,1.520795,127.9566092,259.8468461,127.9566092,1.420835356,234.292591,234.2925912,1.420131376,259.8468461,234.2925912,271.4411169,1.419980639,1.411445,1.411445,8.535638624,257.9820357,1.361375,1.361374998,50.0606721,172.8586949,50.0606721,1.262141451,230,230.0000025,1.420131376,172.8586949,230.0000025,283.0523044,1.261867365,1.251615,1.251614999,10.25236571,171.1080287,1.200915,1.200915019,162.8340792,0.008966089,0.004458904,2.010828026,2.045433029,0.95835284
0.0,1.0,1.0,140.4643587,40.12718814,45.39753912,54.93963142,83.6,1.6722,123.2803521,3456.87383,269.9999972,269.9999972,36.29291651,34.18640085,599.9999588,599.9999588,1.622141233,1219.506406,1219.506406,1.622195,1.622195,281.4075519,155.9852128,1.57201732,944.549332,946.3286574,1.571315,1.571315,278.134273,946.3286574,1.521316193,236.4041299,1.521205876,278.134273,1.520795,1.520795,127.9566162,259.846843,127.9566162,1.420835356,234.292599,234.2925992,1.420131376,259.846843,234.2925992,271.4411283,1.419980639,1.411445,1.411445,8.535638629,257.9820324,1.361375,1.361374998,50.0606725,172.858693,50.0606725,1.26214145,230,230.0000025,1.420131376,172.858693,230.0000025,283.0523014,1.261867364,1.251615,1.251614999,10.25236546,171.108027,1.200915,1.200915019,162.8341498,0.008966088,0.004458904,2.010828045,2.045433029,0.958352844
0.0,2.0,2.0,140.4643587,40.12718814,45.39753912,54.93963142,83.6,1.6722,123.2803521,3456.87383,269.9999972,269.9999972,36.29291651,34.18640085,599.9999588,599.9999588,1.622141233,1219.506406,1219.506406,1.622195,1.622195,281.4075519,155.9852128,1.57201732,944.549332,946.3286574,1.571315,1.571315,278.134273,946.3286574,1.521316193,236.4041299,1.521205876,278.134273,1.520795,1.520795,127.9566232,259.8468399,127.9566232,1.420835356,234.2926071,234.2926072,1.420131376,259.8468399,234.2926072,271.4411396,1.419980639,1.411445,1.411445,8.535638635,257.9820292,1.361375,1.361374998,50.06067291,172.8586912,50.06067291,1.26214145,230,230.0000025,1.420131376,172.8586912,230.0000025,283.0522984,1.261867364,1.251615,1.251614999,10.2523652,171.1080253,1.200915,1.200915019,162.8342203,0.008966088,0.004458903,2.010828065,2.045433029,0.958352848
0.0,3.0,3.0,140.4643587,40.12718814,45.39753912,54.93963142,83.6,1.6722,123.2803521,3456.87383,269.9999972,269.9999972,36.29291651,34.18640085,599.9999588,599.9999588,1.622141233,1219.506406,1219.506406,1.622195,1.622195,281.4075519,155.9852128,1.57201732,944.549332,946.3286574,1.571315,1.571315,278.134273,946.3286574,1.521316193,236.4041299,1.521205876,278.134273,1.520795,1.520795,127.9566301,259.8468368,127.9566301,1.420835356,234.2926151,234.2926152,1.420131376,259.8468368,234.2926152,271.4411509,1.419980639,1.411445,1.411445,8.53563864,257.9820259,1.361375,1.361374998,50.06067331,172.8586894,50.06067331,1.26214145,230,230.0000025,1.420131376,172.8586894,230.0000025,283.0522954,1.261867364,1.251615,1.251614999,10.25236495,171.1080236,1.200915,1.200915019,162.8342907,0.008966087,0.004458903,2.010828085,2.045433029,0.958352852
0.0,4.0,4.0,140.4643587,40.12718814,45.39753912,54.93963142,83.6,1.6722,123.2803521,3456.87383,269.9999972,269.9999972,36.29291651,34.18640085,599.9999588,599.9999588,1.622141233,1219.506406,1219.506406,1.622195,1.622195,281.4075519,155.9852128,1.57201732,944.549332,946.3286574,1.571315,1.571315,278.134273,946.3286574,1.521316193,236.4041299,1.521205876,278.134273,1.520795,1.520795,127.9566371,259.8468336,127.9566371,1.420835356,234.2926231,234.2926232,1.420131376,259.8468336,234.2926232,271.4411622,1.419980639,1.411445,1.411445,8.535638645,257.9820226,1.361375,1.361374998,50.06067372,172.8586876,50.06067372,1.26214145,230,230.0000025,1.420131376,172.8586876,230.0000025,283.0522924,1.261867364,1.251615,1.251614999,10.25236469,171.1080219,1.200915,1.200915019,162.8343612,0.008966086,0.004458902,2.010828105,2.045433029,0.958352856
0.0,5.0,5.0,140.4643587,40.12718814,45.39753912,54.93963142,83.6,1.6722,123.2803521,3456.87383,269.9999972,269.9999972,36.29291651,34.18640085,599.9999588,599.9999588,1.622141233,1219.506406,1219.506406,1.622195,1.622195,281.4075519,155.9852128,1.57201732,944.549332,946.3286574,1.571315,1.571315,278.134273,946.3286574,1.521316193,236.4041299,1.521205876,278.134273,1.520795,1.520795,127.9566441,259.8468305,127.9566441,1.420835356,234.292631,234.2926312,1.420131376,259.8468305,234.2926312,271.4411735,1.419980639,1.411445,1.411445,8.53563865,257.9820194,1.361375,1.361374998,50.06067412,172.8586858,50.06067412,1.262141449,230,230.0000025,1.420131376,172.8586858,230.0000025,283.0522894,1.261867363,1.251615,1.251614999,10.25236444,171.1080202,1.200915,1.200915019,162.8344316,0.008966085,0.004458902,2.010828124,2.045433029,0.95835286
0.0,6.0,6.0,140.4643587,40.12718814,45.39753912,54.93963142,83.6,1.6722,123.2803521,3456.87383,269.9999972,269.9999972,36.29291651,34.18640085,599.9999588,599.9999588,1.622141233,1219.506406,1219.506406,1.622195,1.622195,281.4075519,155.9852128,1.57201732,944.549332,946.3286574,1.571315,1.571315,278.134273,946.3286574,1.521316193,236.4041299,1.521205876,278.134273,1.520795,1.520795,127.9566511,259.8468274,127.9566511,1.420835356,234.292639,234.2926392,1.420131376,259.8468274,234.2926392,271.4411848,1.419980639,1.411445,1.411445,8.535638655,257.9820161,1.361375,1.361374998,50.06067453,172.858684,50.06067453,1.262141449,230,230.0000024,1.420131376,172.858684,230.0000024,283.0522864,1.261867363,1.251615,1.251614999,10.25236418,171.1080185,1.200915,1.200915019,162.834502,0.008966085,0.004458901,2.010828144,2.045433029,0.958352863
0.0,7.0,7.0,140.4643587,40.12718814,45.39753912,54.93963142,83.6,1.6722,123.2803521,3456.87383,269.9999972,269.9999972,36.29291651,34.18640085,599.9999588,599.9999588,1.622141233,1219.506406,1219.506406,1.622195,1.622195,281.4075519,155.9852128,1.57201732,944.549332,946.3286574,1.571315,1.571315,278.134273,946.3286574,1.521316193,236.4041299,1.521205876,278.134273,1.520795,1.520795,127.956658,259.8468243,127.956658,1.420835356,234.292647,234.2926472,1.420131376,259.8468243,234.2926472,271.4411961,1.419980639,1.411445,1.411445,8.53563866,257.9820128,1.361375,1.361374998,50.06067493,172.8586822,50.06067493,1.262141449,230,230.0000024,1.420131376,172.8586822,230.0000024,283.0522835,1.261867363,1.251615,1.251614999,10.25236393,171.1080168,1.200915,1.200915019,162.8345724,0.008966084,0.004458901,2.010828164,2.045433029,0.958352867
0.0,8.0,8.0,140.4643587,40.12718814,45.39753912,54.93963142,83.6,1.6722,123.2803521,3456.87383,269.9999972,269.9999972,36.29291651,34.18640085,599.9999588,599.9999588,1.622141233,1219.506406,1219.506406,1.622195,1.622195,281.4075519,155.9852128,1.57201732,944.549332,946.3286574,1.571315,1.571315,278.134273,946.3286574,1.521316193,236.4041299,1.521205876,278.134273,1.520795,1.520795,127.956665,259.8468212,127.956665,1.420835356,234.292655,234.2926551,1.420131376,259.8468212,234.2926551,271.4412074,1.419980639,1.411445,1.411445,8.535638665,257.9820096,1.361375,1.361374998,50.06067534,172.8586804,50.06067534,1.262141449,230,230.0000024,1.420131376,172.8586804,230.0000024,283.0522805,1.261867363,1.251615,1.251614999,10.25236367,171.1080151,1.200915,1.200915019,162.8346427,0.008966083,0.004458901,2.010828183,2.045433029,0.958352871
0.0,9.0,9.0,140.4643587,40.12718814,45.39753912,54.93963142,83.6,1.6722,123.2803521,3456.87383,269.9999972,269.9999972,36.29291651,34.18640085,599.9999588,599.9999588,1.622141233,1219.506406,1219.506406,1.622195,1.622195,281.4075519,155.9852128,1.57201732,944.549332,946.3286574,1.571315,1.571315,278.134273,946.3286574,1.521316193,236.4041299,1.521205876,278.134273,1.520795,1.520795,127.9566719,259.8468181,127.9566719,1.420835356,234.292663,234.2926631,1.420131376,259.8468181,234.2926631,271.4412186,1.419980639,1.411445,1.411445,8.535638671,257.9820063,1.361375,1.361374998,50.06067574,172.8586786,50.06067574,1.262141448,230,230.0000024,1.420131376,172.8586786,230.0000024,283.0522775,1.261867362,1.251615,1.251614999,10.25236342,171.1080134,1.200915,1.200915019,162.834713,0.008966082,0.0044589,2.010828203,2.045433029,0.958352875
0.0,10.0,10.0,140.4643587,40.12718814,45.39753912,54.93963142,83.6,1.6722,123.2803521,3456.87383,269.9999972,269.9999972,36.29291651,34.18640085,599.9999588,599.9999588,1.622141233,1219.506406,1219.506406,1.622195,1.622195,281.4075519,155.9852128,1.57201732,944.549332,946.3286574,1.571315,1.571315,278.134273,946.3286574,1.521316193,236.4041299,1.521205876,278.134273,1.520795,1.520795,127.9566789,259.846815,127.9566789,1.420835356,234.292671,234.2926711,1.420131376,259.846815,234.2926711,271.4412299,1.419980639,1.411445,1.411445,8.535638676,257.9820031,1.361375,1.361374998,50.06067615,172.8586767,50.06067615,1.262141448,230,230.0000024,1.420131376,172.8586767,230.0000024,283.0522745,1.261867362,1.251615,1.251614999,10.25236317,171.1080118,1.200915,1.200915019,162.8347833,0.008966082,0.0044589,2.010828223,2.045433029,0.958352879
