target_flow,target_air2,target_t2,Total_S_model_base,Total_S_model_air2,Total_S_model_t2,Total_S_true_base,Total_S_true_air2,Total_S_true_t2,delta_air2_true,delta_t2_true,delta_air2_model,delta_t2_model,Total_S_model_air2_delta,Total_S_model_t2_delta,Total_S_model_air2_gain,Total_S_model_t2_gain,Total_S_true_air2_delta,Total_S_true_air2_gain,air2_sign_match,Total_S_true_t2_delta,Total_S_true_t2_gain,t2_sign_match
121,190,155,0.040610541,0.040060021,0.040815785,0.04077941,0.040203631,0.040958133,0.2382539,2.564102,0.2382539,2.564102,0.00055052,-0.000205244,0.00055052,-0.000205244,0.000575779,0.000575779,TRUE,-0.000178723,-0.000178723,TRUE
121,190,178,0.039688946,0.039136502,0.039690402,0.040317278,0.039731594,0.040279317,0.2382539,2.564102,0.2382539,2.564102,0.000552444,-1.46E-06,0.000552444,-1.46E-06,0.000585684,0.000585684,TRUE,3.80E-05,3.80E-05,FALSE
121,190,230,0.043168285,0.042647126,0.042953706,0.043157561,0.042604298,0.042951683,0.2382539,2.564103,0.2382539,2.564103,0.000521159,0.000214579,0.000521159,0.000214579,0.000553263,0.000553263,TRUE,0.000205878,0.000205878,TRUE
121,223,155,0.044918158,0.044390582,0.045108171,0.045165674,0.044632624,0.04533013,0.2382538,2.564102,0.2382538,2.564102,0.000527576,-0.000190013,0.000527576,-0.000190013,0.00053305,0.00053305,TRUE,-0.000164456,-0.000164456,TRUE
121,223,230,0.047211107,0.046719375,0.047018905,0.047388543,0.046875245,0.047200278,0.2382538,2.564103,0.2382538,2.564103,0.000491733,0.000192202,0.000491733,0.000192202,0.000513298,0.000513298,TRUE,0.000188265,0.000188265,TRUE
121,270,155,0.050937794,0.050460466,0.051099892,0.051692981,0.051161687,0.051829316,0.2382539,2.564102,0.2382539,2.564102,0.000477329,-0.000162098,0.000477329,-0.000162098,0.000531294,0.000531294,TRUE,-0.000136335,-0.000136335,TRUE
121,270,178,0.050111782,0.049627232,0.050126966,0.051353914,0.050817289,0.051321623,0.2382539,2.564102,0.2382539,2.564102,0.000484551,-1.52E-05,0.000484551,-1.52E-05,0.000536625,0.000536625,TRUE,3.23E-05,3.23E-05,FALSE
121,270,230,0.052750209,0.052315999,0.05259576,0.053666793,0.053153904,0.053515271,0.2382539,2.564103,0.2382539,2.564103,0.000434209,0.000154449,0.000434209,0.000154449,0.000512889,0.000512889,TRUE,0.000151522,0.000151522,TRUE
140.5,190,155,0.014265029,0.014521519,0.01448718,0.013291325,0.013511467,0.013637752,0.2382539,2.564102,0.2382539,2.564102,-0.000256489,-0.00022215,-0.000256489,-0.00022215,-0.000220142,-0.000220142,TRUE,-0.000346427,-0.000346427,TRUE
140.5,190,178,0.01352103,0.013821533,0.013501104,0.012624936,0.012991532,0.01256033,0.2382539,2.564102,0.2382539,2.564102,-0.000300503,1.99E-05,-0.000300503,1.99E-05,-0.000366596,-0.000366596,TRUE,6.46E-05,6.46E-05,TRUE
140.5,190,230,0.017197381,0.017392645,0.016921014,0.01723273,0.017413907,0.01688826,0.2382539,2.564103,0.2382539,2.564103,-0.000195264,0.000276368,-0.000195264,0.000276368,-0.000181177,-0.000181177,TRUE,0.00034447,0.00034447,TRUE
140.5,223,155,0.013145653,0.013193776,0.013440069,0.012750438,0.012711804,0.013251598,0.2382538,2.564102,0.2382538,2.564102,-4.81E-05,-0.000294417,-4.81E-05,-0.000294417,3.86E-05,3.86E-05,FALSE,-0.00050116,-0.00050116,TRUE
140.5,223,230,0.016495337,0.016499626,0.01616828,0.01667738,0.016658734,0.016262984,0.2382538,2.564103,0.2382538,2.564103,-4.29E-06,0.000327057,-4.29E-06,0.000327057,1.86E-05,1.86E-05,FALSE,0.000414396,0.000414396,TRUE
140.5,270,155,0.014459179,0.014230624,0.014820441,0.014864421,0.014572298,0.015423366,0.2382539,2.564102,0.2382539,2.564102,0.000228555,-0.000361262,0.000228555,-0.000361262,0.000292123,0.000292123,TRUE,-0.000558945,-0.000558945,TRUE
140.5,270,178,0.012887079,0.012685105,0.012899182,0.012840007,0.012549856,0.012863281,0.2382539,2.564102,0.2382539,2.564102,0.000201974,-1.21E-05,0.000201974,-1.21E-05,0.000290151,0.000290151,TRUE,-2.33E-05,-2.33E-05,TRUE
140.5,270,230,0.018105394,0.017868684,0.017738826,0.018514414,0.018248813,0.018090264,0.2382539,2.564103,0.2382539,2.564103,0.00023671,0.000366568,0.00023671,0.000366568,0.000265601,0.000265601,TRUE,0.00042415,0.00042415,TRUE
161,190,155,0.053771243,0.054354518,0.053756293,0.054008798,0.054716542,0.054008332,0.2382539,2.564102,0.2382539,2.564102,-0.000583274,1.50E-05,-0.000583274,1.50E-05,-0.000707744,-0.000707744,TRUE,4.66E-07,4.66E-07,TRUE
161,190,178,0.053769576,0.054346705,0.053780918,0.054024409,0.054727741,0.054018943,0.2382539,2.564102,0.2382539,2.564102,-0.000577129,-1.13E-05,-0.000577129,-1.13E-05,-0.000703332,-0.000703332,TRUE,5.47E-06,5.47E-06,FALSE
161,190,230,0.053336838,0.053898551,0.053365452,0.054152293,0.05485215,0.054138563,0.2382539,2.564103,0.2382539,2.564103,-0.000561713,-2.86E-05,-0.000561713,-2.86E-05,-0.000699857,-0.000699857,TRUE,1.37E-05,1.37E-05,FALSE
161,223,155,0.049037855,0.049635438,0.049020286,0.049105748,0.049562683,0.049104668,0.2382538,2.564102,0.2382538,2.564102,-0.000597582,1.76E-05,-0.000597582,1.76E-05,-0.000456935,-0.000456935,TRUE,1.08E-06,1.08E-06,TRUE
161,223,230,0.04881672,0.049383528,0.048832594,0.049315936,0.049765762,0.049296059,0.2382538,2.564103,0.2382538,2.564103,-0.000566808,-1.59E-05,-0.000566808,-1.59E-05,-0.000449826,-0.000449826,TRUE,1.99E-05,1.99E-05,FALSE
161,270,155,0.04177663,0.042386104,0.041764092,0.041516028,0.042082284,0.041516444,0.2382539,2.564102,0.2382539,2.564102,-0.000609474,1.25E-05,-0.000609474,1.25E-05,-0.000566256,-0.000566256,TRUE,-4.16E-07,-4.16E-07,FALSE
161,270,178,0.041873262,0.042480095,0.0418673,0.041554003,0.042113226,0.041548125,0.2382539,2.564102,0.2382539,2.564102,-0.000606833,5.96E-06,-0.000606833,5.96E-06,-0.000559223,-0.000559223,TRUE,5.88E-06,5.88E-06,TRUE
161,270,230,0.04202376,0.042586986,0.042009923,0.041915474,0.04245795,0.041878923,0.2382539,2.564103,0.2382539,2.564103,-0.000563226,1.38E-05,-0.000563226,1.38E-05,-0.000542476,-0.000542476,TRUE,3.66E-05,3.66E-05,TRUE
