selection_type,target_flow,target_air2,target_t2,base_air2,base_t2,Row/Case,Status,Description,HEATER2_output_T_SP,air2_SP_m3,air2_SP,acidgas_Fm,AIRFLOW _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,ACIDGAS _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,H2S _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,SO2OUT _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,H2SOUT _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,B35_H2S,B35_SO2,acidgas_T,acidgas_P,Total_S
base,121.0,270.0,230.0,271.3220328,229.74359,4297,OK,,229.74359,271.3220328,15.7541231,121.0,123.6,121.0,47.3265353,4.09813319,0.325384464,0.001991665,0.051675129,83.6,1.6722,0.053666793
air2_below,121.0,270.0,230.0,271.3220328,229.74359,4294,OK,,229.74359,267.2173946,15.5158692,121.0,123.6,121.0,47.3265353,4.04926335,0.328482201,0.002013608,0.051140296,83.6,1.6722,0.053153904
t2_below,121.0,270.0,230.0,271.3220328,229.74359,4177,OK,,227.179487,271.3220328,15.7541231,121.0,123.6,121.0,47.3265353,4.09177856,0.312678438,0.001913969,0.051601303,83.6,1.6722,0.053515271
base,121.0,270.0,178.0,271.3220328,178.461538,1897,OK,,178.461538,271.3220328,15.7541231,121.0,123.6,121.0,47.3265353,4.00124495,0.131656388,0.00080636,0.050547554,83.6,1.6722,0.051353914
air2_below,121.0,270.0,178.0,271.3220328,178.461538,1894,OK,,178.461538,267.2173946,15.5158692,121.0,123.6,121.0,47.3265353,3.95157393,0.133151385,0.000816731,0.050000557,83.6,1.6722,0.050817289
t2_below,121.0,270.0,178.0,271.3220328,178.461538,1777,OK,,175.897436,271.3220328,15.7541231,121.0,123.6,121.0,47.3265353,3.99989394,0.128955035,0.000789822,0.050531801,83.6,1.6722,0.051321623
base,121.0,270.0,155.0,271.3220328,155.384615,817,OK,,155.384615,271.3220328,15.7541231,121.0,123.6,121.0,47.3265353,4.01543389,0.160027286,0.000980036,0.050712945,83.6,1.6722,0.051692981
air2_below,121.0,270.0,155.0,271.3220328,155.384615,814,OK,,155.384615,267.2173946,15.5158692,121.0,123.6,121.0,47.3265353,3.96595741,0.161911382,0.00099305,0.050168638,83.6,1.6722,0.051161687
t2_below,121.0,270.0,155.0,271.3220328,155.384615,697,OK,,152.820513,271.3220328,15.7541231,121.0,123.6,121.0,47.3265353,4.02114053,0.171437764,0.001049878,0.050779438,83.6,1.6722,0.051829316
base,121.0,223.0,155.0,222.0663848,155.384615,781,OK,,155.384615,222.0663848,12.8950769,121.0,123.6,121.0,47.3265353,3.4172371,0.185345501,0.001155655,0.04401002,83.6,1.6722,0.045165674
air2_below,121.0,223.0,155.0,222.0663848,155.384615,778,OK,,155.384615,217.9617484,12.6568231,121.0,123.6,121.0,47.3265353,3.36913289,0.187803145,0.001172729,0.043459895,83.6,1.6722,0.044632624
t2_below,121.0,223.0,155.0,222.0663848,155.384615,661,OK,,152.820513,222.0663848,12.8950769,121.0,123.6,121.0,47.3265353,3.42395701,0.198782679,0.001239383,0.044090747,83.6,1.6722,0.04533013
base,121.0,190.0,155.0,189.2292879,155.384615,757,OK,,155.384615,189.2292879,10.9890462,121.0,123.6,121.0,47.3265353,3.02484418,0.207579009,0.001309966,0.039469444,83.6,1.6722,0.04077941
air2_below,121.0,190.0,155.0,189.2292879,155.384615,754,OK,,155.384615,185.1246497,10.7507923,121.0,123.6,121.0,47.3265353,2.97395446,0.210887538,0.001332865,0.038870766,83.6,1.6722,0.040203631
t2_below,121.0,190.0,155.0,189.2292879,155.384615,637,OK,,152.820513,189.2292879,10.9890462,121.0,123.6,121.0,47.3265353,3.03203007,0.221948442,0.001400581,0.039557553,83.6,1.6722,0.040958133
base,121.0,190.0,178.0,189.2292879,178.461538,1837,OK,,178.461538,189.2292879,10.9890462,121.0,123.6,121.0,47.3265353,3.00626964,0.170435928,0.001075699,0.039241579,83.6,1.6722,0.040317278
air2_below,121.0,190.0,178.0,189.2292879,178.461538,1834,OK,,178.461538,185.1246497,10.7507923,121.0,123.6,121.0,47.3265353,2.95502121,0.173026982,0.001093713,0.038637881,83.6,1.6722,0.039731594
t2_below,121.0,190.0,178.0,189.2292879,178.461538,1717,OK,,175.897436,189.2292879,10.9890462,121.0,123.6,121.0,47.3265353,3.00474428,0.167385707,0.001056458,0.039222859,83.6,1.6722,0.040279317
base,121.0,190.0,230.0,189.2292879,229.74359,4237,OK,,229.74359,189.2292879,10.9890462,121.0,123.6,121.0,47.3265353,3.12057309,0.399004804,0.002516411,0.04064115,83.6,1.6722,0.043157561
air2_below,121.0,190.0,230.0,189.2292879,229.74359,4234,OK,,229.74359,185.1246497,10.7507923,121.0,123.6,121.0,47.3265353,3.07039069,0.403728605,0.002550054,0.040054244,83.6,1.6722,0.042604298
t2_below,121.0,190.0,230.0,189.2292879,229.74359,4117,OK,,227.179487,189.2292879,10.9890462,121.0,123.6,121.0,47.3265353,3.11227625,0.382413984,0.002411909,0.040539774,83.6,1.6722,0.042951683
base,121.0,223.0,230.0,222.0663848,229.74359,4261,OK,,229.74359,222.0663848,12.8950769,121.0,123.6,121.0,47.3265353,3.50816598,0.36716672,0.002287985,0.045100558,83.6,1.6722,0.047388543
air2_below,121.0,223.0,230.0,222.0663848,229.74359,4258,OK,,229.74359,217.9617484,12.6568231,121.0,123.6,121.0,47.3265353,3.46068897,0.370879261,0.002314563,0.044560682,83.6,1.6722,0.046875245
t2_below,121.0,223.0,230.0,222.0663848,229.74359,4141,OK,,227.179487,222.0663848,12.8950769,121.0,123.6,121.0,47.3265353,3.50045652,0.351750943,0.002192032,0.045008246,83.6,1.6722,0.047200278
base,140.5,270.0,230.0,271.3220328,229.74359,4298,OK,,229.74359,271.3220328,15.7541231,140.5,123.6,140.5,54.953539,0.837223958,1.3971435,0.008234994,0.01027942,83.6,1.6722,0.018514414
air2_below,140.5,270.0,230.0,271.3220328,229.74359,4295,OK,,229.74359,267.2173946,15.5158692,140.5,123.6,140.5,54.953539,0.797446194,1.43092444,0.008444793,0.00980402,83.6,1.6722,0.018248813
t2_below,140.5,270.0,230.0,271.3220328,229.74359,4178,OK,,227.179487,271.3220328,15.7541231,140.5,123.6,140.5,54.953539,0.81942428,1.36154099,0.00802603,0.010064234,83.6,1.6722,0.018090264
base,140.5,270.0,178.0,271.3220328,178.461538,1898,OK,,178.461538,271.3220328,15.7541231,140.5,123.6,140.5,54.953539,0.599752563,0.922153564,0.00544332,0.007396687,83.6,1.6722,0.012840007
air2_below,140.5,270.0,178.0,271.3220328,178.461538,1895,OK,,178.461538,267.2173946,15.5158692,140.5,123.6,140.5,54.953539,0.55933604,0.954655066,0.005642345,0.006907511,83.6,1.6722,0.012549856
t2_below,140.5,270.0,178.0,271.3220328,178.461538,1778,OK,,175.897436,271.3220328,15.7541231,140.5,123.6,140.5,54.953539,0.600723671,0.924095996,0.005454753,0.007408528,83.6,1.6722,0.012863281
base,140.5,270.0,155.0,271.3220328,155.384615,818,OK,,155.384615,271.3220328,15.7541231,140.5,123.6,140.5,54.953539,0.684310302,1.0912871,0.006438313,0.008426107,83.6,1.6722,0.014864421
air2_below,140.5,270.0,155.0,271.3220328,155.384615,815,OK,,155.384615,267.2173946,15.5158692,140.5,123.6,140.5,54.953539,0.643672544,1.12334673,0.006635899,0.007936398,83.6,1.6722,0.014572298
t2_below,140.5,270.0,155.0,271.3220328,155.384615,698,OK,,152.820513,271.3220328,15.7541231,140.5,123.6,140.5,54.953539,0.707688693,1.13804862,0.006713223,0.008710143,83.6,1.6722,0.015423366
base,140.5,223.0,155.0,222.0663848,155.384615,782,OK,,155.384615,222.0663848,12.8950769,140.5,123.6,140.5,54.953539,0.288826332,1.52588907,0.009141035,0.003609403,83.6,1.6722,0.012750438
air2_below,140.5,223.0,155.0,222.0663848,155.384615,779,OK,,155.384615,217.9617484,12.6568231,140.5,123.6,140.5,54.953539,0.260357875,1.57630791,0.009454514,0.003257291,83.6,1.6722,0.012711804
t2_below,140.5,223.0,155.0,222.0663848,155.384615,662,OK,,152.820513,222.0663848,12.8950769,140.5,123.6,140.5,54.953539,0.309410429,1.56706298,0.009386478,0.00386512,83.6,1.6722,0.013251598
base,140.5,190.0,155.0,189.2292879,155.384615,758,OK,,155.384615,189.2292879,10.9890462,140.5,123.6,140.5,54.953539,0.105263715,1.97829787,0.011964918,0.001326407,83.6,1.6722,0.013291325
air2_below,140.5,190.0,155.0,189.2292879,155.384615,755,OK,,155.384615,185.1246497,10.7507923,140.5,123.6,140.5,54.953539,0.088750806,2.04656059,0.012392106,0.00111936,83.6,1.6722,0.013511467
t2_below,140.5,190.0,155.0,189.2292879,155.384615,638,OK,,152.820513,189.2292879,10.9890462,140.5,123.6,140.5,54.953539,0.119350128,2.00647513,0.012134252,0.0015035,83.6,1.6722,0.013637752
base,140.5,190.0,178.0,189.2292879,178.461538,1838,OK,,178.461538,189.2292879,10.9890462,140.5,123.6,140.5,54.953539,0.078181417,1.92412462,0.011639274,0.000985662,83.6,1.6722,0.012624936
air2_below,140.5,190.0,178.0,189.2292879,178.461538,1835,OK,,178.461538,185.1246497,10.7507923,140.5,123.6,140.5,54.953539,0.067641844,2.00433587,0.01213806,0.000853473,83.6,1.6722,0.012991532
t2_below,140.5,190.0,178.0,189.2292879,178.461538,1718,OK,,175.897436,189.2292879,10.9890462,140.5,123.6,140.5,54.953539,0.075556811,1.91887456,0.011607709,0.000952621,83.6,1.6722,0.01256033
base,140.5,190.0,230.0,189.2292879,229.74359,4238,OK,,229.74359,189.2292879,10.9890462,140.5,123.6,140.5,54.953539,0.265833056,2.29948476,0.013893338,0.003339393,83.6,1.6722,0.01723273
air2_below,140.5,190.0,230.0,189.2292879,229.74359,4235,OK,,229.74359,185.1246497,10.7507923,140.5,123.6,140.5,54.953539,0.247556516,2.36422025,0.014301147,0.00311276,83.6,1.6722,0.017413907
t2_below,140.5,190.0,230.0,189.2292879,229.74359,4118,OK,,227.179487,189.2292879,10.9890462,140.5,123.6,140.5,54.953539,0.251773057,2.27136075,0.013724636,0.003163624,83.6,1.6722,0.01688826
base,140.5,223.0,230.0,222.0663848,229.74359,4262,OK,,229.74359,222.0663848,12.8950769,140.5,123.6,140.5,54.953539,0.450408917,1.84909687,0.011066016,0.005611364,83.6,1.6722,0.01667738
