,QV1_AI01,QV2_AI02,SV1_FI05,SV2_FI06,SV3_TI06,SV4_TI01,SV5_PI06,SV6_AT02,SV7_TI02,SV8_TI03,SV9_FT04,SV10_TI04,SV11_TI05,SV12_TI07,SV13_FIC02,SV14_TI08,SV15_TIC12,SV16_TI09,SV17_PI04,SV18_PIC03,SV19_TI10,SV20_PI05,SV21_TI11,SV22_PIC02,SV23_FIC01,SV24_FIC02
t+1,0.0006628605115011483,0.04132958374502265,800.1110596004813,445.62509525252796,0.5901499109803299,0.2770281250899762,0.1621044347246689,0.04065903420129692,0.6738576369324208,0.05717816790245844,139.868392391852,0.028854414031362373,0.6802033118744896,0.6368273711460503,466.12820588497624,0.08075126294883149,0.0845482279659485,0.05480509395291072,0.01643611005854143,0.01590856009030157,0.05533973942202256,0.15670192052900714,0.7149354001371764,0.008262352485468161,4176.859155399189,9636.787830991681
t+2,0.0006061409543595628,0.037776089123344576,806.5108375887781,460.13883930370343,0.5736432472192111,0.26735517108118334,0.15815800750778092,0.036921770358629494,0.6316532121932206,0.0530495731696658,134.77741720515368,0.02852660527209983,0.662570440495765,0.6007699962945074,469.08084592237924,0.07957818670111219,0.08430793203446094,0.05480326995412123,0.016388580431466165,0.01583943780180744,0.053862654921961496,0.15160780531568485,0.7397695089883981,0.008231471473367474,4015.029101812155,9439.403773396665
t+3,0.0005450384087143112,0.035820039455198176,820.9343764744281,475.10440881757063,0.5674121265386188,0.2590445641519271,0.15261993931864315,0.03456747822815984,0.5988370564886336,0.04856284762175623,131.10571728456483,0.028354406461710346,0.6555915483013248,0.5738165298404205,479.3566173046772,0.0787550268917638,0.08398615498379586,0.054800478818117206,0.0163003232745983,0.01580627170323017,0.054047619255621994,0.148451533027963,0.7574350878627484,0.008277942446017714,3852.395130627118,9406.559846843467
t+4,0.0004894029496051558,0.03598340061702012,836.7253651035796,488.0998984308042,0.5688318861612301,0.2533083477897279,0.1491201445045076,0.034037917019726166,0.5740023842977775,0.04495038079294743,129.22147608739886,0.028300325044588143,0.6561679636131923,0.5559540876341407,494.1863925913866,0.0782792767939702,0.08370058821966174,0.054767068142649394,0.016234603499816338,0.015786858292334217,0.054500627216166046,0.14774283711074532,0.7697135712351303,0.008314945440292982,3718.807582829404,9407.95714348692
t+5,0.0004457663734510257,0.03745379699407754,852.7916620075641,498.9911593555598,0.5741020883639387,0.25064060468898,0.14832005147406419,0.034893313575451716,0.5576330255597873,0.04271791129871885,128.96023845991436,0.02831838090015881,0.661168179002466,0.546057559150248,510.09091860306097,0.07805018574653173,0.08356209325875011,0.05473010383032967,0.016190800596902855,0.01578049651156437,0.054815210163087366,0.14874013191573704,0.7797899061677124,0.008329703737907871,3621.606897102676,9428.1600390166
t+6,0.00041573412360372525,0.039324611286482965,867.2411103004557,507.63297834279615,0.5805889392668157,0.2500517531520179,0.14893476281370488,0.03630913434754859,0.5482195706060544,0.04160673133261496,129.64533663801384,0.02836814520972398,0.6681318822059125,0.5407519453502854,525.1319956533304,0.07796341082942834,0.08354905526909417,0.05468436162408207,0.016160094075300047,0.01578282998246766,0.05496827355348678,0.15032785074509966,0.7882961294967656,0.00832829224396875,3555.5060970742747,9459.535336582154
t+7,0.0003983360875562247,0.041120778887324856,879.1699170683432,514.564189403921,0.5869597304106781,0.2505013107919352,0.1499572941037344,0.0378144584266238,0.5437695455547109,0.04120011057597203,130.742699678125,0.028415579347538026,0.6750809014016852,0.5380240125457598,537.9684091102946,0.07794982853604608,0.08360011208433292,0.054615855685343453,0.016127367309436,0.015785693908860768,0.054995121488253355,0.15184778047553088,0.7955138299861325,0.008316845616638771,3512.2236052408903,9492.117434648886
t+8,0.0003895610378273531,0.04264074931624901,888.0811815528411,520.0063644941072,0.5925249001588433,0.2515132077721251,0.15094597996347006,0.03916119671918614,0.5423090857015449,0.0411583037788173,131.87851003274514,0.028449201365829447,0.6812313052192303,0.5368085329140716,548.1256811263934,0.07796242661035575,0.08367221841101548,0.054515036628773446,0.01608616610928666,0.015779814239184585,0.054932671717251205,0.1531061067155285,0.8014609141447584,0.008300996608065391,3484.8584640530275,9520.659588387936
t+9,0.00038599102971513695,0.04384786388896293,894.1360501071213,524.1574382519013,0.5971687772216944,0.25261550988570575,0.15175033296441556,0.04025379197976348,0.5423976066575202,0.04124821758633388,132.89733637900278,0.028474558684175533,0.6861704367257376,0.5362486197263072,555.8101684249904,0.07799027041401918,0.08375210401975255,0.05437197202300361,0.016033350570107328,0.01575880721417608,0.054799664475715826,0.15408656878320137,0.8061711919326835,0.008286741867464274,3468.3954806268016,9543.34528562571
t+10,0.0003849791657100221,0.044772590133803,897.9009869778657,527.2386415507069,0.6008693144461522,0.2535964396470352,0.15232886110827826,0.04110292405099073,0.5432198619218767,0.04136004910422461,133.73861282213716,0.02850290585000401,0.6899302250645146,0.5360141594779994,561.4601129027175,0.07803311939577408,0.08378417655412719,0.05422619400613257,0.015979621088468805,0.015732378258349507,0.05465151573005923,0.15481559153119334,0.8097651167265568,0.008278532393711952,3459.080568511769,9560.28263387751
