,QV1_AI01,QV2_AI02,SV1_FI05,SV2_FI06,SV3_TI06,SV4_TI01,SV5_PI06,SV6_AT02,SV7_TI02,SV8_TI03,SV9_FT04,SV10_TI04,SV11_TI05,SV12_TI07,SV13_FIC02,SV14_TI08,SV15_TIC12,SV16_TI09,SV17_PI04,SV18_PIC03,SV19_TI10,SV20_PI05,SV21_TI11,SV22_PIC02,SV23_FIC01,SV24_FIC02
t+1,0.2923418179271611,0.13818779102236373,0.013139464849711019,0.01924427299727529,0.014143395080637798,0.00817482432815953,0.00889273268223909,0.06715245477645158,0.018108160066635758,0.001975904965940324,3515578.294821931,0.0011598016163620146,0.016214005115995495,0.02213798271204226,0.022556908206147072,0.002840071734843004,0.0026049336198437282,0.0022358804539100922,0.0014326042692344282,0.0013865361762493097,0.002256879261853201,0.008585660988306524,0.01299995710240849,0.0007135633874906005,0.04962620538951651,25.372457491540107
t+2,0.26655000006175156,0.12608477941850268,0.013266106759472499,0.019848597989463868,0.01373420997963077,0.00788793407462083,0.008674469088641994,0.06126992826422435,0.01697987281683729,0.001833264063616349,3463402.7900030063,0.0011466305813317118,0.015805390002912676,0.020905941478012023,0.022707900737894866,0.0027986821082663467,0.002597124653380703,0.002235965031358854,0.001428451716817612,0.0013804372814204074,0.0021969195111996172,0.008305498667958175,0.013449980921170415,0.000710937813908952,0.04764129930183285,25.556555830995404
t+3,0.2385767128254779,0.1213221638728765,0.013526120223706008,0.020492291803172153,0.013569344723086794,0.007642049535131663,0.008366846702643732,0.05766257948879664,0.01610057073350921,0.0016781199143030756,3407473.3357518557,0.0011397226459686916,0.015639566875817752,0.0199632128352321,0.023224197607265153,0.002769637261988647,0.0025871738649911385,0.0022359142220919684,0.00142073888130142,0.0013775121776802009,0.0022045043160978674,0.008131481058461832,0.013769573803037963,0.0007149728006014542,0.04566656648747069,25.45243342391355
t+4,0.21198416640692164,0.12513763744131517,0.013802292029003453,0.02105882246341425,0.013587535929861725,0.007471603871910974,0.008172742542261455,0.057118381377758744,0.015433176887439986,0.0015531190558101405,3367663.0731070833,0.0011375476094906691,0.015647350822185834,0.01932157629039787,0.023964352239112845,0.002752902937313863,0.0025784476074669667,0.002234543344264088,0.0014149911713786944,0.0013758000363661195,0.0022229545195196084,0.008093731935022634,0.013991132716607678,0.0007181751321903417,0.04406020346117084,25.276739495901083
t+5,0.19009284428734827,0.13351889001443465,0.01407859545739576,0.02153759609508884,0.01369912785078536,0.007391248882780991,0.00812941432808651,0.05886622933786262,0.014991348534305027,0.0014757817185235202,3348998.7233992512,0.0011382553626963269,0.015759057023712934,0.018951028040889207,0.02475556153040706,0.002744893536030983,0.0025742629306018537,0.002232993384519428,0.0014111565207127758,0.001375229624486532,0.0022357473169415712,0.008151377393113387,0.014172951270598788,0.0007194461717840059,0.04290320206197666,25.122726038607016
t+6,0.17406591891082374,0.14281689544221343,0.014325398428256291,0.021920028311994966,0.013841850104558677,0.007372239204720832,0.008165157102515835,0.061491873256862464,0.014735310642312082,0.0014372090375252956,3346153.974761383,0.0011402213357086402,0.015918561250024013,0.01874181496446676,0.02550157606814427,0.002741898203208719,0.002573926926509624,0.0022310687747925475,0.0014084630288074102,0.0013754156154852986,0.002241947304956424,0.008242093031172074,0.01432677366442846,0.000719312998042944,0.04212526971014198,25.01440351475325
t+7,0.16381838248868671,0.15117110114127974,0.014529123905833455,0.02222792599094822,0.013983987298261705,0.007384101923290494,0.008223702973493245,0.06419399061762882,0.014612200113004225,0.0014230181520459614,3351997.763908709,0.0011420753904783569,0.016079534197371112,0.018626605461410175,0.026137246420422828,0.00274146208403178,0.002575547308206018,0.002228189234606493,0.0014055854104993968,0.0013756381569971067,0.002242975542254022,0.008328995691232327,0.014457757649304364,0.0007183055824386971,0.04162245443840404,24.94643553341989
t+8,0.15786332910803036,0.1579453559669168,0.014682649402093854,0.022470233612706943,0.01410900893039396,0.007412866164420933,0.008280364732423228,0.0665720990932291,0.014569502315084602,0.001421476414925578,3361274.064880816,0.0011433645676767704,0.016223343016385505,0.018568578889215287,0.026640012396011287,0.002741927524624972,0.002577801708251292,0.00222391021764947,0.0014019401475574315,0.0013750684384123482,0.0022402785070654825,0.008401165912200529,0.014566186484904564,0.000716913975009174,0.04130943041042043,24.90551132599817
t+9,0.15472489932242164,0.1631800195373663,0.01479007032435345,0.02265530033586528,0.014213813031606523,0.00744460501286179,0.008326499236151282,0.06848542674868294,0.014568846021557957,0.0014245209880955137,3371027.0406404315,0.0011443397200636154,0.0163397475799867,0.01853754570402991,0.027020368004220738,0.0027429222491512366,0.0025802827650033776,0.0022177020147766814,0.0013972106722754786,0.0013731076095421888,0.0022344949917836626,0.008457465563092778,0.014652608057794963,0.0007156665387743816,0.0411248851757177,24.880259929366815
t+10,0.1531346142467682,0.16711856043957957,0.014860546379369765,0.022792798213444584,0.014297590543195824,0.007473016705799201,0.008359790226512983,0.06996265812306211,0.014588416031543917,0.0014283455684788848,3379833.7245442937,0.0011454655476889606,0.01642909718309431,0.01852122111072611,0.02730009152084242,0.0027444444438273945,0.002581262085949955,0.0022113497820860644,0.0013923895497915415,0.001370662209326922,0.0022280571281673087,0.008499389002092425,0.014719072045022668,0.0007149523773891245,0.041023483409343316,24.863438560690685
