,QV1_AI01,QV2_AI02,SV1_FI05,SV2_FI06,SV3_TI06,SV4_TI01,SV5_PI06,SV6_AT02,SV7_TI02,SV8_TI03,SV9_FT04,SV10_TI04,SV11_TI05,SV12_TI07,SV13_FIC02,SV14_TI08,SV15_TIC12,SV16_TI09,SV17_PI04,SV18_PIC03,SV19_TI10,SV20_PI05,SV21_TI11,SV22_PIC02,SV23_FIC01,SV24_FIC02
t+1,0.4370019500840504,0.5254426405462568,0.40565492993533137,0.518499374357676,0.08146909987037843,0.5045361955009577,0.23467580359349138,0.5610834967236346,0.23019427557932925,0.28098444589918936,0.4008887083747392,0.04385870707530792,0.26650092929040703,0.02087168726864097,0.5184170919618305,0.13858588330861166,0.02064317129096538,0.027574161415773624,0.014491585523360828,0.02084628079070039,0.019658183201028856,0.21839763309827542,0.49602471252374525,0.034843770927248996,0.2018969108604426,0.013996801625860589
t+2,0.5255350897817137,0.5970959579670794,0.4134107436543841,0.4967193865648325,0.12979448985374087,0.5319713183888839,0.24392478347346458,0.6368632590586358,0.3064489422537878,0.3604675078033819,0.42679250982199024,0.0546710061776321,0.28863931030612355,0.09644968492002381,0.5165700653884824,0.15452371868275305,0.02163053866587572,0.022877105984206003,0.00833437685537064,0.013401098621114604,0.04655324309906572,0.23309902175191866,0.46279744811750456,0.02616717712978367,0.26185052614583937,0.031275788469553034
t+3,0.6157653735426665,0.650003422687335,0.41323936823254637,0.4740639697634772,0.16548885995127738,0.5561119300375735,0.25488457583516444,0.6846123356497061,0.36503856872781704,0.43947403538673246,0.44628601357138054,0.057591733008732215,0.30261110325970975,0.17377561708882205,0.49982167435028235,0.16555763672968427,0.026340494836468165,0.017723695467180556,0.004217674399104143,0.01493125049928401,0.04418905192456413,0.23833665572961849,0.4435401416760957,0.01373906958078519,0.31961049298785005,0.03663407124256257
t+4,0.6884146787796479,0.6737364726064441,0.40590077361532706,0.4527888307614588,0.18932370291990608,0.5738856009513764,0.25979596602325594,0.7013811489298206,0.4095292045617337,0.4961980504138711,0.4553721330895478,0.055843059828219466,0.3100048567431729,0.23424135357272258,0.4728139622343025,0.17150119158390642,0.030906781942628303,0.014537639104086453,0.0014621679713747726,0.01879168653911978,0.03648675594451212,0.2380874359159184,0.43151326661266687,0.005350378714887083,0.36493259961517943,0.03662107863310482
t+5,0.7384352880007712,0.6739296835348265,0.3950335280249081,0.4338078844413844,0.2037753470020084,0.5846189513077035,0.25882639657053985,0.6951445758166145,0.4398308320062254,0.5297250195526966,0.455116494137054,0.051939390970791255,0.31165445055116325,0.27485953737204893,0.4422156587091247,0.17386829322244368,0.033945254024182914,0.013533372040194003,0.00011825957714572954,0.02202156150478629,0.03052421528205551,0.23461576018473962,0.4221800812614581,0.0015008441223840485,0.39674153163352466,0.03394064234732441
t+6,0.7690732525654,0.660874277551978,0.38371162039375184,0.4176350636973105,0.21159967474879116,0.5896650885965407,0.25454724226655345,0.6765093697042779,0.45858919009078114,0.547404866946019,0.4490813785210338,0.04749394443175903,0.30940711528983533,0.2995674180591956,0.4130272868195619,0.1740296072328278,0.03561115694298278,0.014016278824754203,0.00014726331475556353,0.02394605035289399,0.027417649198734795,0.2296687968600868,0.4139286103272882,0.0004996261327193663,0.4175478002156623,0.03035782726970082
t+7,0.7860225491544873,0.6428885243921689,0.37381581128681673,0.4043880425359605,0.21515565065681164,0.5910073070383963,0.249239248813515,0.653700872148133,0.46926171915700343,0.5563803625726926,0.4405991388021939,0.04348923334929111,0.30524050175141415,0.31361382692228323,0.38785659120776395,0.17300885546096878,0.0363871625094615,0.015237121724110514,0.0011932952529821739,0.024807020828566007,0.026476016738457342,0.22445086696696137,0.40654318158814573,0.0008106420310070028,0.43049709027710825,0.02692744020670379
t+8,0.7944116902453668,0.6249006322244097,0.36627016801313705,0.39388752948599537,0.21619711722735047,0.590333172973403,0.24421197775935422,0.631606368706646,0.4747868494605978,0.56104099428459,0.4318753439842993,0.040269587806746276,0.3005893979872962,0.32121596755549797,0.3675067571482842,0.17147751741553774,0.036668885160565656,0.01671719632367097,0.0027246217481587953,0.02508013611583626,0.026817753341476402,0.21962415304366334,0.4001692514370214,0.0015225956667109797,0.4382512980559251,0.02413506487010586
t+9,0.7979270113011241,0.6091932188936442,0.3616797582615706,0.3857711619633265,0.21591384900541177,0.5887775048726567,0.23987155135419902,0.6125166749468516,0.4772526125677454,0.5636370470573473,0.4240900475799074,0.03758660215963949,0.29624671761206844,0.32515867623537753,0.351748234703379,0.16977860677600165,0.036726836383935035,0.018336503452652697,0.004256635744851245,0.025247077310514343,0.027946389212449074,0.21535472531386568,0.39494055905939596,0.0021654222450026017,0.44274517789374146,0.022096093653872773
t+10,0.7989128824547833,0.5964643906800615,0.359589433451576,0.37964281438792347,0.21503868937749937,0.5869955437475063,0.2363781986083915,0.5971173084019128,0.478014871780324,0.5653809474943348,0.417706115030157,0.035207027734886154,0.29256287636098643,0.3270932447336232,0.33992991128452377,0.16815479511848175,0.036763227962655964,0.019842050150591706,0.005761769339675871,0.025363415569474745,0.02933718528030904,0.21176835422136098,0.3908220188389704,0.0025349935667775547,0.4452750722606438,0.020733183435152402
