,QV1_AI01,QV2_AI02,SV1_FI05,SV2_FI06,SV3_TI06,SV4_TI01,SV5_PI06,SV6_AT02,SV7_TI02,SV8_TI03,SV9_FT04,SV10_TI04,SV11_TI05,SV12_TI07,SV13_FIC02,SV14_TI08,SV15_TIC12,SV16_TI09,SV17_PI04,SV18_PIC03,SV19_TI10,SV20_PI05,SV21_TI11,SV22_PIC02,SV23_FIC01,SV24_FIC02
t+1,0.0008119285391998311,0.062494377310482206,1420.8988097569086,592.0853299594684,1.0721435014707656,0.36394611259043874,0.2774424770312894,0.053182708142940946,0.9360341236277897,0.07033655315415543,175.1209938561391,0.04543645481956768,1.0795627477342233,0.8131194317274739,608.6892541569717,0.10592978585081166,0.14641505523355652,0.08810301059828114,0.025427315747784906,0.02534520373279778,0.08846088258320851,0.28037750327728334,1.0088465136719544,0.013041303370734031,4959.7198685197,15944.488895664144
t+2,0.0007453858578462307,0.057575848496864604,1408.8083863067552,605.2561478678091,1.0431645975660775,0.35355865693092303,0.2744118751832017,0.04836079777237869,0.8882583056704975,0.06633052905651092,171.29472008755502,0.045179262435804154,1.0615214586999966,0.7811571380939808,609.8369058438697,0.10492782179107642,0.1463234351664302,0.08829252208760881,0.025499839647289288,0.02543461300042871,0.08721627843105495,0.27636945758377945,1.0402279691032028,0.013100032146063667,4770.161089908102,15797.998932013967
t+3,0.0006707964531062136,0.05365637346390381,1406.103056131718,618.6625511818106,1.0212845527976333,0.3441935989425494,0.27107687212752396,0.0450586373552208,0.8497879919175864,0.06208465977231582,168.35762955547787,0.04509313564762359,1.0492945472216124,0.747028132415965,620.2972097728514,0.10423606466614882,0.1459586109550249,0.08852055762503111,0.025551350381033625,0.025413525766384892,0.08731991566166347,0.2740704524020922,1.0573231819370317,0.013178720256782146,4580.07812237097,15748.619995613137
t+4,0.0006040779906100908,0.05180012384714441,1411.783176679159,630.9893589769823,1.0064162086770854,0.3371420433911064,0.2688512910933584,0.043836019635027756,0.8194047050609763,0.05883419953188127,166.97110139651755,0.04507972165913577,1.0418383687110475,0.7192111630628945,636.8139611438261,0.10386436433757658,0.1456052422143709,0.08866381590406162,0.02558661534152915,0.02536361707616893,0.08767085503436209,0.27276520564269696,1.0672705339707325,0.013218525017762684,4425.243486516002,15744.060775598264
t+5,0.0005534835426643864,0.0517805531383093,1421.3253424065767,641.7808939091299,0.9972815383912763,0.33280743832251886,0.26770342842870126,0.044284864222437166,0.7980643697701483,0.05680715533207056,167.01076145376484,0.045059196208954225,1.038585169847701,0.6999058152726001,655.0269025181955,0.10371293919852764,0.14536767725933358,0.08869618234911203,0.025600210739231653,0.025318260363144773,0.08792901567562486,0.2720405968217547,1.0745477275424777,0.013210790714002442,4313.324788212902,15762.378289981665
t+6,0.0005200697265467943,0.05280350717746663,1430.9351535155577,650.8269741764195,0.9922800923694997,0.330739092396111,0.26716322264758674,0.04561327483594722,0.7845687132266111,0.05568648062920958,167.9324170951082,0.04496850029499509,1.0381539666343673,0.6878977672788589,671.9425043710484,0.10368772297169426,0.14523441353221514,0.08862189795263242,0.02558493471556404,0.02527861088894008,0.08801756842459041,0.27158473480491063,1.0807110374309443,0.013159992751836823,4238.6133078752055,15789.028009259368
t+7,0.0005006297319884015,0.054182839159290605,1438.2045663599672,658.1357373290745,0.989973263252745,0.330169542792472,0.26683239512171847,0.04719004113230703,0.7767879936348647,0.055089056472512214,169.21938334212982,0.04475029958108456,1.0390480103065223,0.6809726387673757,686.196744302301,0.10371309513363376,0.14516776471195345,0.08840379880188756,0.02552529165749031,0.025221753193582316,0.087897884050669,0.2712017157578253,1.0859709237447253,0.013066700323385482,4191.55175942677,15815.216301548006
t+8,0.0004907260103498936,0.05552839107613257,1441.611030483871,663.8660084586031,0.9892655213885908,0.3304171487095866,0.26652293638637686,0.048669055782020826,0.7727284050164404,0.05477015681945272,170.53359340502647,0.04444115592344147,1.0402283752508004,0.6771882197277364,697.5109543067687,0.10375246053744029,0.14513880774994328,0.08787717140670674,0.025375895880955103,0.025089863285757078,0.08742465682957493,0.2708235936530097,1.0901807947676514,0.012950168175180169,4163.236402629928,15836.823376950404
t+9,0.00048651976604825584,0.05667716672452975,1439.1989235797143,668.2661889162682,0.9894117342181717,0.33101604231739407,0.26630642967970697,0.049911464387722364,0.7709060125582594,0.054598977978115394,171.69181365302623,0.0442252777527935,1.041205137804641,0.6752129649218163,706.1551191241742,0.10382199970494398,0.14513391024720104,0.08666213321023086,0.025036910376941057,0.024771613613898003,0.0862369053069785,0.2705670089001353,1.0931635737436005,0.0128653020462323,4146.86655865878,15852.760467700937
t+10,0.00048533814543712874,0.0575910785469271,1432.0925411459873,671.574883895557,0.9899401591213162,0.33169706485361106,0.2661484004209627,0.050891231054775624,0.770334412747726,0.05449059150019697,172.6221228436692,0.04419540533580391,1.0417903240623372,0.6742480231312363,712.5755161128186,0.10391923530210823,0.1450517803821673,0.08531219221560589,0.024659831409001517,0.024415534061350695,0.08489796195530167,0.27040308012627445,1.095020942432786,0.012838603670186593,4137.757515388687,15863.514744304952
