Variable,MAE,RMSE,R2,MAPE
QV1_AI01,8.826049577330591e-05,0.0001292870572719347,0.9821086435274532,3.3650648936145737
QV2_AI02,0.019527682468667304,0.02612120223139213,0.902034471258979,7.576022661167162
SV1_FI05,252.94440834509157,379.15291667234027,0.9527954363828168,0.4245730855916338
SV2_FI06,113.15463776243377,171.32839262079946,0.9575117606516115,0.48897697043614186
SV3_TI06,0.17109163801389699,0.3020102144383516,0.9460020126618137,0.40509320218164047
SV4_TI01,0.15221620294689778,0.19842890778725503,0.806677736847192,0.4477819887872313
SV5_PI06,0.03518097946507077,0.0578066778428672,0.9602467918681191,0.1951151147372896
SV6_AT02,0.021372076178298817,0.027496878497361352,0.8563916104885456,3.727753984664619
SV7_TI02,0.17327082668092694,0.23481252540996125,0.9483004307698769,0.46015754966513167
SV8_TI03,0.01801339969010588,0.024263664001560516,0.8942636406696283,0.06216804711449131
SV9_FT04,39.31521969579427,56.74791767304921,0.9383490397164398,39199952498.02291
SV10_TI04,0.01626284202636947,0.02726098796491134,0.7043770207304612,0.06534008673460903
SV11_TI05,0.22136608966681098,0.3503523329331986,0.9318486851272645,0.530139917841078
SV12_TI07,0.09011408218206558,0.13172340752412956,0.9775510126489857,0.3080387553267929
SV13_FIC02,113.79733467031062,171.7132098300589,0.9594685805686307,0.5518325250698954
SV14_TI08,0.02375668652161488,0.03473573934854719,0.9164792381908234,0.08355622485935572
SV15_TIC12,0.055669213521871444,0.09544397152866188,0.5966204276824281,0.17127771417046944
SV16_TI09,0.026156363999655905,0.04606078582566385,0.7308097118005741,0.10655548804168065
SV17_PI04,0.00757881311355163,0.013351191156154381,0.7257638209240516,0.06600038192925815
SV18_PIC03,0.007527507024263261,0.013233942297146471,0.7305593021070116,0.06555265325810071
SV19_TI10,0.026256963481996413,0.04616353868624012,0.7296073474102177,0.10696646288234965
SV20_PI05,0.035105458796672276,0.05753931578562962,0.9606136671472771,0.19468802901553564
SV21_TI11,0.15829126584463787,0.22326905397171332,0.9729742658694106,0.2880744277573563
SV22_PIC02,0.004683340573711879,0.007888790098357003,0.6988111408828106,0.040439212491436616
SV23_FIC01,527.9470308382247,731.6673196187774,0.9849817344857899,0.6161314366551827
SV24_FIC02,3933.9993566209223,6746.61882447111,0.8172039336344772,276.1356982555787
