Variable,MAE
QV1_AI01,0.0007904766273806147
QV2_AI02,0.06381896365561757
SV1_FI05,1508.4008518554283
SV2_FI06,752.7878750582478
SV3_TI06,1.005170052519664
SV4_TI01,0.4584478113149758
SV5_PI06,0.23131452865853191
SV6_AT02,0.06620291900269551
SV7_TI02,0.8401257053126513
SV8_TI03,0.06336350139580821
SV9_FT04,187.36234042423658
SV10_TI04,0.05002882738594412
SV11_TI05,1.4176632642256743
SV12_TI07,0.5217105112726216
SV13_FIC02,761.420624977609
SV14_TI08,0.1223953869084869
SV15_TIC12,0.1926601007327152
SV16_TI09,0.0916905742459366
SV17_PI04,0.026269973433981863
SV18_PIC03,0.026248466191650874
SV19_TI10,0.09190954667286694
SV20_PI05,0.23086630664526264
SV21_TI11,1.1375902628565333
SV22_PIC02,0.014484153541450039
SV23_FIC01,1867.2145472752748
SV24_FIC02,15696.43953442078
