Variable,MAE
QV1_AI01,0.00011416275340813073
QV2_AI02,0.023118359427941833
SV1_FI05,329.86640265243057
SV2_FI06,159.7958263891473
SV3_TI06,0.23370327973940447
SV4_TI01,0.1590227111857106
SV5_PI06,0.04673182406046006
SV6_AT02,0.02353445257003573
SV7_TI02,0.25344729642410474
SV8_TI03,0.019732504443230797
SV9_FT04,57.08178410102298
SV10_TI04,0.01899473355101689
SV11_TI05,0.31524145319404634
SV12_TI07,0.13072361394775228
SV13_FIC02,163.3127378908449
SV14_TI08,0.035354800945556035
SV15_TIC12,0.05560977671455675
SV16_TI09,0.031741059370108037
SV17_PI04,0.009112618707885005
SV18_PIC03,0.00909028867157526
SV19_TI10,0.03180032009235957
SV20_PI05,0.046787242832256014
SV21_TI11,0.23825971785652494
SV22_PIC02,0.005469850241809629
SV23_FIC01,528.5858455769194
SV24_FIC02,3980.2442332650876
