experiment,training_type,seed,distribution,target,mv,probe_points,possible_comparisons,valid_comparisons,coverage_percent,teacher_positive_percent,dynamic_positive_percent,kci_percent,tp,tn,fp,fn
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,in_range,B35_H2S,air2_SP,4417,8834,7218,81.70704097803939,14.408423385979496,1.0806317539484622,86.11803823773899,58,6158,20,982
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,in_range,B35_H2S,HEATER2_output_T_SP,4417,8834,8202,92.84582295675798,61.37527432333577,50.60960741282614,86.96659351377713,4058,3075,93,976
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,in_range,B35_SO2,air2_SP,4417,8834,8636,97.75865972379444,100.0,99.94210282538212,99.94210282538212,8631,0,0,5
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,in_range,B35_SO2,HEATER2_output_T_SP,4417,8834,6696,75.7980529771338,57.317801672640385,64.2921146953405,77.01612903225806,3302,1855,1003,536
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,soft_ood,B35_H2S,air2_SP,3194,6388,4994,78.17783343769568,27.673207849419303,3.223868642370845,74.58950740889067,137,3588,24,1245
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,soft_ood,B35_H2S,HEATER2_output_T_SP,3194,6388,5600,87.66437069505322,50.0,41.357142857142854,87.10714285714286,2197,2681,119,603
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,soft_ood,B35_SO2,air2_SP,3194,6388,5332,83.46900438321853,100.0,99.0622655663916,99.0622655663916,5282,0,0,50
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,soft_ood,B35_SO2,HEATER2_output_T_SP,3194,6388,4550,71.22730118973074,42.1978021978022,59.86813186813187,75.64835164835165,1768,1674,956,152
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,in_range,B35_H2S,air2_SP,4417,8834,7218,81.70704097803939,14.408423385979496,0.914380714879468,85.97949570518149,47,6159,19,993
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,in_range,B35_H2S,HEATER2_output_T_SP,4417,8834,8202,92.84582295675798,61.37527432333577,48.65886369178249,85.06461838575957,3900,3077,91,1134
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,in_range,B35_SO2,air2_SP,4417,8834,8636,97.75865972379444,100.0,99.88420565076424,99.88420565076424,8626,0,0,10
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,in_range,B35_SO2,HEATER2_output_T_SP,4417,8834,6696,75.7980529771338,57.317801672640385,68.77240143369175,68.17502986857825,3156,1409,1449,682
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,soft_ood,B35_H2S,air2_SP,3194,6388,4994,78.17783343769568,27.673207849419303,3.1637965558670404,74.48938726471766,133,3587,25,1249
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,soft_ood,B35_H2S,HEATER2_output_T_SP,3194,6388,5600,87.66437069505322,50.0,40.339285714285715,85.91071428571429,2135,2676,124,665
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,soft_ood,B35_SO2,air2_SP,3194,6388,5332,83.46900438321853,100.0,98.72468117029257,98.72468117029257,5264,0,0,68
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,soft_ood,B35_SO2,HEATER2_output_T_SP,3194,6388,4550,71.22730118973074,42.1978021978022,65.16483516483517,70.0,1760,1425,1205,160
