experiment,training_type,seed,distribution,target,mv,probe_points,possible_comparisons,valid_comparisons,coverage_percent,teacher_positive_percent,dynamic_positive_percent,kci_percent,tp,tn,fp,fn
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,in_range,B35_H2S,air2_SP,4417,8834,7632,86.39347973737831,13.181341719077569,0.8647798742138365,86.81865828092243,33,6593,33,973
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,in_range,B35_H2S,HEATER2_output_T_SP,4417,8834,8050,91.12519809825673,60.79503105590062,50.409937888198755,87.67701863354037,3980,3078,78,914
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,in_range,B35_SO2,air2_SP,4417,8834,8576,97.07946570070183,100.0,99.95335820895522,99.95335820895522,8572,0,0,4
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,in_range,B35_SO2,HEATER2_output_T_SP,4417,8834,6784,76.79420421100295,59.257075471698116,65.02063679245283,77.34375,3447,1800,964,573
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,out_range,B35_H2S,air2_SP,1947,3894,3042,78.12018489984591,21.23602892833662,2.1696252465483234,76.92307692307692,5,2335,61,641
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,out_range,B35_H2S,HEATER2_output_T_SP,1947,3894,3236,83.10220852593734,52.595797280593324,41.1310259579728,83.34363411619283,1247,1450,84,455
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,out_range,B35_SO2,air2_SP,1947,3894,3526,90.54956343091936,100.0,92.31423709585933,92.31423709585933,3255,0,0,271
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,out_range,B35_SO2,HEATER2_output_T_SP,1947,3894,2740,70.36466358500257,48.02919708029197,67.95620437956204,65.83941605839416,1121,683,741,195
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed43,gain,43,in_range,B35_H2S,air2_SP,4417,8834,7632,86.39347973737831,13.181341719077569,3.210167714884696,87.6703354297694,155,6536,90,851
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed43,gain,43,in_range,B35_H2S,HEATER2_output_T_SP,4417,8834,8050,91.12519809825673,60.79503105590062,55.453416149068325,91.5527950310559,4339,3031,125,555
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed43,gain,43,in_range,B35_SO2,air2_SP,4417,8834,8576,97.07946570070183,100.0,99.97667910447761,99.97667910447761,8574,0,0,2
