experiment,training_type,seed,distribution,probe_points,possible_comparisons,valid_comparisons,coverage_percent,micro_kci_percent
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,in_range,4417,35336,31042,87.84808693683496,88.59931705431352
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,out_range,1947,15576,12544,80.5341551104263,80.48469387755102
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed43,gain,43,in_range,4417,35336,31042,87.84808693683496,93.17698601894207
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed43,gain,43,out_range,1947,15576,12544,80.5341551104263,79.87882653061224
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed44,gain,44,in_range,4417,35336,31042,87.84808693683496,93.16732169318988
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed44,gain,44,out_range,1947,15576,12544,80.5341551104263,87.74713010204081
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,in_range,4417,35336,31042,87.84808693683496,86.17357129050963
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,out_range,1947,15576,12544,80.5341551104263,78.01339285714286
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed43,no_gain,43,in_range,4417,35336,31042,87.84808693683496,92.47149023903098
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed43,no_gain,43,out_range,1947,15576,12544,80.5341551104263,78.48373724489795
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed44,no_gain,44,in_range,4417,35336,31042,87.84808693683496,92.52625475162682
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed44,no_gain,44,out_range,1947,15576,12544,80.5341551104263,87.21301020408163
