experiment,training_type,seed,distribution,target,mv,probe_points,possible_comparisons,valid_comparisons,coverage_percent,teacher_positive_percent,dynamic_positive_percent,kci_percent,tp,tn,fp,fn
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,in_range,B35_H2S,air2_SP,4417,8834,7218,81.70704097803939,14.408423385979496,1.0806317539484622,86.11803823773899,58,6158,20,982
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,in_range,B35_H2S,HEATER2_output_T_SP,4417,8834,8202,92.84582295675798,61.37527432333577,50.60960741282614,86.96659351377713,4058,3075,93,976
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,in_range,B35_SO2,air2_SP,4417,8834,8636,97.75865972379444,100.0,99.94210282538212,99.94210282538212,8631,0,0,5
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,in_range,B35_SO2,HEATER2_output_T_SP,4417,8834,6696,75.7980529771338,57.317801672640385,64.2921146953405,77.01612903225806,3302,1855,1003,536
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,out_range,B35_H2S,air2_SP,1947,3894,2600,66.76938880328711,27.384615384615383,1.5384615384615385,72.38461538461539,17,1865,23,695
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,out_range,B35_H2S,HEATER2_output_T_SP,1947,3894,3172,81.45865434001027,53.84615384615385,37.01134930643127,77.6796973518285,1087,1377,87,621
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,out_range,B35_SO2,air2_SP,1947,3894,3118,80.07190549563431,100.0,93.39320076972419,93.39320076972419,2912,0,0,206
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,out_range,B35_SO2,HEATER2_output_T_SP,1947,3894,2742,70.41602465331279,47.19183078045222,68.05251641137856,65.28081692195478,1104,686,762,190
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,in_range,B35_H2S,air2_SP,4417,8834,7218,81.70704097803939,14.408423385979496,0.914380714879468,85.97949570518149,47,6159,19,993
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,in_range,B35_H2S,HEATER2_output_T_SP,4417,8834,8202,92.84582295675798,61.37527432333577,48.65886369178249,85.06461838575957,3900,3077,91,1134
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,in_range,B35_SO2,air2_SP,4417,8834,8636,97.75865972379444,100.0,99.88420565076424,99.88420565076424,8626,0,0,10
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,in_range,B35_SO2,HEATER2_output_T_SP,4417,8834,6696,75.7980529771338,57.317801672640385,68.77240143369175,68.17502986857825,3156,1409,1449,682
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,out_range,B35_H2S,air2_SP,1947,3894,2600,66.76938880328711,27.384615384615383,1.3076923076923077,72.46153846153847,15,1869,19,697
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,out_range,B35_H2S,HEATER2_output_T_SP,1947,3894,3172,81.45865434001027,53.84615384615385,36.097099621689786,76.32408575031526,1051,1370,94,657
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,out_range,B35_SO2,air2_SP,1947,3894,3118,80.07190549563431,100.0,92.3348300192431,92.3348300192431,2879,0,0,239
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,out_range,B35_SO2,HEATER2_output_T_SP,1947,3894,2742,70.41602465331279,47.19183078045222,79.50401167031364,56.309263311451495,1138,406,1042,156
