experiment,training_type,seed,distribution,target,mv,probe_points,possible_comparisons,valid_comparisons,coverage_percent,teacher_positive_percent,dynamic_positive_percent,kci_percent,tp,tn,fp,fn
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_ss001_seed42,gain,42,in_range,B35_H2S,air2_SP,4417,8834,7218,81.70704097803939,14.408423385979496,1.2053200332502079,85.85480742587974,53,6144,34,987
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_ss001_seed42,gain,42,in_range,B35_H2S,HEATER2_output_T_SP,4417,8834,8202,92.84582295675798,61.37527432333577,56.43745427944404,92.91636186296026,4541,3080,88,493
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_ss001_seed42,gain,42,in_range,B35_SO2,air2_SP,4417,8834,8636,97.75865972379444,100.0,100.0,100.0,8636,0,0,0
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_ss001_seed42,gain,42,in_range,B35_SO2,HEATER2_output_T_SP,4417,8834,6696,75.7980529771338,57.317801672640385,61.63381123058542,94.36977299880526,3794,2525,333,44
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_ss001_seed42,gain,42,out_range,B35_H2S,air2_SP,1947,3894,2600,66.76938880328711,27.384615384615383,4.3076923076923075,71.38461538461539,40,1816,72,672
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_ss001_seed42,gain,42,out_range,B35_H2S,HEATER2_output_T_SP,1947,3894,3172,81.45865434001027,53.84615384615385,37.452711223203025,78.18411097099622,1102,1378,86,606
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_ss001_seed42,gain,42,out_range,B35_SO2,air2_SP,1947,3894,3118,80.07190549563431,100.0,99.45477870429762,99.45477870429762,3101,0,0,17
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_ss001_seed42,gain,42,out_range,B35_SO2,HEATER2_output_T_SP,1947,3894,2742,70.41602465331279,47.19183078045222,54.668125455871625,88.29321663019694,1236,1185,263,58
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,in_range,B35_H2S,air2_SP,4417,8834,7218,81.70704097803939,14.408423385979496,0.914380714879468,85.97949570518149,47,6159,19,993
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,in_range,B35_H2S,HEATER2_output_T_SP,4417,8834,8202,92.84582295675798,61.37527432333577,48.65886369178249,85.06461838575957,3900,3077,91,1134
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,in_range,B35_SO2,air2_SP,4417,8834,8636,97.75865972379444,100.0,99.88420565076424,99.88420565076424,8626,0,0,10
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,in_range,B35_SO2,HEATER2_output_T_SP,4417,8834,6696,75.7980529771338,57.317801672640385,68.77240143369175,68.17502986857825,3156,1409,1449,682
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,out_range,B35_H2S,air2_SP,1947,3894,2600,66.76938880328711,27.384615384615383,1.3076923076923077,72.46153846153847,15,1869,19,697
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,out_range,B35_H2S,HEATER2_output_T_SP,1947,3894,3172,81.45865434001027,53.84615384615385,36.097099621689786,76.32408575031526,1051,1370,94,657
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,out_range,B35_SO2,air2_SP,1947,3894,3118,80.07190549563431,100.0,92.3348300192431,92.3348300192431,2879,0,0,239
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,out_range,B35_SO2,HEATER2_output_T_SP,1947,3894,2742,70.41602465331279,47.19183078045222,79.50401167031364,56.309263311451495,1138,406,1042,156
