Variable,Unit,Source,Mean,Std,Min,P25,Median,P75,Max
Acid Gas Flow,m3/hr,Plant Simulated,2818.6245741974553,494.94121764410045,1426.3495117637272,2511.3899464434526,2867.5401056748196,3175.9645644254324,3862.280150120974
Acid Gas Flow,m3/hr,Training (Aspen),2489.1732439664097,107.67582828737757,1909.2646301224052,2419.564258470818,2491.0752084442074,2562.8032419726806,2922.94483945361
Acid Gas Flow,m3/hr,W251 Plant,3002.67139972336,589.0760401142334,-185.97560119628903,2817.404052734375,2963.7161865234375,3316.0936889648438,6037.62158203125
Acid Gas Temp,deg C,Plant Simulated,82.8285135674087,4.357509672005012,73.65,79.7810914220004,82.77991567531777,85.92168441091921,91.85
Acid Gas Temp,deg C,Training (Aspen),83.60900920222561,0.4273141010340576,81.95621446,83.32363703749999,83.614667295,83.89105140000001,85.34005772
Acid Gas Temp,deg C,W251 Plant,82.75032361750831,4.5502471926463075,47.39397430419922,82.04012107849121,84.22708129882812,85.51442527770996,99.1418685913086
Acid Gas Pressure,barA,Plant Simulated,1.1880584854994494,0.014179815858659595,1.16,1.1780382808725836,1.188127506979921,1.1980076464453857,1.2179
Acid Gas Pressure,barA,Training (Aspen),1.6721092042742207,0.00843229162148793,1.631863004,1.6664919139999999,1.672124732,1.67786447275,1.708453385
Acid Gas Pressure,barA,W251 Plant,1.1881067605526483,0.014916957816382028,0.9808224029541016,1.1810061302185058,1.1885717391967774,1.1960358657836914,1.3846675720214843
Secondary Air,m3/hr,Plant Simulated,834.5351651880305,110.5226661168787,540.5766054162466,758.1132131635634,821.8938692016942,919.3840568615175,1110.1945995580922
Secondary Air,m3/hr,Training (Aspen),223.41612798106877,42.373695812730475,100.1442183,194.622162,224.91368970000002,252.035226675,383.1538523
Secondary Air,m3/hr,W251 Plant,837.4348354114524,130.5129433139982,40.64213180541992,772.1519317626953,857.81689453125,933.8622436523438,1075.5048828125
HEATER2 Out Temp (pre-Cat2),deg C,Plant Simulated,193.25756430589513,5.977413001576095,172.00947945724815,189.5720670890993,193.33286947191291,197.0612507078972,218.52424898806075
HEATER2 Out Temp (pre-Cat2),deg C,Training (Aspen),177.6857326833096,20.798493108220136,130.9184594,162.4400604,177.6242161,192.473404875,245.5991166
HEATER2 Out Temp (pre-Cat2),deg C,W251 Plant,193.3592737156238,5.815801170262735,146.95184326171875,192.38141632080078,194.20714569091797,196.0589141845703,199.04205322265625
