,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,t+13,t+14,t+15,t+16,t+17,t+18
acidgas_Fm,0.08517742,0.085556865,0.06759417,0.07442236,0.07798004,0.06982839,0.069022775,0.06928885,0.06984925,0.061091065,0.06023097,0.059212565,0.05576527,0.055125594,0.05590713,0.05342555,0.053640723,0.054270744
acidgas_CO2,0.028897285,0.030854583,0.023812234,0.02631116,0.029276133,0.007548809,0.0057296753,0.0069921017,0.008367062,0.001519084,0.009826779,0.018438578,0.022311807,0.020323873,0.017358303,0.01644981,0.016471982,0.018177867
acidgas_H2O,0.041550756,0.042626023,0.033287108,0.036816835,0.037256837,0.035094857,0.036322355,0.036557317,0.039053798,0.038879752,0.037976265,0.039462686,0.03302753,0.034493685,0.03500545,0.034329414,0.031466365,0.02836132
acidgas_H2S,0.08586264,0.08645725,0.07218784,0.088136315,0.09062302,0.07983172,0.07815945,0.07964349,0.08285856,0.08234131,0.08255911,0.082068205,0.07526994,0.075388074,0.07641566,0.07357776,0.07302046,0.07374346
acidgas_T,0.031783104,0.031528115,0.028325558,0.028421044,0.028202057,0.03322029,0.034068346,0.03322065,0.03332305,0.038577557,0.038313866,0.038050294,0.036726832,0.03646207,0.036108136,0.034999132,0.034793377,0.03431034
acidgas_P,0.020877361,0.023682237,0.0073370934,0.0130627155,0.017160654,0.002059698,0.0020667315,0.0018070936,0.00036931038,0.009412289,0.013204098,0.013818622,0.01829207,0.016972542,0.013869524,0.015123725,0.015364528,0.016085386
air,0.013568163,0.021323442,0.012162149,0.020960212,0.026376367,0.017222881,0.017276287,0.018260598,0.01794517,0.009319186,0.00850904,0.008478284,0.0038186312,0.0044431686,0.0064001083,0.0059280396,0.0073901415,0.007561326
air_SP,0.008263111,0.012984872,0.008965313,0.012350321,0.015654087,0.002432108,0.0020501614,0.0031762123,0.0045199394,0.004755497,0.01123929,0.0108088255,0.014257073,0.012923598,0.010592222,0.01077652,0.010553479,0.012210131
second_air2,0.035091043,0.033966303,0.031413674,0.026727676,0.023981929,0.03343153,0.037614107,0.036830187,0.036598563,0.04313159,0.05220759,0.05734861,0.060479164,0.06020987,0.054676175,0.051356435,0.051519513,0.05051768
air2_SP,0.0015656948,0.00081276894,0.0016819835,0.0024706125,0.0027765036,0.011029959,0.01372087,0.013314128,0.012081265,0.01683712,0.016217709,0.01654923,0.013682842,0.014475346,0.011468768,0.013260007,0.012041211,0.011746049
COG,0.004212141,0.0077780485,0.0039382577,0.0143767595,0.017282128,0.0019035339,0.002584815,0.00043916702,0.0004749298,0.0068997145,0.0076038837,0.008603573,0.010174632,0.00912416,0.0061001778,0.0051333904,0.005804062,0.00715518
COG_SP,0.09354031,0.092031,0.07733542,0.0716722,0.07073283,0.07046354,0.07295203,0.074166656,0.07821357,0.07478058,0.069274664,0.06744945,0.065880656,0.0646919,0.063930154,0.057968974,0.05723071,0.05787003
burner_input_T_SP,0.018251777,0.018390417,0.017834365,0.018546462,0.018397808,0.015345454,0.018295646,0.019774795,0.018993616,0.016363263,0.015659213,0.015135288,0.014499068,0.015169382,0.014380693,0.013993025,0.014795899,0.0154566765
burner_input_T_PV,0.05620265,0.049919486,0.05217856,0.0411312,0.037463427,0.056994677,0.054378867,0.05125475,0.05190766,0.062031865,0.0624696,0.06030357,0.06089127,0.060038447,0.05541098,0.052485943,0.053099394,0.0549891
burner_inputP,0.031376123,0.030878186,0.031142294,0.019233346,0.02135539,0.027463675,0.032420754,0.034598827,0.034474134,0.031109214,0.027471662,0.026707768,0.028453588,0.028271079,0.027124166,0.023743272,0.023768783,0.024418354
burner_output_T_SP,0.016878486,0.016946077,0.0054873824,0.0064347982,0.008389354,0.01404798,0.014768839,0.01520884,0.013820648,0.0114507675,0.01131165,0.010417938,0.0061399937,0.0067578554,0.0048280954,0.0040260553,0.0029332638,0.002640009
burner_output_T_PV,0.08101261,0.07988572,0.0785619,0.06649315,0.07190776,0.08358395,0.089722395,0.091787815,0.09445357,0.09204447,0.0866164,0.084264755,0.081169486,0.08081043,0.077980995,0.07158339,0.07079518,0.07028353
