,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,t+13,t+14,t+15,t+16,t+17,t+18
acidgas_Fm,0.0071800947,0.006049514,0.005229324,0.0052608848,0.008770168,0.01409018,0.014164805,0.012503028,0.01011312,0.0141477585,0.01428926,0.015259385,0.014100909,0.015797734,0.015384316,0.014685273,0.014414668,0.013500452
acidgas_CO2,0.0731079,0.07015431,0.059898645,0.062990546,0.06537157,0.08565724,0.08896303,0.08591509,0.082066655,0.08353078,0.08968556,0.09905517,0.098887324,0.09930122,0.09771192,0.09660256,0.09660065,0.09652114
acidgas_H2O,0.00597322,0.004736066,0.0077508986,0.0061415434,0.0059197545,0.0063894987,0.004145026,0.0030109882,0.0014961958,0.0062385798,0.0071310997,0.0058481693,0.002581954,0.0010309219,0.00088799,0.0012873411,0.00086033344,0.0018365383
acidgas_H2S,0.015234113,0.015751362,0.012876064,0.013035715,0.011967182,0.0074938536,0.005944371,0.0061564445,0.008755565,0.01157558,0.012218475,0.01115644,0.0120049715,0.009726405,0.010178208,0.009833574,0.008633971,0.00982213
acidgas_T,0.00040638447,0.00048327446,0.00031617284,0.0013071299,0.0022166967,0.00031638145,0.00019359589,0.00022876263,0.0004863739,0.003749013,0.0040277243,0.00405097,0.002509594,0.0026452541,0.0028600693,0.0027199984,0.0026295185,0.0027451515
acidgas_P,0.062212646,0.059023976,0.056454748,0.05677378,0.057395518,0.06493688,0.0683471,0.06630349,0.06408656,0.06771803,0.069019556,0.070314646,0.06886184,0.06968093,0.06792283,0.06634867,0.06703043,0.066503644
air,0.026031733,0.022854924,0.021290272,0.021753132,0.024220347,0.028375149,0.027648926,0.025917053,0.023890495,0.027412176,0.027941942,0.02932036,0.025190711,0.026590109,0.026147008,0.025236487,0.024392486,0.022932649
air_SP,0.053025007,0.050079167,0.046120346,0.049600363,0.050318956,0.058554173,0.05953896,0.058042645,0.05593908,0.059290886,0.06443894,0.06668115,0.0652082,0.066125035,0.06477511,0.06448352,0.064728856,0.064534545
second_air2,0.021535635,0.019822717,0.013798267,0.016455054,0.01859504,0.024449468,0.027728438,0.02756226,0.026084542,0.031950355,0.04032266,0.046073437,0.046355247,0.046869278,0.0441525,0.042888522,0.04331553,0.042949438
air2_SP,0.03729832,0.0363456,0.033884227,0.039028704,0.039929807,0.046424627,0.048853874,0.047148824,0.045171976,0.04698813,0.046332,0.048559904,0.04199505,0.04412794,0.043448925,0.04348135,0.042936444,0.04178965
COG,0.04248655,0.040675282,0.03658876,0.037461698,0.039283454,0.047783196,0.052223086,0.050946236,0.049301744,0.05292809,0.05368662,0.05479598,0.053792596,0.054697394,0.052881837,0.052046895,0.05318451,0.05369532
COG_SP,0.005515456,0.0035818815,0.0013560355,0.003009379,0.0065708756,0.0020170212,0.0013107061,8.9764595e-05,0.001967907,0.0030961037,0.004860878,0.005254984,0.0058107376,0.0042176247,0.0046975613,0.006244302,0.0057715178,0.005582571
burner_input_T_SP,0.010428548,0.010505915,0.012874693,0.010905445,0.009249032,0.009152055,0.010978103,0.01079309,0.009689689,0.0073611736,0.0077246428,0.007491946,0.0069464445,0.0068722963,0.006758094,0.0073297024,0.007552862,0.0075541735
