,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,t+13,t+14,t+15,t+16,t+17,t+18
acidgas_Fm,0.07877929,0.07656986,0.07453531,0.07264311,0.06731905,0.0658113,0.06434802,0.062694564,0.061411366,0.0598818,0.058888257,0.05800515,0.057126068,0.056014746,0.05470246,0.05506371,0.05561601,0.05647646
acidgas_CO2,0.052107155,0.05057127,0.047434386,0.046268873,0.042982433,0.043050077,0.04200982,0.040275447,0.039978836,0.042179145,0.042555757,0.04185093,0.041438717,0.040625777,0.04080607,0.03959315,0.04261207,0.044048898
acidgas_H2O,0.05210593,0.048547205,0.04458951,0.042161446,0.03881818,0.036444183,0.03691559,0.035854764,0.034803066,0.03395232,0.033850472,0.031874537,0.03206272,0.032058664,0.031814117,0.03148219,0.030502243,0.031638674
acidgas_H2S,0.06627457,0.06448314,0.0637647,0.06451811,0.06263428,0.061249733,0.06195668,0.062273845,0.061386935,0.059906144,0.059811007,0.059161793,0.05847485,0.05960891,0.057512924,0.05723983,0.057778742,0.058193207
acidgas_T,0.025837813,0.025402619,0.025163284,0.02526374,0.024799151,0.024823839,0.024654174,0.02494843,0.024730684,0.024909126,0.024679767,0.024858661,0.025063962,0.025004314,0.025273792,0.024903731,0.024895618,0.024881082
acidgas_P,0.0344187,0.032248594,0.029400367,0.027686702,0.023967413,0.024719153,0.023915129,0.021839296,0.021387246,0.020245913,0.02003979,0.01894996,0.019501273,0.01984292,0.019369848,0.019555604,0.021202058,0.021427736
air,0.025481611,0.023119135,0.021485656,0.020283828,0.018671656,0.019165013,0.019067802,0.017698614,0.017170627,0.016188433,0.016267968,0.015281376,0.014112231,0.013848726,0.013838541,0.014252333,0.015027804,0.014891252
air_SP,0.021716045,0.02053173,0.019610053,0.018794253,0.017083062,0.01858961,0.018076576,0.01733016,0.016364425,0.01643911,0.016749509,0.015873661,0.015715452,0.017015032,0.017054843,0.016452277,0.017685391,0.01788075
second_air2,0.042557497,0.04281064,0.043695796,0.043734327,0.043857582,0.043882854,0.043680403,0.045186963,0.045549657,0.04674548,0.04591263,0.044757538,0.04447153,0.044343904,0.045455884,0.046219576,0.045855835,0.046391495
air2_SP,0.012767034,0.012168456,0.011264005,0.011609324,0.010744912,0.01085814,0.010718286,0.010297031,0.010132864,0.010500288,0.0099218525,0.010223896,0.009939841,0.009918261,0.009949111,0.009972237,0.010010175,0.010313177
COG,0.013608226,0.012999371,0.01203139,0.0122087905,0.011689572,0.01275089,0.0128976675,0.011858187,0.011776098,0.012995819,0.012570936,0.0124086095,0.011471754,0.011278443,0.010594727,0.011447107,0.011901802,0.012152006
COG_SP,0.079630695,0.07889126,0.07823026,0.07765679,0.07378959,0.07294928,0.07093303,0.06978019,0.06925559,0.06922997,0.06735139,0.06627067,0.065485,0.06382359,0.06305818,0.06380883,0.06411732,0.065210685
burner_input_T_SP,0.016114969,0.015058496,0.015042722,0.01509154,0.015243838,0.01469783,0.014605306,0.014033886,0.0138201965,0.0142808175,0.014114326,0.01368756,0.014005656,0.014493887,0.014884089,0.015560316,0.015160174,0.014353239
burner_input_T_PV,0.06924734,0.070205934,0.07189132,0.07393266,0.07367238,0.07359283,0.0721849,0.07245162,0.07360669,0.07403438,0.07267408,0.0715027,0.07163242,0.071095675,0.07186797,0.072385155,0.072066456,0.073018014
burner_inputP,0.029957917,0.030155659,0.03115407,0.031783596,0.03127843,0.031131737,0.030705204,0.030416587,0.030630566,0.0303664,0.02956665,0.029389638,0.028833045,0.028735308,0.02834458,0.028886888,0.028208803,0.02809052
burner_output_T_SP,0.013473062,0.01288021,0.012539107,0.012409185,0.011922539,0.011723754,0.011501152,0.011140995,0.010269949,0.009949696,0.009657253,0.009952707,0.009976618,0.009654243,0.009603517,0.009632204,0.00955988,0.00930299
burner_output_T_PV,0.081374444,0.08108463,0.082821414,0.08375768,0.08276006,0.08232885,0.08142592,0.08145312,0.08172409,0.08168878,0.08025845,0.07882406,0.07840023,0.077987246,0.077574775,0.07807997,0.077434435,0.07800873
burner_output_P_SP,0.028022464,0.026058951,0.024728946,0.023461994,0.021796415,0.02110798,0.020289915,0.019758118,0.018693894,0.01875577,0.0183549,0.01794015,0.018170781,0.017907117,0.018242424,0.018540975,0.018244792,0.018532058
burner_output_P_PV,0.031038763,0.030480506,0.031940665,0.03259029,0.032003164,0.032039504,0.03153668,0.031394813,0.0316757,0.03142527,0.03096724,0.0308872,0.030647814,0.030596914,0.030288076,0.031196803,0.03126243,0.03113276
fur_F,0.051534776,0.050124824,0.048408967,0.046930987,0.045416865,0.044398382,0.0442022,0.043794144,0.042964295,0.041587714,0.040363513,0.039950028,0.040030394,0.039195783,0.03841057,0.03780209,0.03762846,0.037613604
