,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,t+13,t+14,t+15,t+16,t+17,t+18
acidgas_Fm,0.011999968,0.012012486,0.012636983,0.01239277,0.01234634,0.012355745,0.0121399695,0.012466512,0.012175366,0.011741791,0.011788843,0.011818487,0.011848475,0.011770735,0.01208544,0.012180064,0.012790026,0.013074188
acidgas_CO2,0.061496463,0.06143014,0.06227524,0.06256076,0.062395122,0.061083384,0.06044025,0.06073372,0.060343795,0.059719782,0.05928788,0.058932953,0.059141297,0.059499525,0.059644707,0.05986456,0.060750145,0.06156498
acidgas_H2O,0.011650227,0.011888416,0.012176815,0.012573574,0.013391151,0.013417168,0.013482337,0.013229396,0.013156618,0.013420386,0.012594857,0.012414359,0.012163194,0.01238637,0.012729092,0.012992823,0.013244817,0.013046768
acidgas_H2S,0.016021471,0.015885314,0.015539388,0.015957303,0.01627138,0.015765047,0.01593121,0.016080165,0.016565694,0.01603141,0.016750194,0.01621976,0.01542495,0.016002256,0.01650694,0.01626201,0.015599461,0.015407909
acidgas_T,0.0055927937,0.005810728,0.0055209068,0.005585788,0.0056512374,0.0055218986,0.005693625,0.005910416,0.006089854,0.005655245,0.0060256408,0.0061778575,0.006062336,0.006396153,0.0065992223,0.006878862,0.006765974,0.006703727
acidgas_P,0.048555277,0.04885582,0.04928497,0.048991773,0.04873521,0.048392482,0.047729738,0.04754339,0.046866797,0.04642685,0.046147697,0.04621123,0.046169043,0.045980982,0.04592112,0.046080608,0.046105,0.046621475
air,0.026434626,0.026266286,0.026260316,0.025571417,0.025065072,0.025147362,0.02441276,0.024033494,0.02356869,0.023146696,0.022521686,0.022188362,0.022040257,0.02155197,0.02134498,0.021387553,0.021143563,0.021637628
air_SP,0.046531115,0.046263818,0.04648712,0.046441745,0.046061277,0.045570735,0.044952802,0.044715345,0.044272374,0.042937763,0.042725816,0.04265585,0.04261363,0.042930216,0.04297805,0.043014668,0.043007106,0.043420512
second_air2,0.02848656,0.028959565,0.029002251,0.029244598,0.029321462,0.03008059,0.030482298,0.031124432,0.030430496,0.03135188,0.031412683,0.03172429,0.03181889,0.03138194,0.031451106,0.03153958,0.031325724,0.031796463
air2_SP,0.035361994,0.035412844,0.03604379,0.036004543,0.03574727,0.035504423,0.035302944,0.03584057,0.03569039,0.034876056,0.0347883,0.034852374,0.034783483,0.035008367,0.035180297,0.035165414,0.035570595,0.03585744
COG,0.043428734,0.043732718,0.04415805,0.04404741,0.043644156,0.043771323,0.043532006,0.044295587,0.044138044,0.043788016,0.043625668,0.043911535,0.044116225,0.044272218,0.044615284,0.045057192,0.045191985,0.04597773
COG_SP,0.010054027,0.010249823,0.008980309,0.0085994825,0.008643689,0.009028074,0.009403775,0.009746309,0.009388419,0.009726336,0.010305291,0.010415254,0.009747104,0.010418066,0.0111607695,0.011260506,0.011102285,0.01089399
burner_input_T_SP,0.008797469,0.008882675,0.008837629,0.00876297,0.008656653,0.008499207,0.0082771545,0.0082299085,0.008194231,0.008751121,0.008661919,0.0089680385,0.0089957705,0.009273469,0.00958651,0.009775125,0.010099866,0.010064536
burner_input_T_PV,0.030293336,0.030541638,0.030344125,0.030362815,0.02981363,0.029848943,0.029833708,0.029897343,0.029453171,0.029561333,0.029122267,0.029471816,0.02980224,0.029387245,0.029852016,0.02925541,0.0282467,0.028156705
burner_inputP,0.01738438,0.017672181,0.01769365,0.017648526,0.017272487,0.01707809,0.017550973,0.017866978,0.017427955,0.017497247,0.017591301,0.017439928,0.017863005,0.017723033,0.017613934,0.01763972,0.017473428,0.017288595
burner_output_T_SP,0.01155552,0.011436677,0.011323879,0.011108131,0.010745798,0.010751633,0.010482308,0.010448461,0.010527973,0.010553481,0.0105480645,0.010342372,0.01021613,0.010502635,0.010669682,0.0113728475,0.011535643,0.011614576
burner_output_T_PV,0.021196323,0.021794273,0.021788172,0.021893663,0.021222042,0.021268815,0.021376662,0.021661853,0.02094537,0.021605836,0.021726191,0.021715106,0.022209287,0.022467915,0.022316942,0.022626104,0.022373071,0.022329478
burner_output_P_SP,0.017290764,0.017120117,0.017353853,0.017415753,0.0171979,0.017056013,0.016562209,0.016527701,0.016438419,0.016405623,0.016121123,0.016077353,0.016007911,0.01628035,0.016346725,0.016777549,0.016704308,0.016974833
burner_output_P_PV,0.006023737,0.005757982,0.005781372,0.005913837,0.0058464007,0.0057117734,0.005944666,0.0062793363,0.0063788365,0.0061672437,0.006116388,0.0058806543,0.005754486,0.006458253,0.0066693327,0.007114134,0.006980779,0.006899704
fur_F,0.025844218,0.025263311,0.02449491,0.024799155,0.0243001,0.024344044,0.02367466,0.023051867,0.022903873,0.022684567,0.022354245,0.022114865,0.022310328,0.022445908,0.022473909,0.022511354,0.022267131,0.022636741
fur_inputT,0.011251255,0.010818251,0.010778227,0.010644063,0.0105484575,0.010742417,0.010432045,0.01013984,0.010212682,0.009909299,0.009646934,0.009258868,0.009198045,0.009271619,0.009314631,0.009633356,0.009617141,0.0096864635
fur_inputP,0.006682439,0.0069862115,0.006899409,0.007169733,0.007286453,0.0072913766,0.0071214167,0.0070311683,0.0066914866,0.0066659437,0.0067723435,0.0062588714,0.006644561,0.007042095,0.0072101387,0.007338869,0.0070597706,0.007189587
fur_temp,0.020477885,0.020081455,0.020319471,0.020500978,0.020356076,0.020014625,0.02004797,0.020301914,0.020421607,0.019931097,0.020064395,0.020026822,0.02014533,0.020589495,0.020713989,0.020679994,0.020689812,0.020961305
fur_outputT,0.0073824273,0.007509477,0.0077787586,0.007575612,0.007860157,0.007869224,0.00784627,0.0077879857,0.007592806,0.007353747,0.007531234,0.00754203,0.007770733,0.007710455,0.007790749,0.008078958,0.008037578,0.0077809375
fur_outputP_SP,0.009314265,0.009544585,0.010112827,0.010466231,0.010357151,0.010349622,0.010352594,0.011037763,0.010827794,0.010494003,0.010278838,0.009904077,0.009565623,0.0104664145,0.01055364,0.010491459,0.010564308,0.010976227
fur_outputP_PV,0.015468129,0.015250521,0.015027048,0.014868511,0.014478514,0.014349165,0.01424345,0.014279745,0.014641594,0.014475653,0.014375039,0.014438095,0.0144295795,0.014590662,0.014539409,0.014406347,0.014616272,0.014752415
WHB_F,0.021103097,0.02111589,0.02107612,0.020549886,0.02075565,0.020917503,0.020122724,0.020290341,0.020032408,0.02013433,0.019560032,0.019159403,0.019470219,0.019213092,0.01958762,0.02005463,0.020205067,0.020952336
WHB_inputT,0.018416971,0.017960712,0.018001081,0.01761181,0.017979749,0.018138343,0.017474344,0.018188845,0.01873589,0.01889893,0.018603386,0.018237516,0.018141244,0.018418893,0.018809896,0.018848563,0.018759437,0.019550735
WHB_inputP,0.008485447,0.008554909,0.008382712,0.008615957,0.009011618,0.009568176,0.009495557,0.009933494,0.010531124,0.010905934,0.010949696,0.010732655,0.010649936,0.010695231,0.0111355875,0.011848752,0.012148156,0.012332769
WHB_outputT,0.008150271,0.008334919,0.008037369,0.008094175,0.0081098415,0.007344727,0.007391327,0.007828037,0.007902396,0.0072724703,0.007833035,0.007852813,0.007726178,0.0082509965,0.008700282,0.009009338,0.008349124,0.008446913
WHB_outputP,0.005712077,0.005943457,0.0062760054,0.006195248,0.0060626445,0.0062503098,0.006471492,0.0069553205,0.0071125953,0.006783837,0.006918986,0.007108881,0.007238292,0.007468525,0.0077465293,0.008042298,0.008394021,0.008440928
SEP1_F,0.013708691,0.013177006,0.013482711,0.013374974,0.013152975,0.013041006,0.012720896,0.012849897,0.012886491,0.011971812,0.011850417,0.0120645715,0.012109811,0.012026631,0.012193857,0.01249181,0.013005717,0.013539695
SEP1_P_SP,0.008081198,0.007929168,0.007970338,0.008056264,0.007936842,0.007563976,0.0073344246,0.007334281,0.0072943126,0.0077784774,0.007608529,0.007536725,0.007627204,0.007880322,0.007985602,0.007905722,0.008177213,0.007967365
SEP1_P_PV,0.0072263917,0.0072413497,0.007876858,0.008302495,0.00844985,0.008245806,0.008262661,0.008753017,0.009110502,0.008727117,0.008943687,0.008982338,0.0088993665,0.009253245,0.00973349,0.010120856,0.010709453,0.010882484
SEP1_T,0.018994296,0.019220889,0.019602088,0.019867307,0.020842366,0.019522352,0.01954876,0.020516025,0.020817213,0.020346431,0.021123542,0.020761456,0.020700093,0.020609843,0.021595974,0.02197475,0.021888299,0.022950642
HEATER1_F,0.0064155483,0.0059706406,0.005533761,0.0052231825,0.005238889,0.004953595,0.004649671,0.004572256,0.0048477277,0.0049900874,0.0049021756,0.004730342,0.004268773,0.0045311633,0.0045456444,0.004603998,0.004513485,0.004486086
HEATER1_input_T,0.011343551,0.0114250975,0.01105326,0.011207299,0.011015616,0.010531808,0.010076064,0.010244477,0.0101955375,0.009819726,0.009855174,0.00960708,0.009971449,0.010967685,0.011811972,0.012045894,0.011121647,0.01117145
HEATER1_input_P,0.008812397,0.00920306,0.009873511,0.00999742,0.009832965,0.009650125,0.009628759,0.010025089,0.009879455,0.009509326,0.009718841,0.009865756,0.009921877,0.009960135,0.010277922,0.010822165,0.011032896,0.01119993
HEATER1_output_T_SP,0.019297862,0.01877536,0.018544992,0.01831749,0.018553419,0.018631544,0.017440895,0.017339118,0.01759605,0.017655632,0.017119655,0.016354283,0.016155371,0.016079614,0.016300157,0.016516723,0.016500534,0.017070286
HEATER1_output_T_PV,0.0057252455,0.005657648,0.0053074406,0.0049996856,0.0050553414,0.0048556584,0.0044354866,0.004727128,0.0048582177,0.0047815004,0.0050760577,0.004929541,0.005133466,0.005297892,0.0059896265,0.006043155,0.005461552,0.0056357575
HEATER1_output_P,0.0069721118,0.0068146344,0.0069644544,0.0070916736,0.007090063,0.006897493,0.006757276,0.007075876,0.006959454,0.006759221,0.0065332633,0.006375103,0.0065937606,0.006707627,0.0067696213,0.006861136,0.0068117534,0.0069356076
cat1_F,0.011103325,0.0113258725,0.011992169,0.0121097965,0.012507628,0.01226027,0.012652399,0.012824988,0.012954752,0.012257556,0.013005329,0.013281731,0.013181713,0.013243899,0.013696947,0.014146237,0.014205631,0.01414926
cat1_input_temp,0.006913365,0.007261688,0.0073892437,0.007488071,0.0075535844,0.007205955,0.006950694,0.007514616,0.007839463,0.007796605,0.008077294,0.007998903,0.00790921,0.0080281235,0.008686322,0.008917405,0.009465918,0.009975571
cat1_output_temp,0.022894775,0.022598483,0.021591978,0.021274311,0.021483645,0.021767277,0.02056879,0.02025639,0.020731177,0.020713767,0.019996462,0.01955693,0.019726064,0.019677915,0.019932939,0.01992761,0.019359635,0.019675774
cat1_input_P,0.010789186,0.010610319,0.010902372,0.010679245,0.011439608,0.011812493,0.011535052,0.01182111,0.011814941,0.011962307,0.011713637,0.0112431,0.011154061,0.011654888,0.012055968,0.012773614,0.012953364,0.013413502
cat1_output_P_SP,0.01051228,0.010289759,0.010502407,0.010416205,0.010434576,0.010742824,0.010258649,0.010631542,0.011225232,0.01102515,0.010787186,0.01051234,0.010373541,0.010885407,0.011337955,0.011435921,0.011755326,0.011939257
cat1_output_P_PV,0.0025476643,0.002377383,0.002303231,0.002319394,0.002440957,0.002387597,0.0023474905,0.002367264,0.0025523594,0.0027430803,0.002676761,0.0028003645,0.0026811324,0.0027667135,0.0028808038,0.0030528042,0.0030774176,0.0032211929
cat1_deltaP,0.0049725655,0.005262807,0.004816844,0.004887785,0.00489017,0.00516675,0.005065202,0.0051395497,0.004973549,0.005439035,0.005315198,0.0050406596,0.0056842505,0.0058406615,0.0059994333,0.0064235777,0.006378545,0.0065117977
SEP2_F,0.0062378226,0.006160756,0.0062089018,0.0065985816,0.007054482,0.006893998,0.0067748246,0.0071780225,0.007347585,0.007530002,0.0074496246,0.007315952,0.007894291,0.008375241,0.008821262,0.009556021,0.00895628,0.009352825
SEP2_P_SP,0.020581093,0.02064046,0.020439368,0.020293359,0.01999114,0.01942543,0.01895184,0.018579807,0.01860308,0.018518567,0.01844919,0.018607939,0.018426951,0.01885601,0.018834041,0.019139439,0.019061185,0.019209374
SEP2_P_PV,0.005325362,0.0053784703,0.005709142,0.005692291,0.0057098567,0.0054753684,0.0056569516,0.0060335337,0.0060022757,0.005566964,0.005822627,0.0061574895,0.006129372,0.0062572216,0.0065015936,0.006657811,0.006979705,0.0071873963
SEP2_T,0.013685384,0.013017621,0.01198395,0.012099928,0.011733519,0.011830734,0.0112491865,0.010581017,0.011415261,0.010331782,0.009931282,0.009225697,0.008923943,0.009697108,0.009456813,0.00961313,0.009669132,0.009653169
HEATER2_F,0.03185393,0.031238345,0.03133556,0.03105879,0.030638363,0.030323857,0.029961096,0.03023982,0.030365242,0.029373838,0.029272959,0.029088883,0.02885066,0.029443674,0.0294734,0.02953953,0.029525436,0.030102083
HEATER2_input_T,0.036580373,0.035063587,0.033684097,0.033728812,0.033282302,0.034562048,0.03339663,0.033079468,0.032949556,0.03328725,0.03306101,0.03272432,0.031990647,0.031962648,0.031680133,0.03145629,0.030856017,0.03092451
HEATER2_input_P,0.009282267,0.009583427,0.009854261,0.01019325,0.0105886245,0.010296136,0.0098906765,0.009714106,0.00952071,0.009810643,0.009345738,0.009302054,0.00951891,0.009418578,0.009630735,0.00990984,0.009899455,0.009957288
HEATER2_output_T_SP,0.009337774,0.009535131,0.009325266,0.009938227,0.010950311,0.011589413,0.011575971,0.012388642,0.012459106,0.013048409,0.0130619835,0.013016374,0.013153469,0.013148074,0.013536713,0.013777572,0.0140011115,0.014571285
HEATER2_output_T_PV,0.003854286,0.003930371,0.0038531446,0.004178201,0.004242416,0.0042222748,0.004327766,0.004477138,0.0043104556,0.0047781453,0.0048659486,0.004718315,0.004952196,0.0050434065,0.005263959,0.005560967,0.0057161087,0.005706163
HEATER2_output_P,0.0050678016,0.0053936946,0.0054364596,0.0054104016,0.005391868,0.0050569284,0.0051973057,0.0057338485,0.0054636267,0.005389844,0.0054562674,0.005372861,0.0055148653,0.0057160472,0.005979855,0.006412966,0.0058368263,0.0057937787
cat2_F,0.022678819,0.02246591,0.022305302,0.022440339,0.022030944,0.02191908,0.021785067,0.02170745,0.02178195,0.021602523,0.021623086,0.021619136,0.021816144,0.02210427,0.022135856,0.02213349,0.021981746,0.022169959
cat2_input_temp,0.016351499,0.015649013,0.015911952,0.016021926,0.016044734,0.015600273,0.0154112065,0.015649853,0.01580647,0.015982235,0.01620085,0.01631302,0.016611543,0.017215403,0.017504789,0.017657924,0.017904935,0.017974598
