Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.00021267823647187813,0.0003948391170473879,0.9700501333039885,2.077715877119944
1,t+1,B35_SO2,7.508972772914389e-05,0.00011148722280417584,0.995067983729136,5.438451635567426
2,t+2,B35_H2S,0.00019623644900449832,0.0003763830220886654,0.9727961491423782,1.9119961594086539
2,t+2,B35_SO2,6.814229208641315e-05,0.00010326424556910049,0.9957689907936971,4.992514320989897
3,t+3,B35_H2S,0.00018622846737056858,0.0003629104073017139,0.9747180247886704,1.8168349650297753
3,t+3,B35_SO2,6.232978459191657e-05,9.495270964965873e-05,0.9964229434577279,4.576854688768493
4,t+4,B35_H2S,0.0001798742641625874,0.00035079940911130896,0.9763866467395202,1.7595179943035495
4,t+4,B35_SO2,5.802798672488031e-05,8.829926097927845e-05,0.9969069231056955,4.30203725702025
5,t+5,B35_H2S,0.0001767047220683556,0.00034274900830397664,0.9774660509303357,1.7347917702245224
5,t+5,B35_SO2,5.569053312636857e-05,8.437180034637608e-05,0.9971761651545518,4.123836562773329
6,t+6,B35_H2S,0.00017505702108246873,0.000341637694916418,0.977618675908021,1.722474029483801
6,t+6,B35_SO2,5.5610051086537417e-05,8.442719053911019e-05,0.9971726490402246,4.0795877463558
7,t+7,B35_H2S,0.00017346670995205566,0.0003420091190294934,0.9775759691312254,1.710560517075352
7,t+7,B35_SO2,5.5973342856636705e-05,8.470872618877657e-05,0.9971539589374081,4.063416940169849
8,t+8,B35_H2S,0.00017384117018654763,0.00034473859562154317,0.9772223031561365,1.7172616249854742
8,t+8,B35_SO2,5.600098356883571e-05,8.41672774471964e-05,0.9971904421797703,4.0495847533022475
9,t+9,B35_H2S,0.00017594429428331357,0.0003497931406528977,0.9765552436438821,1.7417063287287409
9,t+9,B35_SO2,5.57344322272182e-05,8.437287377736153e-05,0.9971769537198449,4.009078170790096
10,t+10,B35_H2S,0.0001799458007743396,0.0003569527283252681,0.9755908015028383,1.7836588897913876
10,t+10,B35_SO2,5.601811788100664e-05,8.596197117454791e-05,0.9970699027742063,4.031324117497241
11,t+11,B35_H2S,0.0001840983982580097,0.0003639304309130678,0.9746312743665564,1.8270622670743555
11,t+11,B35_SO2,5.715698598548148e-05,8.904120354054469e-05,0.9968565323742948,4.080277820569693
12,t+12,B35_H2S,0.00018670517350824145,0.000370417347492585,0.9737234464030214,1.8594868517162657
12,t+12,B35_SO2,5.871387809475539e-05,9.32518686392676e-05,0.9965525094098802,4.142137937134215
13,t+13,B35_H2S,0.00019007019838745542,0.000377731132839909,0.9726796273721073,1.9022256979807275
13,t+13,B35_SO2,6.0276213176225936e-05,9.637780640857749e-05,0.9963177906472962,4.233447178637233
14,t+14,B35_H2S,0.00019245122297498478,0.0003868911319650854,0.9713427398899541,1.9307675273338265
14,t+14,B35_SO2,6.0224721136921226e-05,9.839514976484809e-05,0.9961622702172181,4.288391651240654
15,t+15,B35_H2S,0.00019626801752006245,0.00039808920105625326,0.9696611763029923,1.9733058637510545
15,t+15,B35_SO2,6.069830774590215e-05,0.0001015355735707557,0.9959136072753849,4.336372237855781
16,t+16,B35_H2S,0.00020378896601441703,0.00041223094857408145,0.9674665595153431,2.0569092326701433
16,t+16,B35_SO2,6.341345414106348e-05,0.00010630099333669168,0.995521234267863,4.455733415514596
17,t+17,B35_H2S,0.00021377019093887984,0.0004253526413161342,0.9653603722811407,2.1619515075743743
17,t+17,B35_SO2,6.698470126669915e-05,0.00011187820544896081,0.9950390626268735,4.677528701675881
18,t+18,B35_H2S,0.00023377187452545172,0.00044326510986502005,0.9623729759847817,2.368578292470418
18,t+18,B35_SO2,7.433476001261266e-05,0.0001214366574759615,0.9941552196011887,5.108746164227304
