Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.0001505379091761413,0.00024083894369402193,0.9762013215886809,1.7819994337693164
1,t+1,B35_SO2,7.255980546736008e-05,0.00012524964446368217,0.9886705981970084,4.928378742114389
2,t+2,B35_H2S,0.00013752756283408508,0.00023141498904860502,0.978028719626,1.6333364989132237
2,t+2,B35_SO2,6.694318512014762e-05,0.00012430488251944863,0.9888432942135073,4.4354856024374705
3,t+3,B35_H2S,0.00013471080912599116,0.00023054332058003476,0.978197696569418,1.6020197531729057
3,t+3,B35_SO2,6.250811614157102e-05,0.0001236412674989267,0.9889646926551562,4.087790106596642
4,t+4,B35_H2S,0.0001323338781427318,0.0002285507751182395,0.9785756097115043,1.5732138242284446
4,t+4,B35_SO2,6.135623840856704e-05,0.00012410592660957103,0.9888846538056201,3.982869998330795
5,t+5,B35_H2S,0.0001298797434012145,0.00022795138362264908,0.9786925670292669,1.54602881715109
5,t+5,B35_SO2,6.198348276835168e-05,0.00012529082127833477,0.9886746049234146,3.959082329511296
6,t+6,B35_H2S,0.00013155387383767292,0.0002292405821673931,0.9784542211690216,1.567988221589851
6,t+6,B35_SO2,6.259467928467887e-05,0.0001269415944489763,0.9883777646638546,3.9648188336554693
7,t+7,B35_H2S,0.00013241069640312995,0.00023088333846271915,0.9781483496772285,1.5841566728733645
7,t+7,B35_SO2,6.442019303526339e-05,0.0001297984307123202,0.9878523468517608,4.0353279067900205
8,t+8,B35_H2S,0.0001326218545937111,0.00023168213511370702,0.9780042766251235,1.589923761826063
8,t+8,B35_SO2,6.564745836639354e-05,0.00013224560528586458,0.9873934308300938,4.088759476140311
9,t+9,B35_H2S,0.00013348232127458195,0.00023155810200829852,0.9780335818690907,1.6057704467948493
9,t+9,B35_SO2,6.659856568161174e-05,0.0001338898030315582,0.9870813569525513,4.14584442796423
10,t+10,B35_H2S,0.0001328986690203205,0.00023093777899786555,0.9781543403063842,1.598816680446087
10,t+10,B35_SO2,6.739808150501055e-05,0.00013443988347711043,0.9869776699728857,4.203596123033212
11,t+11,B35_H2S,0.00013147884262395995,0.00022963832298337296,0.9783998728177757,1.5830506454122317
11,t+11,B35_SO2,6.815449150099775e-05,0.00013507056079276015,0.9868571363582537,4.243992766519413
12,t+12,B35_H2S,0.00013006894231139493,0.000228310315645732,0.9786475642257374,1.5684435855511487
12,t+12,B35_SO2,6.854756104575944e-05,0.00013622148577334728,0.986633594681479,4.236462730344084
13,t+13,B35_H2S,0.00012890468240695174,0.0002284464189743053,0.9786208652711691,1.560050780739162
13,t+13,B35_SO2,6.911541890884594e-05,0.00013734143335690377,0.9864140212252522,4.249047603554421
14,t+14,B35_H2S,0.0001303137434400568,0.00022969889042342802,0.9783846106231215,1.5771189367089953
14,t+14,B35_SO2,7.027860749950003e-05,0.00013855227055055015,0.9861743311085285,4.3164535148811645
15,t+15,B35_H2S,0.00013141975942968195,0.00023186973086188048,0.9779726480650637,1.5961703400961227
15,t+15,B35_SO2,7.178715294859857e-05,0.0001403972815246319,0.9858043039312854,4.358593529542495
16,t+16,B35_H2S,0.00013483406824339663,0.00023523529612269286,0.9773251103513059,1.6391512839010876
16,t+16,B35_SO2,7.373547393184541e-05,0.00014207702272307893,0.9854627643582577,4.430152760616565
17,t+17,B35_H2S,0.00014200310965612874,0.00023945347753964616,0.9764981431746345,1.726684915007051
17,t+17,B35_SO2,7.625733512711138e-05,0.00014358714488963914,0.9851514383784603,4.563408723321754
18,t+18,B35_H2S,0.00015731026679202093,0.00024968722581042446,0.9744346204337023,1.9041188172687087
18,t+18,B35_SO2,8.084844315167956e-05,0.00014634764435812438,0.9845738725386923,4.841008398603027
