Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.00013322614529132947,0.00022697003723695598,0.9901032726135346,1.3051685029144322
1,t+1,B35_SO2,4.97959424498743e-05,7.456485959646863e-05,0.9977938109979368,3.2849543034578406
2,t+2,B35_H2S,0.00012344192079736198,0.00022197685740573935,0.9905379392401655,1.2141427110188445
2,t+2,B35_SO2,5.0419909370056246e-05,7.624016023826778e-05,0.9976937222021858,3.319010419173048
3,t+3,B35_H2S,0.00012438433064115953,0.00022742377905048193,0.9900714940762083,1.2186251388127007
3,t+3,B35_SO2,5.0066374771570255e-05,7.571007122552527e-05,0.9977258537571597,3.3791584883512757
4,t+4,B35_H2S,0.00012691929114294522,0.0002317607330784087,0.9896932991769801,1.2417658709256496
4,t+4,B35_SO2,4.8883780905914605e-05,7.400178745082697e-05,0.9978274939278406,3.394887086331776
5,t+5,B35_H2S,0.00012761465346496526,0.00023381310986023406,0.9895136919573777,1.2476230245464197
5,t+5,B35_SO2,4.887247602121621e-05,7.362109116140203e-05,0.997849947026062,3.4430353529232294
6,t+6,B35_H2S,0.00012858200939823964,0.00023581248133893416,0.9893367943144461,1.2515349746168534
6,t+6,B35_SO2,4.8634026708051924e-05,7.287555285204336e-05,0.9978934160519554,3.466770774866184
7,t+7,B35_H2S,0.0001284155585144045,0.00023544151590462503,0.9893731536439633,1.2491070779779119
7,t+7,B35_SO2,4.859881499190037e-05,7.298790920092338e-05,0.997887062232904,3.4597708925897477
8,t+8,B35_H2S,0.0001269500118709118,0.00023363581105313654,0.9895381421611721,1.238841170744048
8,t+8,B35_SO2,4.8546302673988546e-05,7.257160959633551e-05,0.9979112573879712,3.46335152000209
9,t+9,B35_H2S,0.00012770633082777986,0.00023547611882207672,0.989375294908685,1.2472958625752855
9,t+9,B35_SO2,4.889221500810782e-05,7.285659937529916e-05,0.9978950096582928,3.511617218850987
10,t+10,B35_H2S,0.00013155325620562306,0.00024060225406991392,0.9889100014102572,1.283040431530871
10,t+10,B35_SO2,4.950851459059104e-05,7.342844125661695e-05,0.997862048159245,3.5828884179142166
11,t+11,B35_H2S,0.00013656155134751207,0.00024591446027530617,0.98841676034341,1.3301592190230571
11,t+11,B35_SO2,5.0611933040237825e-05,7.400190981061079e-05,0.9978287351351421,3.664187218657653
12,t+12,B35_H2S,0.00013967907070552404,0.00025053160193410425,0.9879798247722197,1.3584249124384928
12,t+12,B35_SO2,5.088211856877839e-05,7.504864380729252e-05,0.9977670772416366,3.7023921602984435
13,t+13,B35_H2S,0.0001431055171238956,0.00025357196195908375,0.9876881442630627,1.394539635017256
13,t+13,B35_SO2,5.1804545306415014e-05,7.672708657983355e-05,0.9976662635056546,3.7940329573409164
14,t+14,B35_H2S,0.00014630138955239226,0.0002563575008076485,0.9874180147065386,1.4321070463746723
14,t+14,B35_SO2,5.452073810554291e-05,8.093878052779916e-05,0.9974031891094042,4.006574748070629
15,t+15,B35_H2S,0.00014885835260371272,0.00025911479186221524,0.9871464717417678,1.4663737523438993
15,t+15,B35_SO2,5.853528570335032e-05,8.587548209298183e-05,0.99707691108696,4.254133135556312
16,t+16,B35_H2S,0.00015334588803820882,0.0002648228628746371,0.9865735945336372,1.5123214668051956
16,t+16,B35_SO2,6.015503417253296e-05,8.773055723261892e-05,0.9969493985194118,4.365657732631551
17,t+17,B35_H2S,0.00015878131546081213,0.0002723136060973894,0.9858024426860665,1.5612438550855505
17,t+17,B35_SO2,6.0022679883307946e-05,8.859412174996182e-05,0.996889124891873,4.379883477208733
18,t+18,B35_H2S,0.00016676522629492592,0.0002809390965578508,0.9848853833617615,1.6362157358467342
18,t+18,B35_SO2,5.971065534259585e-05,8.941468757526724e-05,0.9968312621198876,4.45466056433714
