Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,7.906345558503351e-05,0.00011491588639204644,0.994581743563555,0.9229825548052603
1,t+1,B35_SO2,3.773105947273797e-05,5.405686598912248e-05,0.9978896441004849,2.811357041917072
2,t+2,B35_H2S,7.475146259399877e-05,0.00011161771091446668,0.9948886147105924,0.8703459992200464
2,t+2,B35_SO2,3.478078087084639e-05,5.051023339693614e-05,0.9981578781404183,2.6459452372385837
3,t+3,B35_H2S,7.372088887869093e-05,0.0001117448256455002,0.9948778518479928,0.8526962887662445
3,t+3,B35_SO2,3.3842037304096775e-05,4.966965124860659e-05,0.9982190990835227,2.593188518839253
4,t+4,B35_H2S,7.115760246843378e-05,0.00010874477254750564,0.9951497977057342,0.8235804974619695
4,t+4,B35_SO2,3.3635431529214074e-05,4.944060431624981e-05,0.9982359719293352,2.573413940620801
5,t+5,B35_H2S,6.973518708445884e-05,0.0001063979237693975,0.9953579162422036,0.8096020986413173
5,t+5,B35_SO2,3.323663402724223e-05,4.873646060423749e-05,0.9982863472541732,2.5682181469450422
6,t+6,B35_H2S,6.99785666342522e-05,0.0001058857919985019,0.9954032109849075,0.8100013178723612
6,t+6,B35_SO2,3.33895448629548e-05,4.907542609124533e-05,0.998262959576701,2.5944608428512597
7,t+7,B35_H2S,7.12905556827311e-05,0.00010641187778509971,0.9953582764731375,0.8229177570924164
7,t+7,B35_SO2,3.403377285547829e-05,5.0188246795981954e-05,0.9981838256019611,2.6222721405907463
8,t+8,B35_H2S,7.059627988492912e-05,0.00010560802652590232,0.9954296757839137,0.8136108365077068
8,t+8,B35_SO2,3.4499119734424655e-05,5.05309193250671e-05,0.9981594449445654,2.658677883704715
9,t+9,B35_H2S,6.939204468277826e-05,0.00010405111636349055,0.9955646002053073,0.80159535866115
9,t+9,B35_SO2,3.517591259987117e-05,5.0935727420578416e-05,0.9981303215658004,2.709830877800519
10,t+10,B35_H2S,6.959909424293765e-05,0.00010376810032247608,0.995589346643221,0.8032801299503055
10,t+10,B35_SO2,3.579982385683182e-05,5.113213263639439e-05,0.9981162630511523,2.7532072679953825
11,t+11,B35_H2S,6.992061306829312e-05,0.00010283497806591558,0.9956683905291619,0.8058442620375507
11,t+11,B35_SO2,3.580546114854646e-05,5.058612574883201e-05,0.9981565496946795,2.7841765721051686
12,t+12,B35_H2S,6.991248531062527e-05,0.00010151806853152448,0.9957783419987958,0.804688545204084
12,t+12,B35_SO2,3.564311186726874e-05,5.056980388722403e-05,0.9981579308064766,2.7707394091406488
13,t+13,B35_H2S,7.066303613564062e-05,0.0001019243753016881,0.9957442360486068,0.8120457419336331
13,t+13,B35_SO2,3.590667852013834e-05,5.1336882114113434e-05,0.9981017790679192,2.8041280276827156
14,t+14,B35_H2S,7.186172241058253e-05,0.00010338517980553399,0.9956211321030991,0.8265167273322315
14,t+14,B35_SO2,3.642408006936471e-05,5.1719722152894176e-05,0.9980734901957324,2.8710666753357903
15,t+15,B35_H2S,7.200527394831855e-05,0.0001031859911924763,0.9956376987317208,0.8305794918692337
15,t+15,B35_SO2,3.6865253007513845e-05,5.1880325922616855e-05,0.9980615942630225,2.9397105916109534
16,t+16,B35_H2S,7.253528502356075e-05,0.00010352579142343195,0.9956082528541227,0.839083745638791
16,t+16,B35_SO2,3.733153653374189e-05,5.2432477857874915e-05,0.9980201380966899,2.9580389334832127
17,t+17,B35_H2S,7.294360654842775e-05,0.00010352816588459372,0.9956068410270978,0.8446820686740495
17,t+17,B35_SO2,3.7510305459635984e-05,5.269572469586016e-05,0.9980001195790311,2.940469411052908
18,t+18,B35_H2S,7.853869681845987e-05,0.00010908017368311954,0.9951207705864734,0.9065741581187895
18,t+18,B35_SO2,3.940781191023511e-05,5.4616338727591345e-05,0.9978515234914774,3.1381702000271323
