Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.00017264041720213257,0.00021128648638094613,0.81598728269497,2.785627878381545
1,t+1,B35_SO2,0.0012167544512456,0.0014488162635774716,-0.23911382853252716,18.583053320700536
2,t+2,B35_H2S,0.0001964585534335129,0.00023988894245562125,0.7322346580793966,3.1882571075799344
2,t+2,B35_SO2,0.0013166376415064164,0.001544995206242599,-0.5553848299568833,20.138553941433898
3,t+3,B35_H2S,0.00020697427935030565,0.0002554872153846204,0.6567982451815789,3.3733751913403958
3,t+3,B35_SO2,0.0014253135617661975,0.001658623297185357,-0.9918108043822997,21.87265065140025
4,t+4,B35_H2S,0.00021367085384398885,0.0002667521314137952,0.574891753289966,3.493295931939
4,t+4,B35_SO2,0.0015285751842858213,0.0017577884967810973,-1.5003622892738195,23.49432867506874
5,t+5,B35_H2S,0.00022111697441544673,0.00027691560204487324,0.4821405840816694,3.621059636523131
5,t+5,B35_SO2,0.0016202281740700596,0.0018447098211051977,-2.0988620140309924,24.90168553581527
6,t+6,B35_H2S,0.00022874826094230777,0.000287076240226578,0.3831597872089415,3.749992063846723
6,t+6,B35_SO2,0.0017182613077923866,0.0019423835339452006,-2.8901727543965268,26.363561359705233
7,t+7,B35_H2S,0.00023731860281432329,0.000296441752832459,0.27161730268254747,3.8939676260401783
7,t+7,B35_SO2,0.0018202497889351042,0.002049796117749443,-3.922617454860643,27.826111255532016
8,t+8,B35_H2S,0.0002471442508429754,0.00030784404362078796,0.13250008059651774,4.056431176011156
8,t+8,B35_SO2,0.0019295826946574303,0.0021658220538025253,-5.290710728123094,29.380773354492884
9,t+9,B35_H2S,0.000258071495426176,0.0003197602719206492,0.039629612945610626,4.234325145253542
9,t+9,B35_SO2,0.0020306930989591253,0.0022735555977767027,-7.036109024747121,30.836814425152394
10,t+10,B35_H2S,0.00026951439944790807,0.00033269886789844043,-0.007468297102301014,4.421064248497783
10,t+10,B35_SO2,0.0021282215651898984,0.0023729121932925526,-9.298686092528797,32.23578095316114
11,t+11,B35_H2S,0.000281425141848423,0.00034804089008294895,-0.05398053381061274,4.617298724998385
11,t+11,B35_SO2,0.002208050367085019,0.0024530870399506756,-12.094666242513457,33.35739633924318
12,t+12,B35_H2S,0.00029690256621609266,0.00036567554470706535,-0.10997693259303265,4.872536860656275
12,t+12,B35_SO2,0.002287749972676889,0.0025312784556198514,-15.726004664233045,34.45282282132241
13,t+13,B35_H2S,0.00031561181541657116,0.00038699752176833766,-0.1769047428025612,5.179105106697896
13,t+13,B35_SO2,0.0023705504051656744,0.002605826543801901,-20.52064264659967,35.65365296524224
14,t+14,B35_H2S,0.00033506149758410196,0.0004089950179822988,-0.22801471374666193,5.498384760792712
14,t+14,B35_SO2,0.002446813020919385,0.0026766978213400043,-26.571055180565377,36.729531783998034
15,t+15,B35_H2S,0.00035455107144928685,0.00043095297155940657,-0.25915234012908495,5.816817145940673
15,t+15,B35_SO2,0.002527082491441386,0.0027553935352807785,-34.40128150359633,37.85494837133438
16,t+16,B35_H2S,0.00037005973692763957,0.00045007844025624555,-0.2722212948668916,6.0722717382737015
16,t+16,B35_SO2,0.0026252588031811987,0.0028536499743461083,-44.74835246574945,39.261495161387074
17,t+17,B35_H2S,0.0003854325277802143,0.00046990088457508417,-0.2726855981452263,6.323520096383736
17,t+17,B35_SO2,0.0027311470901884975,0.002959620162543421,-58.111099853374384,40.80271457165093
18,t+18,B35_H2S,0.0004037867909042186,0.0004922761435527438,-0.2797559079923142,6.619937814824062
18,t+18,B35_SO2,0.0028355652378809788,0.0030630885148329227,-73.85798184340477,42.342683735326325
