Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.00038888974038188927,0.0004973433336214137,0.9548508801282881,4.129377463647988
1,t+1,B35_SO2,0.00017557753035272937,0.000254941388688401,0.9771738002115659,9.433220846735352
2,t+2,B35_H2S,0.0003739744395632397,0.00047719071254251116,0.9584820774808176,3.952605365007463
2,t+2,B35_SO2,0.00017258635103629478,0.00024099624179861625,0.9796027126338573,9.167059801694027
3,t+3,B35_H2S,0.0003508179669926518,0.00045179000478708597,0.9628394093755505,3.744620209582722
3,t+3,B35_SO2,0.00015992116179568036,0.00022501814137208123,0.9822181768634203,8.64183678223191
4,t+4,B35_H2S,0.0003511330845925968,0.00044871099330026697,0.9634054376715668,3.764381905777318
4,t+4,B35_SO2,0.0001591930879484881,0.00022545166299083855,0.9821502296823282,8.455568503093616
5,t+5,B35_H2S,0.0003662356453928186,0.00046506194854339564,0.9607680277952411,3.932434657453781
5,t+5,B35_SO2,0.00016434313674715926,0.00023445153679211962,0.98069759524548,8.47831952831886
6,t+6,B35_H2S,0.00037555747454284414,0.0004772957706499441,0.9587510591100488,4.049804543264644
6,t+6,B35_SO2,0.0001676616199412924,0.00024734204011332147,0.978517188765833,8.470197782055175
7,t+7,B35_H2S,0.00038383079107300933,0.0004894239476292323,0.956720013564741,4.14927086311204
7,t+7,B35_SO2,0.000164032532431555,0.00024002181082420472,0.9797707100402461,8.457359118550665
8,t+8,B35_H2S,0.0003942569805541419,0.0005016749687486938,0.9546276394986871,4.266708297660198
8,t+8,B35_SO2,0.00016106750982223335,0.00022920042218051978,0.9815550797323515,8.322303263256794
9,t+9,B35_H2S,0.00040114512613628295,0.000508488251060796,0.9534695492203565,4.352852365932592
9,t+9,B35_SO2,0.0001623330945393597,0.0002283925274245795,0.9816869484762631,8.22178932100324
10,t+10,B35_H2S,0.00041285588500438125,0.0005195116042272927,0.9514951902557727,4.486187902399236
10,t+10,B35_SO2,0.0001650194434065683,0.00023834672598197347,0.9800590026026446,8.269557302887911
11,t+11,B35_H2S,0.000422313590480541,0.0005301731035014769,0.9495354996117392,4.567674601602655
11,t+11,B35_SO2,0.0001654534384887527,0.00024157526499493708,0.9795190110658684,8.250763551858883
12,t+12,B35_H2S,0.0004286626273748808,0.0005366935425128291,0.9483270846469123,4.623230897917022
12,t+12,B35_SO2,0.00016590043187235414,0.00024258880677357884,0.9793513258097429,8.147700365649897
13,t+13,B35_H2S,0.00043312462272523445,0.0005411986432204216,0.9474843982210318,4.663664379846562
13,t+13,B35_SO2,0.0001647399436230746,0.00023904439845772417,0.9799556164337159,8.179517915068404
14,t+14,B35_H2S,0.000437604686454715,0.0005461210043635111,0.9465492579821951,4.7044403538201305
14,t+14,B35_SO2,0.0001686200108486248,0.00024666714184420896,0.9786637901410703,8.378570018614228
15,t+15,B35_H2S,0.0004434066685537904,0.0005521836311558388,0.9453705373994381,4.770750053539792
15,t+15,B35_SO2,0.00017368485395539597,0.00025394302070374527,0.9773942429664434,8.50449380324057
16,t+16,B35_H2S,0.00044647313733070385,0.0005561137345407434,0.9446127200253326,4.814029532074375
16,t+16,B35_SO2,0.00017378195908788015,0.00025317874968513267,0.9775390248228065,8.430500517283201
17,t+17,B35_H2S,0.00045122497940667557,0.0005632626875152393,0.9431955553341577,4.846634060695227
17,t+17,B35_SO2,0.00017214432613433365,0.00025143383676511316,0.9778564654152803,8.40437480177413
18,t+18,B35_H2S,0.000457354585366908,0.0005692988730670629,0.9419697969283543,4.90906327626307
18,t+18,B35_SO2,0.00017769641324858295,0.00025872040320249677,0.9765639577066085,8.763275605150886
