plot_type,case,horizon,variable,split,n_samples,MAE,RMSE,R2,MAPE
parity,R5,1,B35_H2S,train,1117,0.000315990828416081,0.0004130670160644846,0.9356632875640634,3.566637440934369
parity,R5,1,B35_H2S,valid,109,0.00033337251068324734,0.00041227125311393527,0.8989564030050631,3.741687966155286
parity,R5,1,B35_H2S,test,109,0.00029128174271485826,0.0003487838078579617,0.7374443027366601,3.8519428069396384
parity,R5,1,B35_H2S,all,1335,0.0003153925610195925,0.00040813244390132744,0.9337089012288678,3.604224551154335
parity,R5,1,B35_SO2,train,1117,0.0001559173314979865,0.00021102171192666658,0.9689516273072872,11.605776159631114
parity,R5,1,B35_SO2,valid,109,9.086526334026037e-05,0.00012192745218553949,0.9829880749113413,11.894921010687833
parity,R5,1,B35_SO2,test,109,0.0002450563324882987,0.0002814015072603048,0.39511190223805814,10.388666562835413
parity,R5,1,B35_SO2,all,1335,0.00015788397994648978,0.0002119854089384302,0.9668274260932042,11.530009749679394
parity,R5-1,1,B35_H2S,train,1117,0.00032693357784985337,0.00042178585703415386,0.9675271271388172,3.5125155012543643
parity,R5-1,1,B35_H2S,valid,109,0.0002486406026296371,0.00031771476248523573,0.7416435697860473,2.845565525419694
parity,R5-1,1,B35_H2S,test,109,0.0006181007216105791,0.0006984980665072446,0.9248392008994558,6.062421865815591
parity,R5-1,1,B35_H2S,all,1335,0.00034431431520634445,0.00044376816691343006,0.9631665487064991,3.6662550116447723
parity,R5-1,1,B35_SO2,train,1117,0.0002675845835174783,0.0003966675471182106,0.9447405884097709,13.651539375711716
parity,R5-1,1,B35_SO2,valid,109,0.00018120394400212303,0.00022374418814358782,0.7686917161446938,9.121665895728121
parity,R5-1,1,B35_SO2,test,109,0.00015878109017099172,0.00022139155261252343,0.8156777912053899,15.52972056176372
parity,R5-1,1,B35_SO2,all,1335,0.0002516482011340021,0.000373819013190839,0.945786098083341,13.435034162199697
parity,R5-2,1,B35_H2S,train,1117,0.000317161648640658,0.00041868390682768856,0.9277951993668706,3.4301866185005245
parity,R5-2,1,B35_H2S,valid,109,0.00042062541707579756,0.0005267660232913506,0.842784347140191,4.439560019923671
parity,R5-2,1,B35_H2S,test,109,0.0003603258385830136,0.00046365613851296743,0.5766863383383156,4.240953810791081
parity,R5-2,1,B35_H2S,all,1335,0.0003291335193995696,0.00043229545988057705,0.9185803722857607,3.5787973486239655
parity,R5-2,1,B35_SO2,train,1117,0.0001992671200049197,0.00031938022018489817,0.9473137574291625,15.536846165940704
parity,R5-2,1,B35_SO2,valid,109,0.0001375308863593789,0.00017508612290353018,0.9377233561649599,26.80488046956622
parity,R5-2,1,B35_SO2,test,109,0.0002530504230850998,0.000298590849473387,0.849858284678878,17.708688272319126
parity,R5-2,1,B35_SO2,all,1335,0.00019861777960669926,0.00030843039905935885,0.9471135754017533,16.63418438967885
parity,R5-6,1,B35_H2S,train,1232,0.000303535430547494,0.0003898468710071136,0.9470211418080071,3.662839352775598
parity,R5-6,1,B35_H2S,valid,123,0.00038126905119853754,0.0004889853436187237,0.5686659249279735,4.779160359787675
parity,R5-6,1,B35_H2S,test,123,0.00043524103385727387,0.0005381041058045759,0.8812753231297368,5.058679923206731
parity,R5-6,1,B35_H2S,all,1478,0.0003209650817972783,0.00041313481069427284,0.9364102365044515,3.8719028670012507
parity,R5-6,1,B35_SO2,train,1232,0.00017437238700494494,0.00023851500073610144,0.9579112506715342,10.655063660710466
parity,R5-6,1,B35_SO2,valid,123,0.0001673523781553116,0.00020304032254857979,0.8424313841895854,12.21310675324842
parity,R5-6,1,B35_SO2,test,123,0.00014749762216023453,0.00017853435378621327,0.9262453069826968,20.33582542336366
parity,R5-6,1,B35_SO2,all,1478,0.00017155164467449547,0.00023130949500037868,0.9570556774865682,11.590363388172248
parity,R5-11,1,B35_H2S,unknown,79,0.00017264041720213257,0.00021128648638094613,0.81598728269497,2.785627878381545
parity,R5-11,1,B35_H2S,all,79,0.00017264041720213257,0.00021128648638094613,0.81598728269497,2.785627878381545
