Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.0002777665709408971,0.0003611625930262785,0.9508160555741019,3.2316417821527916
1,t+1,B35_SO2,0.0001247856803601267,0.00017514152733501782,0.9786123620216366,8.473315048461592
2,t+2,B35_H2S,0.0003094012005297999,0.00040096806000839536,0.9393820251657269,3.597451428794618
2,t+2,B35_SO2,0.00013220491029935458,0.00018585646720754062,0.9759338540599688,8.963037179685074
3,t+3,B35_H2S,0.00032176571073076955,0.00041675605421633504,0.9345236967669817,3.738926956008637
3,t+3,B35_SO2,0.0001354700901367595,0.00018994963893456275,0.974881094063167,9.202988394029447
4,t+4,B35_H2S,0.000331667766300541,0.00042919772556152945,0.930562355839343,3.8515324226406764
4,t+4,B35_SO2,0.0001384284213262811,0.00019364557164801177,0.9739136185463743,9.452806477032414
5,t+5,B35_H2S,0.00034185632541516744,0.00044187942279090363,0.9264046708135758,3.9678732050849117
5,t+5,B35_SO2,0.00014167603949138708,0.00019790066144802164,0.9727751460774173,9.729487532091694
6,t+6,B35_H2S,0.0003510111100174581,0.0004532807009716318,0.9225659234009462,4.07317219930056
6,t+6,B35_SO2,0.00014508030972904838,0.00020228772739240214,0.9715763666374845,10.015959781390265
7,t+7,B35_H2S,0.00035856233243585997,0.0004628888467151986,0.9192650462099899,4.159855891801162
7,t+7,B35_SO2,0.00014808623070320325,0.00020662965026813006,0.9703659078142557,10.279211570983398
8,t+8,B35_H2S,0.0003652771154542743,0.0004712617737957364,0.9163439733202842,4.237362329869894
8,t+8,B35_SO2,0.00015107487343140127,0.00021100380602239875,0.9691218657932854,10.527843125159311
9,t+9,B35_H2S,0.0003714242462762616,0.00047887312193264084,0.9136514223039937,4.308635054266374
9,t+9,B35_SO2,0.0001541303999989492,0.00021526439809750196,0.9678867485323224,10.774370710924778
10,t+10,B35_H2S,0.00037737632422684965,0.00048596048749769143,0.9111112780944415,4.377871598166692
10,t+10,B35_SO2,0.00015707724942604561,0.00021944609624144094,0.9666514738722322,11.002525356918058
11,t+11,B35_H2S,0.00038190026916479143,0.0004917954451959221,0.9090002164725618,4.431282345661962
11,t+11,B35_SO2,0.00015942566926889636,0.00022313521660611416,0.9655453357462354,11.176773656005961
12,t+12,B35_H2S,0.0003854084321166058,0.00049618070726365,0.9073994537808905,4.473520555037387
12,t+12,B35_SO2,0.00016136986782778735,0.00022613956276550643,0.964636118703611,11.330359143839567
13,t+13,B35_H2S,0.0003878746118364751,0.0004994785803005714,0.9061929419581318,4.503971742663323
13,t+13,B35_SO2,0.0001628432505325218,0.00022846496560951121,0.9639298688071023,11.441200502889842
14,t+14,B35_H2S,0.00038982853387576976,0.0005022792640368111,0.9051520812775564,4.528211063183608
14,t+14,B35_SO2,0.0001640314061530828,0.00023036801316994438,0.9633511817531645,11.539357078862867
15,t+15,B35_H2S,0.00039178551078806963,0.0005049142336663971,0.9041575715716328,4.552367104320906
15,t+15,B35_SO2,0.0001649977568414617,0.00023215862333830398,0.9628034516926721,11.6293137292591
16,t+16,B35_H2S,0.000393704610744108,0.0005074666230691588,0.9031780445349589,4.576520884054693
16,t+16,B35_SO2,0.00016590846381550332,0.00023388885251676,0.9622703599137942,11.719312573188656
17,t+17,B35_H2S,0.0003951520817993575,0.0005090944695012131,0.9025360701910989,4.596373779267285
17,t+17,B35_SO2,0.00016661998834592622,0.00023551513291047402,0.9617654215593229,11.783263425904163
18,t+18,B35_H2S,0.00039605966594396657,0.0005092135286284773,0.9024538570686718,4.611145569256238
18,t+18,B35_SO2,0.00016738947838301012,0.00023711307155868208,0.961263571851206,11.825983831234135
