Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.0002953917681375125,0.000400233079469727,0.9340189081322411,3.195183350384302
1,t+1,B35_SO2,0.00014690772744961706,0.00019865872555495132,0.9796156679468726,12.262439155597479
2,t+2,B35_H2S,0.0003195176134513298,0.00042756219496117154,0.9247404606155443,3.46399677529398
2,t+2,B35_SO2,0.00014896014539325837,0.0002001460741634403,0.9793065254974704,12.58730575760022
3,t+3,B35_H2S,0.0003296295992856292,0.00044093756721220865,0.9199941373828265,3.5740771084011462
3,t+3,B35_SO2,0.0001520191679209334,0.0002042718434528672,0.978441625750339,12.851492671746042
4,t+4,B35_H2S,0.0003381578745316891,0.00045368434526290446,0.915355983440631,3.6649026929001467
4,t+4,B35_SO2,0.00015574207152900006,0.0002088729846933506,0.9774564901210835,13.172698186309928
5,t+5,B35_H2S,0.0003467912853389857,0.00046721871635594726,0.9103011498581172,3.75555440013272
5,t+5,B35_SO2,0.00015981888052703737,0.00021336476212176415,0.9764734658992296,13.545602030666615
6,t+6,B35_H2S,0.000354267664696043,0.00047976322400537075,0.9055132256223617,3.8335719146783473
6,t+6,B35_SO2,0.00016345415398636923,0.00021761983387220466,0.9755229545670695,13.913691661324554
7,t+7,B35_H2S,0.0003605611570392007,0.0004905388467485919,0.9013485505249297,3.8988875273487045
7,t+7,B35_SO2,0.00016685620038576446,0.00022159041028992194,0.9746188182765229,14.251683116059489
8,t+8,B35_H2S,0.00036607756840375486,0.0004999768627039213,0.8976816164384057,3.956769027413732
8,t+8,B35_SO2,0.0001697272564212586,0.000224957091037992,0.9738388516240766,14.560860053539187
9,t+9,B35_H2S,0.0003712201503891453,0.0005085312215430758,0.8943121779424672,4.011244778051322
9,t+9,B35_SO2,0.0001725254583449707,0.00022812807023514848,0.9730935974837627,14.849853306535252
10,t+10,B35_H2S,0.00037603321743380865,0.0005160930661601123,0.8913343245953954,4.062913162138513
10,t+10,B35_SO2,0.000174907211763502,0.0002305935337009506,0.9725071536485412,15.079003466362364
11,t+11,B35_H2S,0.0003797436805711931,0.0005224536749430723,0.8888487774953675,4.102478179983903
11,t+11,B35_SO2,0.00017675394532029758,0.00023246716172999196,0.9720576342313568,15.25051622667966
12,t+12,B35_H2S,0.00038267683428106294,0.0005276305870575784,0.8868596964716429,4.1324918149053715
12,t+12,B35_SO2,0.00017804352138888,0.00023389880664321367,0.9717123887255233,15.369727390751164
13,t+13,B35_H2S,0.00038488056454000165,0.0005320230808164543,0.8851889794908674,4.154212525669835
13,t+13,B35_SO2,0.00017926848552458693,0.00023521075975337533,0.9713950941332746,15.478404949520295
14,t+14,B35_H2S,0.00038680793957118976,0.0005359290412639797,0.8837110230176524,4.17303980622811
14,t+14,B35_SO2,0.00018064212218210591,0.00023660938081634527,0.971055672410113,15.591021183780912
15,t+15,B35_H2S,0.0003887477411720467,0.0005397427692303282,0.8822875479998403,4.191408134451229
15,t+15,B35_SO2,0.00018207720899206625,0.0002380840892874556,0.9706961740755604,15.707635760195405
16,t+16,B35_H2S,0.00039107622276659274,0.0005437420415597924,0.8807569424037938,4.213445667074183
16,t+16,B35_SO2,0.0001835317347066935,0.00023987576578718027,0.9702566032381,15.836376429538056
17,t+17,B35_H2S,0.000393357669421231,0.0005477013293085086,0.8791821359955865,4.23403082833498
17,t+17,B35_SO2,0.0001852335009834099,0.00024179232053664297,0.9697836717883168,15.970227232831801
18,t+18,B35_H2S,0.000395306010382947,0.0005514444772000786,0.8776857277368131,4.251402903371459
18,t+18,B35_SO2,0.00018718676969095048,0.00024397359891130152,0.969241231121464,16.11165111548306
