Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.0002956951866148352,0.00039092547347324745,0.9423756855238141,3.428435488508693
1,t+1,B35_SO2,0.00012659417808312718,0.00017212345717936166,0.9793431222190315,9.262788017826777
2,t+2,B35_H2S,0.0003222814937867938,0.00042333264486804466,0.9324313278478292,3.742324046874943
2,t+2,B35_SO2,0.00013205984601741638,0.00017903681580684855,0.9776675751604208,9.625713144588358
3,t+3,B35_H2S,0.0003342707616106688,0.0004382168989817835,0.9276066692150365,3.881173268978085
3,t+3,B35_SO2,0.00013502874734436837,0.00018276688802941991,0.976744867986408,9.868186080928682
4,t+4,B35_H2S,0.00034453171135808347,0.0004511577358532559,0.9232749869148051,3.9985359285829367
4,t+4,B35_SO2,0.00013813349937767742,0.0001862600884698924,0.9758654997334274,10.145102292336267
5,t+5,B35_H2S,0.00035550112829272793,0.0004647890021663249,0.9185756345769432,4.123744693330847
5,t+5,B35_SO2,0.00014133651428766182,0.00019032598277416614,0.9748193330627202,10.439453098313898
6,t+6,B35_H2S,0.0003653147426252975,0.000477180920688271,0.914184881260216,4.237771615490874
6,t+6,B35_SO2,0.0001446838865309995,0.00019444775799586555,0.97373687492366,10.747429420350391
7,t+7,B35_H2S,0.000373502303148975,0.0004875031019291406,0.9104505475599493,4.332398483879442
7,t+7,B35_SO2,0.00014755038616559414,0.00019831893035285528,0.9727017574001233,11.022820169678633
8,t+8,B35_H2S,0.00038070364380210004,0.0004965195268310503,0.9071364093393783,4.415075934909399
8,t+8,B35_SO2,0.0001501750525731784,0.00020204470927533578,0.9716883332652075,11.276222040469836
9,t+9,B35_H2S,0.0003872309523765073,0.0005046362788767344,0.9041104670401612,4.489045027890618
9,t+9,B35_SO2,0.00015272340574882284,0.0002055385249916819,0.9707230161644054,11.517280790664657
10,t+10,B35_H2S,0.00039389080680066814,0.0005123387192506941,0.9011995096153496,4.563770037300868
10,t+10,B35_SO2,0.00015501768529456358,0.00020875595201229162,0.9698214298462962,11.733095011742126
11,t+11,B35_H2S,0.0003993506891814126,0.0005186216434631175,0.8988018370025289,4.62539823813242
11,t+11,B35_SO2,0.00015691059591423976,0.00021146517930638968,0.9690550692901663,11.907425131030267
12,t+12,B35_H2S,0.0004033220377766834,0.0005235104385769389,0.8969176069028929,4.670684500719329
12,t+12,B35_SO2,0.00015822530402096735,0.00021335990497998886,0.9685201650700531,12.039676318549013
13,t+13,B35_H2S,0.0004063596952395983,0.0005274529041111267,0.8953909749799476,4.705076614590661
13,t+13,B35_SO2,0.00015893138983526822,0.00021459790452351928,0.9681756565943371,12.133010495720916
14,t+14,B35_H2S,0.0004089765122529803,0.000530970527792822,0.8940067672034268,4.734407163942534
14,t+14,B35_SO2,0.00015959646901234938,0.00021545111169902012,0.9679437216513389,12.223370224165102
15,t+15,B35_H2S,0.00041151735898982666,0.0005344146638221649,0.8926308996312513,4.762891084907655
15,t+15,B35_SO2,0.00015997486948212907,0.00021623277053788882,0.9677317043763702,12.293245019307067
16,t+16,B35_H2S,0.0004139341167746316,0.0005377569810091048,0.8912746042586115,4.789853964587174
16,t+16,B35_SO2,0.00016037750034356732,0.00021706812521118628,0.9675020679243436,12.358945958593011
17,t+17,B35_H2S,0.0004158294539790423,0.0005401760354774085,0.8902719184074855,4.8118597140828445
17,t+17,B35_SO2,0.00016038851462368435,0.00021767840490904074,0.9673375044565483,12.377218930917532
18,t+18,B35_H2S,0.0004163478834644259,0.0005403658739112259,0.8901535406924007,4.820151180233103
18,t+18,B35_SO2,0.00016019888066108812,0.00021792319935527962,0.9672798329748222,12.358259819774071
