plot_type,case,variable,split,n_samples,MAE,RMSE,R2,MAPE
rolling_time_series,R5,B35_H2S,train,1134,0.00040356473461171605,0.0005247065577259943,0.8950251858396421,4.688289613599641
rolling_time_series,R5,B35_H2S,valid,126,0.00034964168842290384,0.00044481382510430824,0.885491437002387,4.0818637357958165
rolling_time_series,R5,B35_H2S,test,126,0.00041576247773356334,0.0004962274579747272,0.4242762684429995,5.455837462203265
rolling_time_series,R5,B35_H2S,all,1386,0.00039977152524199187,0.0005153951506578534,0.8914423838602321,4.702937065490532
rolling_time_series,R5,B35_SO2,train,1134,0.00016494672139660713,0.0002300017991213124,0.9630814547810924,12.030181719865563
rolling_time_series,R5,B35_SO2,valid,126,0.00010747067092463617,0.00015173692637405562,0.9822354433326143,8.927098762573767
rolling_time_series,R5,B35_SO2,test,126,0.00029858460160760283,0.00034180436247160934,-0.018403794165025245,12.554982551551044
rolling_time_series,R5,B35_SO2,all,1386,0.00017187052410015481,0.00023663584709257652,0.958698837694752,11.795792435719537
rolling_time_series,R5-1,B35_H2S,train,1134,0.00035902275496773017,0.00046306219541914515,0.9611294075706436,3.8663010621871927
rolling_time_series,R5-1,B35_H2S,valid,126,0.0003102791988837428,0.00037412431857079364,0.6064700480213119,3.5114523162990596
rolling_time_series,R5-1,B35_H2S,test,126,0.000864197926786769,0.0009868608819184686,0.8540956155447871,8.190862599176086
rolling_time_series,R5-1,B35_H2S,all,1386,0.0004005165382163712,0.0005260230531972518,0.9475254220093157,4.2271840431963525
rolling_time_series,R5-1,B35_SO2,train,1134,0.00020707435211672013,0.0002903531150733643,0.9700611089572266,10.71694784770424
rolling_time_series,R5-1,B35_SO2,valid,126,0.00027650611185201044,0.00034485591325543593,0.6788512289795671,12.326643257714135
rolling_time_series,R5-1,B35_SO2,test,126,0.00019384125247675892,0.0002649619478191024,0.7568017991693236,16.428946197522848
rolling_time_series,R5-1,B35_SO2,all,1386,0.0002121833212162955,0.00029354801645241037,0.9657954087250877,11.382556371325013
rolling_time_series,R5-2,B35_H2S,train,1134,0.00040644363258911996,0.0005488601439822198,0.8794154216132107,4.346291675387103
rolling_time_series,R5-2,B35_H2S,valid,126,0.00047645221440842595,0.0006230698657866798,0.7569891676152302,4.9878540008643455
rolling_time_series,R5-2,B35_H2S,test,126,0.00061553803755428,0.0007303290108899419,0.10454644045582495,7.1722059991392335
rolling_time_series,R5-2,B35_H2S,all,1386,0.00043181663138770776,0.0005746796451991602,0.8564623766608943,4.661516825317046
rolling_time_series,R5-2,B35_SO2,train,1134,0.00020871441239565398,0.00027151816932273996,0.9613866109426117,15.778669170865161
rolling_time_series,R5-2,B35_SO2,valid,126,0.0001193769678923037,0.00014372715474226492,0.9559090627782811,20.01453363347494
rolling_time_series,R5-2,B35_SO2,test,126,0.000323211436843134,0.00036946125675420906,0.8840779850908531,21.709296353534903
rolling_time_series,R5-2,B35_SO2,all,1386,0.00021100164693602943,0.0002731396848274549,0.9584204841235955,16.70289568407239
rolling_time_series,R5-6,B35_H2S,train,1249,0.0004005594228204435,0.0005070880854003963,0.9094831677306766,4.85677599215152
rolling_time_series,R5-6,B35_H2S,valid,140,0.0004109445914601565,0.0005472674390194004,0.40143457956900797,5.239299821215269
rolling_time_series,R5-6,B35_H2S,test,140,0.0005675357615006117,0.0006721147947385803,0.8352271211929673,6.472334480943938
rolling_time_series,R5-6,B35_H2S,all,1529,0.00041679919458289177,0.0005280486940541223,0.8969718003385175,5.0397266294961
rolling_time_series,R5-6,B35_SO2,train,1249,0.0001589384388377932,0.00022261741774625923,0.9631681454166736,10.247017427285602
rolling_time_series,R5-6,B35_SO2,valid,140,0.00019778974542701178,0.00024121823208790415,0.8223910976897768,12.808573012913657
rolling_time_series,R5-6,B35_SO2,test,140,0.00017409575297321232,0.0002415653063399319,0.8592963254557666,20.172639246400085
rolling_time_series,R5-6,B35_SO2,all,1529,0.0001638836362880543,0.00022617210064716775,0.9586651639092596,11.390382264868308
rolling_time_series,R5-11,B35_H2S,unknown,96,0.000459157681796221,0.0005197766001473189,0.024641762263500344,7.217347608262013
rolling_time_series,R5-11,B35_H2S,all,96,0.000459157681796221,0.0005197766001473189,0.024641762263500344,7.217347608262013
rolling_time_series,R5-11,B35_SO2,unknown,96,0.0013239415768067735,0.0015644504066055986,-0.6526098726002032,20.66165276740969
rolling_time_series,R5-11,B35_SO2,all,96,0.0013239415768067735,0.0015644504066055986,-0.6526098726002032,20.66165276740969
rolling_time_series,R5-12,B35_H2S,unknown,126,0.0023814739359943726,0.0027246417233173057,-4.025422862814004,14.75810907486068
rolling_time_series,R5-12,B35_H2S,all,126,0.0023814739359943726,0.0027246417233173057,-4.025422862814004,14.75810907486068
rolling_time_series,R5-12,B35_SO2,unknown,126,0.0005282120964441257,0.0006781832833594378,0.8702502902535022,29.274920318951285
rolling_time_series,R5-12,B35_SO2,all,126,0.0005282120964441257,0.0006781832833594378,0.8702502902535022,29.274920318951285
