plot_type,case,horizon,variable,split,n_samples,MAE,RMSE,R2,MAPE
parity,R5,1,B35_H2S,train,1117,0.0003247789515162847,0.00042549701641955446,0.9317329920828104,3.708643634095539
parity,R5,1,B35_H2S,valid,109,0.00037478737594917805,0.0004735660063774724,0.8666774131126304,4.274064835718782
parity,R5,1,B35_H2S,test,109,0.00030053081700677427,0.0003607332431806435,0.7191456533114279,3.997305380006914
parity,R5,1,B35_H2S,all,1335,0.00032688222612426137,0.0004247573934530648,0.9281982759885421,3.7783777474148446
parity,R5,1,B35_SO2,train,1117,0.00013565816132706174,0.00017874527476292046,0.9777231542071501,11.050103148129722
parity,R5,1,B35_SO2,valid,109,9.39427009349509e-05,0.00012711225443809977,0.9815104940499079,12.506078529716437
parity,R5,1,B35_SO2,test,109,0.00026851445471808087,0.0003109347030819576,0.2614828377554407,11.455477254579263
parity,R5,1,B35_SO2,all,1335,0.00014309962259813366,0.00018959317994993706,0.9734653933808778,11.202078499587365
parity,R5-1,1,B35_H2S,train,1117,0.00033626402557456055,0.0004303348843851306,0.9661974245056908,3.644527706361933
parity,R5-1,1,B35_H2S,valid,109,0.00034001500904206196,0.00040493739143913134,0.5803180920463084,3.9269439171017697
parity,R5-1,1,B35_H2S,test,109,0.0007496195749710399,0.0008608592315412628,0.8858370311293656,7.2020444644228245
parity,R5-1,1,B35_H2S,all,1335,0.00037031991477469087,0.0004783757544195806,0.9571975682545838,3.958050323290232
parity,R5-1,1,B35_SO2,train,1117,0.0002184294399529586,0.0003290402395835532,0.9619766006952225,11.29157604174942
parity,R5-1,1,B35_SO2,valid,109,0.00020090189349037928,0.0002535448520699509,0.7029720933731761,9.937079601226301
parity,R5-1,1,B35_SO2,test,109,0.00012939063569158228,0.00017567339579202114,0.8839440083414591,13.604410802876979
parity,R5-1,1,B35_SO2,all,1335,0.00020972851693504765,0.0003136181305253296,0.9618415947802732,11.369822391521621
parity,R5-2,1,B35_H2S,train,1117,0.0003129309074018669,0.00041312762415391394,0.9296989181978804,3.414176951084839
parity,R5-2,1,B35_H2S,valid,109,0.00039971386302872064,0.0004915336030005765,0.8631115834529115,4.292490007543155
parity,R5-2,1,B35_H2S,test,109,0.0003853184595149494,0.0004937097300974193,0.5200305121143748,4.524853646265488
parity,R5-2,1,B35_H2S,all,1335,0.00032592685147950966,0.0004271208302666399,0.9205179120058418,3.576573867136261
parity,R5-2,1,B35_SO2,train,1117,0.00018928146047876047,0.0002885738371039728,0.9569874586084074,13.610127250612697
parity,R5-2,1,B35_SO2,valid,109,0.00013101483793680145,0.00016087525495604523,0.9474224621667784,21.65695857246039
parity,R5-2,1,B35_SO2,test,109,0.00023564255385995046,0.0002766806810573686,0.8710842271235699,16.796663875862556
parity,R5-2,1,B35_SO2,all,1335,0.00018830939854728193,0.00027935616203713667,0.95661432418672,14.527308603596692
parity,R5-6,1,B35_H2S,train,1232,0.000319815823537802,0.0004094245101858417,0.9415664643996499,3.8542334064392696
parity,R5-6,1,B35_H2S,valid,123,0.0003937554014828983,0.0005030264737169044,0.5435389044843291,4.969601708871223
parity,R5-6,1,B35_H2S,test,123,0.0004915742274269225,0.0005869555243601476,0.858740139283639,5.789649931509442
parity,R5-6,1,B35_H2S,all,1478,0.00034026294922495274,0.00043526637276739,0.929414765461545,4.108121453653587
parity,R5-6,1,B35_SO2,train,1232,0.0001456582418132101,0.00019853558020577547,0.9708384016729601,9.7444835164165
parity,R5-6,1,B35_SO2,valid,123,0.00017418382263946586,0.00021223008599240563,0.8278452418300288,12.504155009121694
parity,R5-6,1,B35_SO2,test,123,0.00014739785859049147,0.00019005343385476505,0.9164209348030947,18.388181850294462
parity,R5-6,1,B35_SO2,all,1478,0.00014817692875856536,0.00019902314174881366,0.9682074040864087,10.693478434325652
parity,R5-11,1,B35_H2S,unknown,79,0.0002384266275194166,0.0002867443178212697,0.6610824660140073,3.758962159027258
parity,R5-11,1,B35_H2S,all,79,0.0002384266275194166,0.0002867443178212697,0.6610824660140073,3.758962159027258
parity,R5-11,1,B35_SO2,unknown,79,0.0008059925860242351,0.0009609860129957228,0.4548466163003423,12.725532068362766
parity,R5-11,1,B35_SO2,all,79,0.0008059925860242351,0.0009609860129957228,0.4548466163003423,12.725532068362766
parity,R5-12,1,B35_H2S,unknown,109,0.0017478633115583099,0.0022462967365139007,-2.1431420777040477,10.595271066236075
parity,R5-12,1,B35_H2S,all,109,0.0017478633115583099,0.0022462967365139007,-2.1431420777040477,10.595271066236075
parity,R5-12,1,B35_SO2,unknown,109,0.0011011861209983854,0.0015602161897981333,0.3843506647862076,36.02512339991865
parity,R5-12,1,B35_SO2,all,109,0.0011011861209983854,0.0015602161897981333,0.3843506647862076,36.02512339991865
parity,R5,18,B35_H2S,train,1117,0.00043308259356601546,0.0005620493367346007,0.881160965632568,4.937894847501116
parity,R5,18,B35_H2S,valid,109,0.00039755268784570327,0.0005277736352530161,0.8454730783890586,4.661446572965794
parity,R5,18,B35_H2S,test,109,0.0004484046966496839,0.0005124871941021614,0.44511859192407266,5.894907031361832
parity,R5,18,B35_H2S,all,1335,0.00043143266810729316,0.0005554289094167909,0.8762963078843333,4.99346148878686
parity,R5,18,B35_SO2,train,1117,0.00017688444755385233,0.0002294298697709062,0.9637332618441408,14.752674873417785
parity,R5,18,B35_SO2,valid,109,0.00016702884303268844,0.00022186545636394874,0.9636024581482209,14.366738050028452
parity,R5,18,B35_SO2,test,109,0.0003828643701713464,0.00044835761560385004,-1.072093520719192,16.654103384563737
parity,R5,18,B35_SO2,all,1335,0.00019289759412501338,0.00025391886031024004,0.952872646935691,14.876411647923755
parity,R5-1,18,B35_H2S,train,1117,0.0004346449435814523,0.0005511792856721181,0.9456049704890654,4.693260119159081
parity,R5-1,18,B35_H2S,valid,109,0.0005100120442591546,0.000604372019686842,-0.5701153831264145,5.891533007697214
parity,R5-1,18,B35_H2S,test,109,0.0008192336508793244,0.0009644207512796924,0.8766386064420302,8.363119538319328
parity,R5-1,18,B35_H2S,all,1335,0.00047219938782814706,0.0005999617281268798,0.9333953488796755,5.0907330940947535
parity,R5-1,18,B35_SO2,train,1117,0.0002765848308256682,0.00042962707617449073,0.9353741606044963,13.487949086909309
parity,R5-1,18,B35_SO2,valid,109,0.0002632166250141445,0.00031987297958254086,0.754909669896834,12.91560224225297
parity,R5-1,18,B35_SO2,test,109,0.0001636697790564501,0.00022446105093975425,0.8291201496160279,12.884061946334915
parity,R5-1,18,B35_SO2,all,1335,0.00026627406297825195,0.0004085414627709732,0.9352174085045477,13.391912004969123
parity,R5-2,18,B35_H2S,train,1117,0.0003997213907678723,0.0005526502005908416,0.8771502670937548,4.338711620538108
parity,R5-2,18,B35_H2S,valid,109,0.0005316117269223128,0.0006600735760269456,0.5810684710607891,5.5273857804375
parity,R5-2,18,B35_H2S,test,109,0.0004727389199634351,0.0005983795611598086,0.471579230115334,5.405088982674858
parity,R5-2,18,B35_H2S,all,1335,0.00041645169587884633,0.000566000467376599,0.8592752923278798,4.522831932075141
