Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.0020549994607126486,0.002523087052257455,-2.965465996333369,12.446192057390217
1,t+1,B35_SO2,0.0009213005173266283,0.0013479077053370806,0.5405014274373257,26.004558553200603
2,t+2,B35_H2S,0.0021211792722291736,0.002579553152670544,-3.267881626785095,12.855751451711791
2,t+2,B35_SO2,0.0009059911291478876,0.0013321217375939101,0.5519243728921766,25.479543074740583
3,t+3,B35_H2S,0.0021837213942449106,0.002640151066381944,-3.554065924688995,13.238860325170732
3,t+3,B35_SO2,0.000882711174074841,0.001311079773202193,0.5662650183374919,24.55298210399601
4,t+4,B35_H2S,0.0022379850078853574,0.002695368207906134,-3.7940926852253707,13.569278322783177
4,t+4,B35_SO2,0.000857522596047965,0.0012871331911866847,0.5816659128160317,23.64949192508638
5,t+5,B35_H2S,0.002282793670004793,0.00274382019220978,-3.998269863266758,13.838109023545769
5,t+5,B35_SO2,0.0008280967621421161,0.0012587020899214611,0.5991087597334994,22.70348531322739
6,t+6,B35_H2S,0.002318981250780344,0.002783598937037482,-4.11509703302684,14.065190004842165
6,t+6,B35_SO2,0.0007970548992781999,0.001227618375009633,0.6168624686311661,21.780874429611124
7,t+7,B35_H2S,0.0023445664250224133,0.00281316381640077,-4.196717829058394,14.22634305701205
7,t+7,B35_SO2,0.0007714616690723456,0.001202808904513431,0.6296707074118227,21.035704887835983
8,t+8,B35_H2S,0.0023609769283784976,0.0028332892776009437,-4.232675614635807,14.333661126404982
8,t+8,B35_SO2,0.0007479253302178487,0.001181613961912719,0.639169896338801,20.354991460181658
9,t+9,B35_H2S,0.002369063156490132,0.0028454476705968416,-4.24402630535141,14.390820086900103
9,t+9,B35_SO2,0.0007252676113978556,0.0011611136815055368,0.6471343391307213,19.79565721942607
10,t+10,B35_H2S,0.0023685333651075244,0.0028496583411882883,-4.225968185211387,14.397931121299745
10,t+10,B35_SO2,0.0007023432626115713,0.0011393033650753345,0.6547838874398046,19.29905288788846
11,t+11,B35_H2S,0.002362527831888425,0.0028477564670683557,-4.2068141234756675,14.373443314017356
11,t+11,B35_SO2,0.0006790811547230389,0.0011164021676120198,0.66195462787137,18.818542379668948
12,t+12,B35_H2S,0.0023528285687808414,0.002841566781360342,-4.2008862412606245,14.329238924177362
12,t+12,B35_SO2,0.0006546545776191765,0.0010908490713771926,0.6695034366351519,18.331585164707057
13,t+13,B35_H2S,0.0023392098037975035,0.0028303100534583445,-4.230418717373271,14.265106266780373
13,t+13,B35_SO2,0.0006274778459112788,0.0010599696748461347,0.6789758843281637,17.785920769096123
14,t+14,B35_H2S,0.002323475228461038,0.002812135891012797,-4.276694370860333,14.196141959514993
14,t+14,B35_SO2,0.0005993322431626293,0.001027197390345472,0.6885404548837687,17.207030415592243
15,t+15,B35_H2S,0.0023058297856996027,0.002790263929468164,-4.309323265856835,14.116063645526244
15,t+15,B35_SO2,0.0005718427473693623,0.000994244968594001,0.6975437886770912,16.66109823568359
16,t+16,B35_H2S,0.002289836385971647,0.0027696723517701177,-4.3823226885691975,14.050834544864582
16,t+16,B35_SO2,0.000542926810382163,0.000957193266755764,0.708086558183064,16.081945082950995
17,t+17,B35_H2S,0.002280060090596434,0.002751997157983201,-4.458866195732533,14.028871781780495
17,t+17,B35_SO2,0.0005153328072330405,0.0009221651921984015,0.7173319898051982,15.507451087096772
18,t+18,B35_H2S,0.002283585184866803,0.0027411504520228496,-4.5545232811427905,14.100312747666408
18,t+18,B35_SO2,0.0004886503099082422,0.0008877974789474274,0.7265153831005118,14.914643819250816
