Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.0003183164232747525,0.00039516098327754866,0.9455669582968833,3.8975558419666942
1,t+1,B35_SO2,0.0001465103552944573,0.00020011372118348798,0.9703729533937582,9.017663104279988
2,t+2,B35_H2S,0.0003496385835832817,0.0004344764033563427,0.9341959862019324,4.276582562367725
2,t+2,B35_SO2,0.000154698306762743,0.00021079957760879918,0.9671401197960265,9.562331754840452
3,t+3,B35_H2S,0.0003592756713486144,0.00044670296573071344,0.930438242245669,4.392834179029868
3,t+3,B35_SO2,0.00015854109140032142,0.0002150061841991117,0.9658327093746688,9.815447810894003
4,t+4,B35_H2S,0.00036663539316866297,0.0004559030705861487,0.927539479938186,4.481255680732503
4,t+4,B35_SO2,0.00016206989051728918,0.0002191949476856255,0.9645068945523512,10.024384435846345
5,t+5,B35_H2S,0.00037354582285673303,0.0004645914679027362,0.9247448389221058,4.5646917765194805
5,t+5,B35_SO2,0.00016557987588595327,0.00022389675783912106,0.9629874804379074,10.230527045498675
6,t+6,B35_H2S,0.00038005724524278707,0.00047279019189845286,0.9220601883461528,4.643065719546732
6,t+6,B35_SO2,0.00016900099356610682,0.00022826727898576905,0.96154844119073,10.436343583402227
7,t+7,B35_H2S,0.000385944926203558,0.00047995115281662865,0.919678280128478,4.714261449769067
7,t+7,B35_SO2,0.00017176808198193558,0.00023223355743420436,0.9602208530260633,10.612959041931004
8,t+8,B35_H2S,0.00039139798964985906,0.0004863008657919058,0.917535961046771,4.780378002858819
8,t+8,B35_SO2,0.00017386375478602078,0.00023529558753512586,0.9591859711419367,10.75257874271006
9,t+9,B35_H2S,0.0003963202864022373,0.0004918380542136512,0.9156475832775045,4.840797076838255
9,t+9,B35_SO2,0.00017536020180077227,0.0002375318234526494,0.95842879942591,10.858127597333397
10,t+10,B35_H2S,0.0004008595177159233,0.0004971824263705307,0.9138097825783185,4.897787604027921
10,t+10,B35_SO2,0.00017672938478055918,0.00023959917869269563,0.957726138183433,10.955577453663986
11,t+11,B35_H2S,0.00040547082242812593,0.0005025059467192735,0.9119636012619056,4.95642055455802
11,t+11,B35_SO2,0.00017821459869106303,0.00024199371809143424,0.9569014915559679,11.056252789635177
12,t+12,B35_H2S,0.00040996748205405223,0.0005076479496916854,0.9101605803420851,5.014519356252547
12,t+12,B35_SO2,0.00017969436167568605,0.0002439717104725898,0.9562181442640127,11.155130615590632
13,t+13,B35_H2S,0.0004141198653061396,0.0005124444584003533,0.9084719127098031,5.068121709152288
13,t+13,B35_SO2,0.00018096453360462274,0.0002457075897906087,0.9556159441142105,11.242805714145627
14,t+14,B35_H2S,0.0004181298872511064,0.0005170465570845846,0.9068501382083114,5.1202313518506894
14,t+14,B35_SO2,0.00018214027121690258,0.0002473590151452996,0.9550390695605139,11.328126980295455
15,t+15,B35_H2S,0.0004221227775194724,0.0005215142050197831,0.9052640367445449,5.1722162288277795
15,t+15,B35_SO2,0.00018295762321268212,0.0002483405818817866,0.9547022118326051,11.40400350285809
16,t+16,B35_H2S,0.0004259859429148991,0.0005258737635879666,0.9037119235016746,5.222789435587327
16,t+16,B35_SO2,0.00018380730611392237,0.00024928505610713003,0.9543764674658796,11.481527716428397
17,t+17,B35_H2S,0.00042986237127080786,0.000530249268080841,0.9021380092267991,5.274346957135722
17,t+17,B35_SO2,0.00018480929074005494,0.0002504874885705583,0.953954392237687,11.566706579945976
18,t+18,B35_H2S,0.0004331388694013876,0.0005347406405760171,0.9004899905771954,5.320363793871706
18,t+18,B35_SO2,0.00018583144687671414,0.0002515951142683032,0.9535644620117845,11.649245311911875
