Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.0021192390916076986,0.002573338778076203,-3.124997496833255,12.899770832271829
1,t+1,B35_SO2,0.0005054365941058905,0.0008228211976752712,0.8287719945895543,12.630614045174351
2,t+2,B35_H2S,0.002206805472377361,0.002656539480490311,-3.52643149992905,13.439088805244259
2,t+2,B35_SO2,0.0005301770769044409,0.0008596775251119833,0.8133901186167789,12.995589405121027
3,t+3,B35_H2S,0.0022642124626424684,0.0027129921562836458,-3.8088234706803057,13.791086912461115
3,t+3,B35_SO2,0.0005204072021735212,0.0008454298017273557,0.8196478510970755,12.891107942223485
4,t+4,B35_H2S,0.0023138592886271544,0.0027606666540636398,-4.029191373823373,14.096685128635913
4,t+4,B35_SO2,0.0005026722439303247,0.0008173662395406267,0.8313021040744268,12.753484260711708
5,t+5,B35_H2S,0.0023608524887375787,0.0028047135326236356,-4.222583891100577,14.386871261930695
5,t+5,B35_SO2,0.0004810234836268606,0.000782993961663299,0.8448693951255941,12.64877845524787
6,t+6,B35_H2S,0.0023935391682496513,0.0028369522745063536,-4.313058677766306,14.59694897461093
6,t+6,B35_SO2,0.00045418112588664183,0.0007414936510215741,0.860220716641871,12.554133679893406
7,t+7,B35_H2S,0.002419325081114786,0.002864019278714029,-4.3863052847393105,14.763434033740062
7,t+7,B35_SO2,0.0004312842751855652,0.0007044336251027223,0.8729791680756241,12.57006164493184
8,t+8,B35_H2S,0.002433857475348536,0.0028810758033384477,-4.410673735154867,14.861054645987378
8,t+8,B35_SO2,0.0004123117304167652,0.0006705703665261452,0.8837908699497742,12.740352638086765
9,t+9,B35_H2S,0.0024477937393105934,0.002897050453925933,-4.4359539989674035,14.957884379814429
9,t+9,B35_SO2,0.0003938885279832405,0.000635635755399849,0.8942509316356813,13.029085630459141
10,t+10,B35_H2S,0.0024615947928676167,0.002913078413393824,-4.461167844208875,15.05844569716073
10,t+10,B35_SO2,0.0003749210730252219,0.0005981538311890371,0.9048435842906343,13.357717167881402
11,t+11,B35_H2S,0.002478190990963476,0.0029309608671105754,-4.5155194517582675,15.18035291195915
11,t+11,B35_SO2,0.00035538616799531874,0.0005578804315392474,0.9155857222413105,13.744393997427082
12,t+12,B35_H2S,0.0024931345365632575,0.002946056916455352,-4.590412910424066,15.296626018149734
12,t+12,B35_SO2,0.00033633464476633747,0.0005186108237658809,0.9252999713357151,14.21044512349971
13,t+13,B35_H2S,0.0025014545648901322,0.0029517614779975797,-4.688934725368441,15.376876366000403
13,t+13,B35_SO2,0.00031778752841782077,0.0004807382221510655,0.9339659273282964,14.678502020453177
14,t+14,B35_H2S,0.0025032334011584746,0.002947049221638978,-4.795142409197391,15.423828205510121
14,t+14,B35_SO2,0.0002999538258852683,0.0004406840003594765,0.9426744280468844,15.155338624528719
15,t+15,B35_H2S,0.0025073355604011568,0.0029432381752808093,-4.907441298354296,15.485513370132914
15,t+15,B35_SO2,0.000286844154497989,0.00041057817076218877,0.9484216535612959,15.78220786699111
16,t+16,B35_H2S,0.0025185636512231944,0.002942329268245655,-5.0742894643457035,15.60063992343886
16,t+16,B35_SO2,0.0002774715625198645,0.00038532822437563075,0.9526939740138501,16.71822871725658
17,t+17,B35_H2S,0.002547409344012138,0.0029548810212397907,-5.293416644893323,15.833447647981638
17,t+17,B35_SO2,0.0002805435990591609,0.00037615274531467433,0.9529686242783594,18.254416291135588
18,t+18,B35_H2S,0.0025933321097287645,0.0029791621613566633,-5.560989336219317,16.187076954627706
18,t+18,B35_SO2,0.0002997344996633089,0.00038243080301083655,0.9492529479295397,20.54176725972433
