plot_type,case,horizon,variable,split,n_samples,MAE,RMSE,R2,MAPE
parity,R5,1,B35_H2S,train,1117,0.0002809978109240429,0.0003658322935753599,0.949535972314353,3.2242716087285497
parity,R5,1,B35_H2S,valid,109,0.0003057286377445016,0.00037859411476736196,0.914790030758337,3.4777414954634542
parity,R5,1,B35_H2S,test,109,0.0002657162813667195,0.0003238983350761487,0.7735740240838415,3.531946960443827
parity,R5,1,B35_H2S,all,1335,0.00028176932658073334,0.00036365839374575474,0.9473691710582908,3.270087961530849
parity,R5,1,B35_SO2,train,1117,0.00011408223750358273,0.00015135712356909543,0.9840268602872844,8.341509219158278
parity,R5,1,B35_SO2,valid,109,7.356157081083815e-05,0.00010016605794181015,0.9885186850961073,9.534642191954203
parity,R5,1,B35_SO2,test,109,0.00018537335768707125,0.00022717586361360102,0.6057728086714009,7.836240123021254
parity,R5,1,B35_SO2,all,1335,0.0001165945816462727,0.00015556666889265561,0.9821351104050925,8.397671887739417
parity,R5-1,1,B35_H2S,train,1117,0.00026399137965443765,0.0003393549187277662,0.9789794060831576,2.811740346804309
parity,R5-1,1,B35_H2S,valid,109,0.0002266717348069774,0.00028554794984374937,0.7913095484700039,2.533029814896885
parity,R5-1,1,B35_H2S,test,109,0.0005295830412590648,0.0006555806610473058,0.9337915775694986,4.621960695996633
parity,R5-1,1,B35_H2S,all,1335,0.00028262931959940473,0.0003716245972183331,0.9741691304513997,2.9367849685901173
parity,R5-1,1,B35_SO2,train,1117,0.0001406926508762141,0.00020689805659909809,0.9849663049156299,7.593885268068378
parity,R5-1,1,B35_SO2,valid,109,0.0001520670408272725,0.00018039569098441947,0.8496373471679165,7.387823962454821
parity,R5-1,1,B35_SO2,test,109,7.191017420290473e-05,9.287913827677923e-05,0.9675591721053507,9.16270971210176
parity,R5-1,1,B35_SO2,all,1335,0.00013600539885170071,0.00019793434830336627,0.9848004677434572,7.705152071130373
parity,R5-2,1,B35_H2S,train,1117,0.00027306598751876605,0.00036322229628567147,0.9456576348238537,2.976847310591647
parity,R5-2,1,B35_H2S,valid,109,0.00036678982324988175,0.00045830057446654646,0.8809961321942321,3.8712483142368908
parity,R5-2,1,B35_H2S,test,109,0.0003410451641338281,0.00043614806778480037,0.6254255396586915,4.036468635907806
parity,R5-2,1,B35_H2S,all,1335,0.0002862687053807386,0.0003782426682100224,0.937668324600617,3.1363892086117167
parity,R5-2,1,B35_SO2,train,1117,0.00013385680704920076,0.0001837265048098535,0.9825648847930588,10.81855820057606
parity,R5-2,1,B35_SO2,valid,109,0.00010044818544169722,0.00012461973784401898,0.9684502868622162,17.892081332906212
parity,R5-2,1,B35_SO2,test,109,0.00016970939121008856,0.00020128468991505388,0.9317708642157158,12.188838416398271
