Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.0006526336739871058,0.0007351932483419755,0.11072978748398377,5.161283378046781
1,t+1,B35_SO2,0.00040520487284256135,0.0005326264459323999,0.8022519506654908,4.505522085742528
2,t+2,B35_H2S,0.000622323978209264,0.000709487091085146,0.22113104589542198,4.921585326577723
2,t+2,B35_SO2,0.00041879451819529625,0.0005304223297642108,0.7891906261763586,4.735521085947304
3,t+3,B35_H2S,0.0005958699942997498,0.0006869995530595207,0.30772922510578116,4.712022366085499
3,t+3,B35_SO2,0.0004290327531769981,0.0005352583200920376,0.768708776457228,4.869455727845476
4,t+4,B35_H2S,0.0005797988088919932,0.0006696489202824627,0.3832491347776037,4.582954971401032
4,t+4,B35_SO2,0.0004358948373849716,0.0005395558665419914,0.7465790289909733,4.941792871824786
5,t+5,B35_H2S,0.0005638749283638517,0.000654332804334078,0.45003890781221634,4.455629065133312
5,t+5,B35_SO2,0.0004413942817180871,0.0005446134198038424,0.7228252722171962,4.9879468560865465
6,t+6,B35_H2S,0.0005522131114641739,0.0006411609363064913,0.5120106522755344,4.360153204368832
6,t+6,B35_SO2,0.0004464064033564545,0.0005492504232860055,0.6989156946538375,5.030841059603142
7,t+7,B35_H2S,0.0005448352485910486,0.0006328803785404454,0.5575121581474258,4.293960570165471
7,t+7,B35_SO2,0.0004543794162417473,0.0005569050146109479,0.6729220194585301,5.119597803729122
8,t+8,B35_H2S,0.0005396333597151188,0.0006271577820860506,0.5905740299199549,4.245985694996868
8,t+8,B35_SO2,0.00045963547357922083,0.0005631415987759717,0.6506224475766922,5.17358020049081
9,t+9,B35_H2S,0.0005371921780010539,0.0006239307240195573,0.6138614342136284,4.218493371983199
9,t+9,B35_SO2,0.0004653379357095805,0.000569249853098309,0.6308641116042342,5.234839900831281
10,t+10,B35_H2S,0.0005299009075173555,0.000617561250010179,0.623769644646265,4.154510609034691
10,t+10,B35_SO2,0.0004722452333692459,0.0005755961511169941,0.6144604328737362,5.319919127807488
11,t+11,B35_H2S,0.0005216414468279837,0.0006101488849256107,0.6352169813362983,4.082026434462643
11,t+11,B35_SO2,0.0004764517588540508,0.0005799167849581321,0.6030128625642519,5.369006171469861
12,t+12,B35_H2S,0.0005152990017159675,0.0006034150163456813,0.6553577935749695,4.023094695869184
12,t+12,B35_SO2,0.0004782683225217029,0.0005826213696507366,0.5943185621317508,5.3850755331421905
13,t+13,B35_H2S,0.0005092022623146898,0.0005968330127162573,0.6687335644172583,3.9649193177805095
13,t+13,B35_SO2,0.0004795991434121515,0.0005847201882759942,0.5877754882762989,5.394909726133361
14,t+14,B35_H2S,0.0005013755733601091,0.0005894829590284219,0.6740485882045995,3.8968181873105316
14,t+14,B35_SO2,0.0004820996902294142,0.0005880266104875156,0.5824711296799068,5.421235252613625
15,t+15,B35_H2S,0.0004962915780674851,0.0005839348618570857,0.67790660418791,3.8498825013494478
15,t+15,B35_SO2,0.0004801327731020781,0.0005878411049799106,0.5832627882229965,5.390176403524429
16,t+16,B35_H2S,0.00048615893321329656,0.0005748214943586171,0.6913763609370329,3.7650684664256326
16,t+16,B35_SO2,0.00048157566852389513,0.0005905802518935818,0.5802440888140539,5.402866755608553
17,t+17,B35_H2S,0.0004760581039646855,0.0005644298255339246,0.7022011445407326,3.679740929583065
17,t+17,B35_SO2,0.00048344321643220816,0.0005932554226413268,0.5779758373523238,5.421664195875972
18,t+18,B35_H2S,0.0004689539224770017,0.0005558386496116236,0.714408267659341,3.618240422594232
18,t+18,B35_SO2,0.0004804217060658503,0.0005941731166771384,0.5779511318520836,5.379972862876028
