Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.00040263517332046576,0.0005009161292364513,0.8503146118740628,2.9727018106175556
1,t+1,B35_SO2,0.0002598697459611782,0.00033895628182205746,0.9439807208417565,5.0237961922575884
2,t+2,B35_H2S,0.0003999181742919388,0.0004999433127976838,0.850897383805222,2.951943101877634
2,t+2,B35_SO2,0.0002628707064305841,0.0003423009660008951,0.9428600952781889,5.088445778449671
3,t+3,B35_H2S,0.0003990341294495273,0.0005004365961787022,0.8506402618871536,2.9451314504454946
3,t+3,B35_SO2,0.0002650249884040724,0.0003447858741910531,0.9420258381362265,5.133248276943747
4,t+4,B35_H2S,0.00039883220087423457,0.0005007904593233507,0.8505515855459076,2.9433764528612048
4,t+4,B35_SO2,0.00026711258104883704,0.00034716105516987335,0.9412302243883215,5.174805394629145
5,t+5,B35_H2S,0.00039875978955203697,0.0005009942172746662,0.8505224794810199,2.9425881143166173
5,t+5,B35_SO2,0.0002687017640157753,0.0003491621512059745,0.9405828076984128,5.2061194040703835
6,t+6,B35_H2S,0.00039927630373029656,0.0005020246620056032,0.8500882027150514,2.9453238007104363
6,t+6,B35_SO2,0.0002700037436344953,0.00035087429936900966,0.9400497129235903,5.231301299309304
7,t+7,B35_H2S,0.0003999647660638201,0.0005031614748463159,0.8496382686090977,2.949037880848914
7,t+7,B35_SO2,0.0002713020572287159,0.00035241462771952556,0.9395898787599767,5.25671139676179
8,t+8,B35_H2S,0.0004012642643262032,0.0005045951919900136,0.8490131123118183,2.9571294836040574
8,t+8,B35_SO2,0.0002724863231259044,0.00035372414240891504,0.9392299068617874,5.27980460052559
9,t+9,B35_H2S,0.0004024311330763133,0.0005061830734367417,0.8483727316645884,2.9640359514279893
9,t+9,B35_SO2,0.00027341128423481634,0.0003548048530165794,0.938961922356425,5.296016015977697
10,t+10,B35_H2S,0.0004038323983662808,0.0005079535431078063,0.847652816833274,2.9724789330339374
10,t+10,B35_SO2,0.00027453169551564833,0.00035601796583941634,0.9386594467240825,5.315223985485511
11,t+11,B35_H2S,0.00040540095532024906,0.0005097932058479864,0.8468249805001309,2.9821407975473067
11,t+11,B35_SO2,0.000275773153325998,0.0003572747188766947,0.9383492330653056,5.335949017676035
12,t+12,B35_H2S,0.0004070587422413478,0.0005118909411502966,0.8458001854721087,2.992493673045086
12,t+12,B35_SO2,0.0002771704871517221,0.00035881038491126203,0.937947029026112,5.360458994108802
13,t+13,B35_H2S,0.00040876665117562045,0.0005137910580135708,0.8448583101147291,3.0031190557542846
13,t+13,B35_SO2,0.00027848705414884904,0.000360333283199661,0.9375478161789315,5.384554708874282
14,t+14,B35_H2S,0.00041008439964660966,0.0005153399377799727,0.8439278616411358,3.011270838304746
14,t+14,B35_SO2,0.0002799622530715649,0.0003619768300911568,0.9371016712582236,5.412577192951979
15,t+15,B35_H2S,0.0004113313987407986,0.0005165250475404667,0.8430594045665465,3.0190719528796763
15,t+15,B35_SO2,0.0002818124040399021,0.0003638666620530357,0.93656598704644,5.449144792809537
16,t+16,B35_H2S,0.0004123790744506875,0.0005174677903323377,0.8423310626689555,3.025483258694829
16,t+16,B35_SO2,0.000283933566297855,0.00036615083888599575,0.9358796399136102,5.487567894901129
17,t+17,B35_H2S,0.0004131264896070274,0.0005182401977384851,0.8416287991387379,3.0298442821408376
17,t+17,B35_SO2,0.0002865782724810294,0.00036908189124404195,0.934953010634801,5.533164315820092
18,t+18,B35_H2S,0.00041390861890433235,0.000519045509874828,0.8408425140136624,3.0345742167696788
18,t+18,B35_SO2,0.0002897313472153093,0.0003725560499080689,0.9338202302910292,5.58937389490225
