Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.0005645931403990075,0.0007297392820279695,0.9498329753981319,2.6958714884530046
1,t+1,B35_SO2,0.0005083781321248033,0.0006394924831065065,0.9374457082878245,6.282644190554383
2,t+2,B35_H2S,0.0005423206523361447,0.0007026208944757677,0.9535506655614367,2.5908573041485616
2,t+2,B35_SO2,0.0005177745135248328,0.0006519445735111073,0.935069669334302,6.392019616318308
3,t+3,B35_H2S,0.0005392515940078555,0.0006992442357475605,0.9540572469862426,2.5765060723382116
3,t+3,B35_SO2,0.0005212114073290588,0.0006577313363067698,0.9340147542355884,6.4310635946148444
4,t+4,B35_H2S,0.000539023801952675,0.0006994163545829653,0.9540873305480972,2.5750735439397583
4,t+4,B35_SO2,0.0005244180940239057,0.0006623699286817877,0.9331842955184031,6.466006651514277
5,t+5,B35_H2S,0.0005403593349556786,0.000701428558811476,0.953891536215244,2.580796585559714
5,t+5,B35_SO2,0.0005265607701368703,0.0006658553512050036,0.9326006434740107,6.491668632817049
6,t+6,B35_H2S,0.0005434966577986086,0.0007053198071392447,0.9534462449253999,2.594555488780894
6,t+6,B35_SO2,0.0005290378304681828,0.0006693411537256273,0.9320241733843897,6.523547356781578
7,t+7,B35_H2S,0.0005470002523357579,0.0007094746851154607,0.9529627789378537,2.6098976795409015
7,t+7,B35_SO2,0.000531289460923799,0.0006727718689067924,0.9314585077599239,6.551931828908001
8,t+8,B35_H2S,0.0005511778135242878,0.0007140199837276749,0.9524341807754851,2.628208554582376
8,t+8,B35_SO2,0.000532574770748186,0.0006750010497624122,0.9311416482891115,6.566407443888268
9,t+9,B35_H2S,0.0005557006101275202,0.0007182511963753636,0.9519477698050268,2.6488622729602627
9,t+9,B35_SO2,0.0005344091233097336,0.0006778496145793621,0.9306951307025116,6.585418036051119
10,t+10,B35_H2S,0.0005612888604657445,0.0007230771467290954,0.9513999730419447,2.673880678426803
10,t+10,B35_SO2,0.0005358352702284743,0.0006798730407079534,0.9304265937408389,6.602277924973624
11,t+11,B35_H2S,0.0005661234227339932,0.0007275086484839449,0.9509088328137193,2.6948360319729114
11,t+11,B35_SO2,0.0005380217628855936,0.0006826695214492843,0.9300185130818327,6.626382615434044
12,t+12,B35_H2S,0.0005709063981179154,0.0007325847836410143,0.9502780200223772,2.7147489517641414
12,t+12,B35_SO2,0.0005404092324329256,0.0006853881268613133,0.9296326344918673,6.654100524177417
13,t+13,B35_H2S,0.0005762374276758794,0.0007382127938947498,0.9495402554772975,2.7361116495213538
13,t+13,B35_SO2,0.000542219549685456,0.0006877869911940357,0.9293155560944031,6.678501471354066
14,t+14,B35_H2S,0.0005821029367252727,0.0007450582124961305,0.9486328883233286,2.759779375444283
14,t+14,B35_SO2,0.0005445331111266791,0.000690619972672566,0.9289201723128493,6.708742072669177
15,t+15,B35_H2S,0.0005881498595030593,0.0007528066327376405,0.9475736683741502,2.783854784563201
15,t+15,B35_SO2,0.0005467734537130065,0.0006932307551831333,0.9285728181470997,6.739605436721825
16,t+16,B35_H2S,0.0005944380943880422,0.0007606771560708294,0.9464619630104111,2.8100703563351885
16,t+16,B35_SO2,0.0005495855253028803,0.0006961152816466563,0.9281688919108932,6.778857049455906
17,t+17,B35_H2S,0.0006023162788826483,0.0007705691462123314,0.9450496809992122,2.8430224161864217
17,t+17,B35_SO2,0.0005530660183223784,0.0006995677610844878,0.9276622638200186,6.826981100235137
18,t+18,B35_H2S,0.0006115043387757274,0.0007823269041589266,0.9433272371334611,2.8826320366729283
18,t+18,B35_SO2,0.0005579286943356271,0.0007043678048653107,0.9268963503118597,6.888884202561648
