epoch,target,mv,correct,total,kci_percent,ann_sign_avg,dynamic_positive_percent
1,B35_H2S,air2_SP,401.0,774.0,51.80878552971576,0.002583979328165375,8.656330749354005
1,B35_H2S,HEATER2_output_T_SP,944.0,1220.0,77.37704918032787,-0.6196721311475409,13.770491803278688
1,B35_SO2,air2_SP,94.0,1280.0,7.34375,1.0,7.34375
1,B35_SO2,HEATER2_output_T_SP,970.0,1168.0,83.04794520547945,-0.660958904109589,0.0
2,B35_H2S,air2_SP,471.0,846.0,55.673758865248224,-0.11583924349881797,0.1182033096926714
2,B35_H2S,HEATER2_output_T_SP,928.0,1208.0,76.82119205298014,-0.5364238410596026,0.0
2,B35_SO2,air2_SP,1209.0,1280.0,94.453125,1.0,94.453125
2,B35_SO2,HEATER2_output_T_SP,898.0,1122.0,80.03565062388591,-0.6007130124777184,0.0
3,B35_H2S,air2_SP,445.0,770.0,57.79220779220779,-0.17402597402597403,2.987012987012987
3,B35_H2S,HEATER2_output_T_SP,932.0,1220.0,76.39344262295081,-0.5278688524590164,0.0
3,B35_SO2,air2_SP,1243.0,1280.0,97.109375,1.0,97.109375
3,B35_SO2,HEATER2_output_T_SP,916.0,1166.0,78.55917667238423,-0.5711835334476844,0.0
4,B35_H2S,air2_SP,390.0,832.0,46.875,-0.038461538461538464,16.10576923076923
4,B35_H2S,HEATER2_output_T_SP,948.0,1216.0,77.96052631578948,-0.5592105263157895,0.0
4,B35_SO2,air2_SP,1275.0,1280.0,99.609375,1.0,99.609375
4,B35_SO2,HEATER2_output_T_SP,917.0,1138.0,80.57996485061511,-0.6098418277680141,0.08787346221441125
5,B35_H2S,air2_SP,452.0,826.0,54.72154963680387,-0.04600484261501211,9.685230024213075
5,B35_H2S,HEATER2_output_T_SP,942.0,1226.0,76.83523654159869,-0.5367047308319739,0.0
5,B35_SO2,air2_SP,1270.0,1280.0,99.21875,1.0,99.21875
5,B35_SO2,HEATER2_output_T_SP,965.0,1160.0,83.1896551724138,-0.6,3.189655172413793
6,B35_H2S,air2_SP,398.0,760.0,52.36842105263158,-0.03684210526315789,2.8947368421052633
6,B35_H2S,HEATER2_output_T_SP,970.0,1216.0,79.76973684210526,-0.5953947368421053,0.0
6,B35_SO2,air2_SP,1280.0,1280.0,100.0,1.0,100.0
6,B35_SO2,HEATER2_output_T_SP,990.0,1160.0,85.34482758620689,-0.6482758620689655,2.9310344827586206
7,B35_H2S,air2_SP,424.0,808.0,52.475247524752476,-0.04950495049504951,1.2376237623762376
7,B35_H2S,HEATER2_output_T_SP,958.0,1212.0,79.04290429042905,-0.5808580858085809,0.0
7,B35_SO2,air2_SP,1280.0,1280.0,100.0,1.0,100.0
7,B35_SO2,HEATER2_output_T_SP,982.0,1142.0,85.98949211908932,-0.6427320490367776,4.028021015761821
8,B35_H2S,air2_SP,451.0,810.0,55.67901234567901,-0.08148148148148149,2.5925925925925926
8,B35_H2S,HEATER2_output_T_SP,964.0,1226.0,78.62969004893964,-0.5725938009787929,0.0
8,B35_SO2,air2_SP,1280.0,1280.0,100.0,1.0,100.0
8,B35_SO2,HEATER2_output_T_SP,983.0,1142.0,86.077057793345,-0.6392294220665499,4.816112084063048
9,B35_H2S,air2_SP,476.0,824.0,57.76699029126213,-0.05339805825242718,5.339805825242719
