plot_type,case,horizon,variable,split,n_samples,MAE,RMSE,R2,MAPE
parity,R5_new,1,B35_H2S,train,1117,0.0005645931403990075,0.0007297392820279695,0.9498329753981319,2.6958714884530046
parity,R5_new,1,B35_H2S,valid,109,0.0003168430732306141,0.0003908829844681546,0.6293607279147493,1.5698570743447209
parity,R5_new,1,B35_H2S,test,109,0.0008967266961204218,0.0011154813369514819,0.8867197726357068,4.638045819833951
parity,R5_new,1,B35_H2S,all,1335,0.000571482878415696,0.0007480845938429179,0.9437811132997119,2.7625092644700233
parity,R5_new,1,B35_SO2,train,1117,0.0005083781321248033,0.0006394924831065065,0.9374457082878245,6.282644190554383
parity,R5_new,1,B35_SO2,valid,109,0.0003279215770646696,0.00037685518720659245,0.8967902107091874,3.938903657822437
parity,R5_new,1,B35_SO2,test,109,0.0006245862778838897,0.00085144651728931,0.6669277837022232,6.3389152041342784
parity,R5_new,1,B35_SO2,all,1335,0.0005031323818522834,0.0006426180008133407,0.9285415622505727,6.095877016331482
parity,R5-1_new,1,B35_H2S,train,1117,0.0004578006107225396,0.0005781745279492326,0.9424487468485719,3.005658679233036
parity,R5-1_new,1,B35_H2S,valid,109,0.0005668879974217997,0.0006395218807368926,0.04031328573193127,4.009206496329974
parity,R5-1_new,1,B35_H2S,test,109,0.0007445018591298767,0.0008719626693091918,0.09055077243083365,5.3192169159885285
parity,R5-1_new,1,B35_H2S,all,1335,0.0004901159374840521,0.0006125110709337003,0.92714346801235,3.276493555540088
parity,R5-1_new,1,B35_SO2,train,1117,0.0003409484606397301,0.0004346428153937577,0.9633792648916292,5.843492460308054
parity,R5-1_new,1,B35_SO2,valid,109,0.00035642199476224664,0.0004920486508011687,0.6479788066116436,6.55372862111531
parity,R5-1_new,1,B35_SO2,test,109,0.0003355804304335217,0.0004393607318417027,0.8426877506568073,11.778755786631717
parity,R5-1_new,1,B35_SO2,all,1335,0.00034177355421791556,0.00043999376857200597,0.9611699577033019,6.386083804201141
parity,R5-2_new,1,B35_H2S,train,1117,0.00044782811558507444,0.0005625414659881011,0.8517484565195839,3.1342582054521553
parity,R5-2_new,1,B35_H2S,valid,109,0.00031990451977601274,0.00038820967781946205,-0.30633356976051584,2.4341213135493907
parity,R5-2_new,1,B35_H2S,test,109,0.00032454598823404443,0.0004355129392491034,0.37264331735434797,2.352780758818885
parity,R5-2_new,1,B35_H2S,all,1335,0.00042731768575402575,0.000540896136891032,0.8485751060480835,3.013287446725244
parity,R5-2_new,1,B35_SO2,train,1117,0.00029020158717205265,0.0003682242340760046,0.958233584016978,6.319051308700817
parity,R5-2_new,1,B35_SO2,valid,109,0.00019265350098454285,0.00023911855837516983,0.4593525631791222,4.500846744922701
parity,R5-2_new,1,B35_SO2,test,109,0.0002432330879134837,0.000280382162398303,0.8871935969167217,5.622616204174499
parity,R5-2_new,1,B35_SO2,all,1335,0.0002784021056637211,0.0003528952698839084,0.9562460872975631,6.113736159753114
parity,R5-6_new,1,B35_H2S,train,1117,0.00040263517332046576,0.0005009161292364513,0.8503146118740628,2.9727018106175556
parity,R5-6_new,1,B35_H2S,valid,109,0.0003360459141058368,0.00043773425223384525,0.744114053207527,2.5253857731716325
parity,R5-6_new,1,B35_H2S,test,109,0.0006501752898158516,0.0008578474205274748,0.7339807501438864,4.168698102671092
parity,R5-6_new,1,B35_H2S,all,1335,0.00041740943807222784,0.0005344837001525842,0.8390856866742205,3.0338300111810237
parity,R5-6_new,1,B35_SO2,train,1117,0.0002598697459611782,0.00033895628182205746,0.9439807208417565,5.0237961922575884
