plot_type,case,variable,split,n_samples,MAE,RMSE,R2,MAPE
rolling_time_series,R5_new,B35_H2S,train,1134,0.0008709617382960911,0.0010747968733153983,0.8932215573637697,4.074236933017769
rolling_time_series,R5_new,B35_H2S,valid,126,0.0005003098542233018,0.0005952526748982324,0.15450821075933918,2.4546350813697533
rolling_time_series,R5_new,B35_H2S,test,126,0.000726063757549429,0.0009536624860782836,0.906249434709008,3.653454508319149
rolling_time_series,R5_new,B35_H2S,all,1386,0.00082409356876705,0.001029584768655594,0.8937089240885093,3.8887474533498922
rolling_time_series,R5_new,B35_SO2,train,1134,0.0006899462502155523,0.0008444927686929584,0.89375734066095,8.436906206696884
rolling_time_series,R5_new,B35_SO2,valid,126,0.00025830119247756574,0.0003385012658445763,0.9314465942487917,2.9757919138318276
rolling_time_series,R5_new,B35_SO2,test,126,0.0007110646133582282,0.0008648985536882177,0.8054320630752998,8.113871825574366
rolling_time_series,R5_new,B35_SO2,all,1386,0.0006526256416159787,0.0008135860541467375,0.8897753784752748,7.91107450906165
rolling_time_series,R5-1_new,B35_H2S,train,1134,0.0006282470073712428,0.0007710577790829172,0.8963849795209041,3.955508340621419
rolling_time_series,R5-1_new,B35_H2S,valid,126,0.0003262004311398348,0.0004065325232379889,0.7184990040549146,2.2323869215836862
rolling_time_series,R5-1_new,B35_H2S,test,126,0.0006635031104934823,0.0007859553915938595,0.44205746760623255,4.825885127382038
rolling_time_series,R5-1_new,B35_H2S,all,1386,0.000603993327997682,0.0007467362597685423,0.8902080876162705,3.8779861013235
rolling_time_series,R5-1_new,B35_SO2,train,1134,0.0005064266782011172,0.0006073830340644189,0.9277033337759184,8.320951031736431
rolling_time_series,R5-1_new,B35_SO2,valid,126,0.0004061127053892159,0.0005378063671877336,0.6824934209556817,6.859182930115602
rolling_time_series,R5-1_new,B35_SO2,test,126,0.000329161281532291,0.00038662653781843773,0.8914147703852855,9.732137875218543
rolling_time_series,R5-1_new,B35_SO2,all,1386,0.0004811921900665056,0.0005845700143895068,0.9297275260721588,8.316352735542003
rolling_time_series,R5-2_new,B35_H2S,train,1134,0.0004751852625561882,0.0006087510379846277,0.8244432516255561,3.2435312849914806
rolling_time_series,R5-2_new,B35_H2S,valid,126,0.0002658590547789157,0.0003859153912299672,0.4753915041747735,1.959093803319469
rolling_time_series,R5-2_new,B35_H2S,test,126,0.00039303867922706973,0.000499463023532579,0.4349283692371866,2.812675372291653
rolling_time_series,R5-2_new,B35_H2S,all,1386,0.0004486877360919708,0.0005825956368849152,0.8194435047994273,3.0875955218667683
rolling_time_series,R5-2_new,B35_SO2,train,1134,0.00035663430429697687,0.0004465375568306923,0.9377648713489858,7.5314359616085085
rolling_time_series,R5-2_new,B35_SO2,valid,126,0.0002489354787871855,0.00029275673584172525,0.1722213290805994,5.83191033033228
rolling_time_series,R5-2_new,B35_SO2,test,126,0.0003009248195086503,0.0003301764942577152,0.8279934880961836,6.866186033032319
rolling_time_series,R5-2_new,B35_SO2,all,1386,0.00034177900336078437,0.00042525768986515487,0.934433065024724,7.316456365258291
rolling_time_series,R5-6_new,B35_H2S,train,1134,0.0004391893448101871,0.0005599713371843045,0.8177029265003304,3.1825522788211575
rolling_time_series,R5-6_new,B35_H2S,valid,126,0.0003634743060724432,0.0004772559938386521,0.8600806273368814,2.638478370477419
rolling_time_series,R5-6_new,B35_H2S,test,126,0.0005804803457456419,0.00076983979520727,0.7889666850132655,3.7908924852102497
rolling_time_series,R5-6_new,B35_H2S,all,1386,0.00044515079591906986,0.0005754474685882989,0.8213696992382468,3.188394669552553
rolling_time_series,R5-6_new,B35_SO2,train,1134,0.0003085920774267783,0.00039628618140757736,0.9259552324076745,5.885844810708016
rolling_time_series,R5-6_new,B35_SO2,valid,126,0.0002680726771159675,0.00035345865866800904,0.5300612040883026,7.482531663867443
rolling_time_series,R5-6_new,B35_SO2,test,126,0.00020666813735125615,0.000241791416584276,0.6957215028539111,5.673665116967584
rolling_time_series,R5-6_new,B35_SO2,all,1386,0.00029564268284620264,0.00038100116328772693,0.9323999157646741,6.011709097927925
rolling_time_series,R5-13_air2_200_tr2_300_part1,B35_H2S,unknown,126,0.003798130867720827,0.00410107244315236,-2.088779129008087,19.05741701225378
