Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.0036519670542822487,0.003738185920138786,-5.610207944929678,16.751497872929363
1,t+1,B35_SO2,0.001624111827121857,0.0016706937287041858,-0.02518212342852033,23.338405598814045
2,t+2,B35_H2S,0.0038718463181038197,0.003953458551787502,-7.665793458907546,17.739922438376986
2,t+2,B35_SO2,0.0016830016250986334,0.0017259862844433396,-0.114532505702724,24.0984841269462
3,t+3,B35_H2S,0.003954091485836352,0.004027805855525058,-9.48931025909541,18.0970516900556
3,t+3,B35_SO2,0.001721136349811315,0.0017614434899413862,-0.18217961903254287,24.539645390644626
4,t+4,B35_H2S,0.004035164087641458,0.004101165353326722,-11.581936913415726,18.441272474055044
4,t+4,B35_SO2,0.0017608281449276596,0.0017991220726880951,-0.2533886360554769,24.983713055207165
5,t+5,B35_H2S,0.0041237874388926465,0.004184411002228427,-13.89151740934608,18.818136179812402
5,t+5,B35_SO2,0.0018026183428059264,0.0018398601843453552,-0.3289897127151069,25.4498637435079
6,t+6,B35_H2S,0.0042095385282783625,0.004261241696249012,-16.787708214081945,19.185779328904516
6,t+6,B35_SO2,0.0018411785029691392,0.0018773430796888786,-0.40112214267723334,25.872064429056035
7,t+7,B35_H2S,0.00428233738934247,0.004327346251184445,-20.27116259584337,19.490971286541395
7,t+7,B35_SO2,0.001872684933530206,0.0019082409901877363,-0.46324747603356564,26.187185345642668
8,t+8,B35_H2S,0.004342114705776513,0.0043825993432506,-22.877870206865314,19.736278464537644
8,t+8,B35_SO2,0.0019059205089479812,0.0019412201314709901,-0.5249561995098546,26.531793781193088
9,t+9,B35_H2S,0.0044009681264822725,0.004435824388763535,-26.26094151614184,19.981072367642312
9,t+9,B35_SO2,0.0019343565695131189,0.0019698276332274934,-0.5847555332847714,26.80388285454426
10,t+10,B35_H2S,0.004455871590012385,0.00448443111023872,-28.752710193736927,20.20800826121734
10,t+10,B35_SO2,0.0019621461779055333,0.0019976569065695876,-0.6430695648531757,27.070763828065452
11,t+11,B35_H2S,0.004517907674531046,0.004540998628602016,-30.59978715756768,20.464131407447937
11,t+11,B35_SO2,0.001992141296004628,0.0020278185173720786,-0.7051091803849869,27.36847508139806
12,t+12,B35_H2S,0.004571609738260042,0.004595474070866553,-31.280891525386714,20.68089990331577
12,t+12,B35_SO2,0.002023336902454585,0.0020590318107877076,-0.7690325366353146,27.69306778051594
13,t+13,B35_H2S,0.0046254149723093,0.004648867048965246,-31.82862807368329,20.90104560959462
13,t+13,B35_SO2,0.0020469445174577518,0.0020828966936963225,-0.8262736731161391,27.902479840035856
14,t+14,B35_H2S,0.0046802145281152705,0.004703171919708396,-31.62751533205426,21.128448110308458
14,t+14,B35_SO2,0.002064848465318857,0.002100994766834592,-0.8764702116364678,28.036794710168284
15,t+15,B35_H2S,0.004729912429199892,0.004753330834676872,-31.072803318392715,21.335412953302058
15,t+15,B35_SO2,0.0020787993966972554,0.0021153742826069423,-0.920797783862072,28.11916924779519
16,t+16,B35_H2S,0.004776030685502985,0.00480070748888783,-30.814008002082424,21.529066548625835
16,t+16,B35_SO2,0.0020885749326513938,0.002125488940347491,-0.9611301628200977,28.14726685533821
17,t+17,B35_H2S,0.004822782936148768,0.0048488035442341365,-30.164616258762273,21.721296997410235
17,t+17,B35_SO2,0.0020967549245874038,0.002133799978794168,-1.0030188486107892,28.148435884133733
18,t+18,B35_H2S,0.004870680395579716,0.004898232138254751,-29.795990184853732,21.92125464346576
18,t+18,B35_SO2,0.002107708858887862,0.0021448694669830523,-1.05571754206832,28.185071926030535
