Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.0003267222934626805,0.0004058283636056993,0.9017496356445766,2.432700390577486
1,t+1,B35_SO2,0.00022849307192951578,0.0002895177833242729,0.9591303769623786,4.498042366807796
2,t+2,B35_H2S,0.0003338387225458642,0.00041417273937673934,0.8976691085724573,2.485020293643743
2,t+2,B35_SO2,0.00023321906766716503,0.00029436964071588866,0.957741965050307,4.607326046642777
3,t+3,B35_H2S,0.00033737965472291505,0.0004185105895617058,0.8955404084656291,2.511198438957746
3,t+3,B35_SO2,0.0002358047768213618,0.00029742279046634975,0.9568596129253538,4.666048266887487
4,t+4,B35_H2S,0.00034005616041286267,0.0004217217993485878,0.8940181928436008,2.5308328773681965
4,t+4,B35_SO2,0.0002383146478594409,0.00030017414446238227,0.9560621708134679,4.725423574381074
5,t+5,B35_H2S,0.0003419001685239155,0.0004237511759085801,0.893061942261853,2.544957377547869
5,t+5,B35_SO2,0.00024006686219851545,0.00030220341506799535,0.9554901080166965,4.766379078306938
6,t+6,B35_H2S,0.00034351547781536477,0.00042576414822526266,0.892173903509375,2.557134125512054
6,t+6,B35_SO2,0.00024141506336662562,0.00030375342406949553,0.9550706107861834,4.799268673880083
7,t+7,B35_H2S,0.000344815659313509,0.0004273235079351133,0.8915483597407631,2.5669102274341937
7,t+7,B35_SO2,0.00024231733920509712,0.0003049763891209748,0.9547587817819793,4.82474014705293
8,t+8,B35_H2S,0.0003458306452919564,0.0004284218612549511,0.8911580624588668,2.5742540975774597
8,t+8,B35_SO2,0.00024298311771798537,0.0003059257278943159,0.9545438655042089,4.845258139466476
9,t+9,B35_H2S,0.0003466394145767656,0.0004293880591568281,0.890890642084949,2.5797939849250677
9,t+9,B35_SO2,0.00024352372837564503,0.0003066347230115822,0.9544105440885103,4.8643584218472595
10,t+10,B35_H2S,0.0003476016480828417,0.0004307580888142187,0.8904396720482997,2.5859136436210077
10,t+10,B35_SO2,0.0002439691981613612,0.000307226437474045,0.9543205327904299,4.883262681717865
11,t+11,B35_H2S,0.0003487144486035211,0.0004321352546227058,0.8899375299995206,2.5933943462873477
11,t+11,B35_SO2,0.000244276696406208,0.00030762069719634616,0.9542948629567789,4.897782316150861
12,t+12,B35_H2S,0.0003500906890449752,0.0004337183195892894,0.8893007964385075,2.602445276918303
12,t+12,B35_SO2,0.0002444837580930434,0.0003078290962209836,0.9543278027484413,4.908837498108384
13,t+13,B35_H2S,0.0003515450135839644,0.0004351853753255151,0.8886977307303954,2.612034635190106
13,t+13,B35_SO2,0.00024449147020697725,0.000307936305999441,0.9543899379503418,4.915167997451322
14,t+14,B35_H2S,0.00035268854485774663,0.0004365819708698117,0.8879867563757905,2.619578639647536
14,t+14,B35_SO2,0.00024443659375867634,0.00030805937330704116,0.954443912733028,4.920628613708789
15,t+15,B35_H2S,0.00035361883978384895,0.00043738636913260323,0.8874661927750079,2.6259559958608083
15,t+15,B35_SO2,0.0002444589007991826,0.0003082204253617314,0.9544843778009057,4.928499175021755
16,t+16,B35_H2S,0.0003544197627660234,0.00043807375563535564,0.8870011645482275,2.63155355982244
16,t+16,B35_SO2,0.0002442664239424085,0.0003083123120547358,0.9545370490631382,4.930036289816165
17,t+17,B35_H2S,0.00035510768111463167,0.0004388297443251467,0.886445034234331,2.636210829548149
17,t+17,B35_SO2,0.00024401877131827675,0.0003082176541921016,0.9546375244329719,4.9278197798966215
18,t+18,B35_H2S,0.0003555303962400567,0.00043942271413245805,0.88592743735822,2.639291732570977
18,t+18,B35_SO2,0.0002436881751983517,0.0003081707662519052,0.9547180743298015,4.925590082751448
