Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.0004015354101859431,0.0005191224178309048,0.974612352387975,1.939275622881399
1,t+1,B35_SO2,0.0003605127045110229,0.0004555880127379774,0.9682509452130341,4.394768235764368
2,t+2,B35_H2S,0.0004052820292015139,0.0005223191120489007,0.9743309847059272,1.9574131303310955
2,t+2,B35_SO2,0.00036521952527956904,0.00045890275241497355,0.9678287755975519,4.465141516518916
3,t+3,B35_H2S,0.0004081218078409119,0.0005249895757386126,0.9741023363536117,1.9716156775849445
3,t+3,B35_SO2,0.0003682096263338902,0.0004611211299895728,0.9675675454279522,4.506927905769252
4,t+4,B35_H2S,0.0004110984906829049,0.0005287433947131021,0.9737607820014682,1.9858732804320096
4,t+4,B35_SO2,0.00037184285544495423,0.00046481097699323584,0.9670974097850336,4.550163443089378
5,t+5,B35_H2S,0.00041275843476616415,0.0005320086003962435,0.9734752639729131,1.9942964430712602
5,t+5,B35_SO2,0.00037524406712598104,0.0004684542833772751,0.9666396659876243,4.589766614327282
6,t+6,B35_H2S,0.00041534950851836964,0.0005352913953934985,0.9731859088201018,2.0063710634769647
6,t+6,B35_SO2,0.00037766982127877,0.0004714477550242695,0.9662769702523517,4.616418645613574
7,t+7,B35_H2S,0.00041696917624822944,0.0005379599528893733,0.9729561983620779,2.013465132731017
7,t+7,B35_SO2,0.00037982031747889593,0.0004743363422619167,0.9659285427778175,4.639528783884829
8,t+8,B35_H2S,0.0004183682674139473,0.0005397485355126821,0.9728195155782483,2.019146575978922
8,t+8,B35_SO2,0.0003818712771332942,0.00047724340804758414,0.9655786734909352,4.660045469420492
9,t+9,B35_H2S,0.00041949040318379837,0.0005412264460720582,0.9727153208121334,2.0235627943800587
9,t+9,B35_SO2,0.0003839065787367406,0.0004798872829226789,0.9652643424632362,4.679127362341666
10,t+10,B35_H2S,0.0004203322546316607,0.0005419481293572845,0.9726987405581612,2.0264979268916266
10,t+10,B35_SO2,0.00038518963828896305,0.0004819057419510751,0.9650447970435014,4.69233216405954
11,t+11,B35_H2S,0.0004206209256701018,0.0005424326876439507,0.9727090444251596,2.0267634676277857
11,t+11,B35_SO2,0.00038736497754824094,0.00048507835765551437,0.9646665588796679,4.714734262952137
12,t+12,B35_H2S,0.0004207407684003921,0.0005427103695696053,0.9727121784561445,2.0267045139126654
12,t+12,B35_SO2,0.00038865256445833664,0.0004871987430730994,0.9644441998434401,4.726117704045407
13,t+13,B35_H2S,0.00042065407054188924,0.0005424380626297918,0.972755287810379,2.0256829405279206
13,t+13,B35_SO2,0.0003897854105146004,0.000488746099937823,0.9643070420179107,4.737088532276975
14,t+14,B35_H2S,0.00042124984496832833,0.000542231162743279,0.9727934369910296,2.027561672397802
14,t+14,B35_SO2,0.0003906781124931671,0.0004906930515535656,0.9641170686011132,4.742480097007739
15,t+15,B35_H2S,0.0004213286975749752,0.0005424772129785784,0.9727763973724946,2.027312102163923
15,t+15,B35_SO2,0.00039107270036666485,0.0004920036036362317,0.9640213851745004,4.742443669909634
16,t+16,B35_H2S,0.00042205799952794954,0.0005430881957997713,0.9727100699876757,2.030110098320984
16,t+16,B35_SO2,0.00039104995305357034,0.0004925531381400971,0.9640369587499105,4.737592343903666
17,t+17,B35_H2S,0.00042226728321148073,0.0005429582245075005,0.9727177729769564,2.0307502392879586
17,t+17,B35_SO2,0.000390570103121313,0.0004922573677366256,0.9641829519953143,4.729555136098772
18,t+18,B35_H2S,0.0004215328957816515,0.0005425905982546527,0.9727389623652273,2.027670965500895
18,t+18,B35_SO2,0.0003914709793734628,0.0004945399263877312,0.9639634849744898,4.734025537267693
