plot_type,case,variable,split,n_samples,MAE,RMSE,R2,MAPE
rolling_time_series,R5_new,B35_H2S,train,1134,0.00043092322079161274,0.0005621399448372199,0.9707907983394226,2.0794381528200634
rolling_time_series,R5_new,B35_H2S,valid,126,0.00029828488963039047,0.00037001369669488655,0.6733051531753731,1.4693695059886027
rolling_time_series,R5_new,B35_H2S,test,126,0.0007117158008688485,0.0009110360586722744,0.9144429838671828,3.6321494243867867
rolling_time_series,R5_new,B35_H2S,all,1386,0.00044439178887488673,0.0005885968441345957,0.9652617094458239,2.1651329368869052
rolling_time_series,R5_new,B35_SO2,train,1134,0.0003993412706324273,0.0005010370128318385,0.9626021460184138,4.779462395686866
rolling_time_series,R5_new,B35_SO2,valid,126,0.0004894641241447959,0.0005587179299979243,0.8132357884812045,6.329820441083774
rolling_time_series,R5_new,B35_SO2,test,126,0.0005293534413825013,0.0006921038150545494,0.875409933227125,5.783702358065888
rolling_time_series,R5_new,B35_SO2,all,1386,0.00041935354556537664,0.0005266114843688928,0.9538201756215042,5.011698578211951
rolling_time_series,R5-1_new,B35_H2S,train,1134,0.0004198891493195325,0.0005337941705291566,0.9503411652794722,2.7373309157585535
rolling_time_series,R5-1_new,B35_H2S,valid,126,0.000265567150852422,0.00035754726537272786,0.7822509513947531,1.8259399689066296
rolling_time_series,R5-1_new,B35_H2S,test,126,0.0006054786273244669,0.0007396098621575294,0.5059179670341665,4.385832499120964
rolling_time_series,R5-1_new,B35_H2S,all,1386,0.0004227316474593347,0.0005426608470050305,0.9420180461175315,2.8043409736231433
rolling_time_series,R5-1_new,B35_SO2,train,1134,0.0003159197809482519,0.00041412214655246814,0.9663914426340915,5.085793951509243
rolling_time_series,R5-1_new,B35_SO2,valid,126,0.0003019200950523753,0.00038261379416878414,0.8392976986256796,5.235534881931379
rolling_time_series,R5-1_new,B35_SO2,test,126,0.00030159564676754397,0.0003638283756511891,0.9038430746557832,8.397040767400615
rolling_time_series,R5-1_new,B35_SO2,all,1386,0.00031334488821401694,0.00040701114266679486,0.9659337152492684,5.400429201174107
rolling_time_series,R5-2_new,B35_H2S,train,1134,0.00041909827037692795,0.0005387226028624131,0.8625108289326899,2.9496782944306648
rolling_time_series,R5-2_new,B35_H2S,valid,126,0.0002299913144148067,0.00030857916156447416,0.6645835874107291,1.6952874853816118
rolling_time_series,R5-2_new,B35_H2S,test,126,0.0003624363625506376,0.00046187199317851603,0.5167853669727582,2.6073453399450472
rolling_time_series,R5-2_new,B35_H2S,all,1386,0.00039675564639616326,0.0005152709104352255,0.8587625361257153,2.8045215886547856
rolling_time_series,R5-2_new,B35_SO2,train,1134,0.0002532430412598386,0.00032490267183329176,0.9670522187837595,5.329545223269349
rolling_time_series,R5-2_new,B35_SO2,valid,126,0.00020745512394552913,0.00023693739026800368,0.45778985311831466,4.8939737460036055
rolling_time_series,R5-2_new,B35_SO2,test,126,0.00020412705107885856,0.0002468875822328727,0.9038274617653417,4.879589003256494
rolling_time_series,R5-2_new,B35_SO2,all,1386,0.00024461541330572135,0.0003114699052509671,0.9648267326875353,5.249042705334929
rolling_time_series,R5-6_new,B35_H2S,train,1134,0.00036333445794553283,0.0004569707152280218,0.8785982798913466,2.675409056727668
rolling_time_series,R5-6_new,B35_H2S,valid,126,0.0004371668517138113,0.0005942814586986805,0.7830501131850596,3.0687563720281577
rolling_time_series,R5-6_new,B35_H2S,test,126,0.00034999153902647603,0.0004348342517608157,0.9326716768046406,2.385688392289068
rolling_time_series,R5-6_new,B35_H2S,all,1386,0.00036883350111364385,0.0004692015839159412,0.8812420476898086,2.684829661351476
rolling_time_series,R5-6_new,B35_SO2,train,1134,0.0002407274015342972,0.00030703360370023836,0.9555523978146115,4.87928862166126
rolling_time_series,R5-6_new,B35_SO2,valid,126,0.00029792778510077163,0.00040279276183595626,0.38972249063854913,8.570644103049553
rolling_time_series,R5-6_new,B35_SO2,test,126,0.0002201748365002129,0.0002523916937902084,0.6684571857479042,6.083472906614395
rolling_time_series,R5-6_new,B35_SO2,all,1386,0.00024405902140087812,0.00031252203999254533,0.9545162844578533,5.324337691328662
rolling_time_series,R5-13_air2_200_tr2_300_part1,B35_H2S,unknown,126,0.0032277219924150796,0.0034753056667915683,-1.2180840008937457,16.278824521034608
rolling_time_series,R5-13_air2_200_tr2_300_part1,B35_H2S,all,126,0.0032277219924150796,0.0034753056667915683,-1.2180840008937457,16.278824521034608
rolling_time_series,R5-13_air2_200_tr2_300_part1,B35_SO2,unknown,126,0.0013474930510593698,0.0014874306610701987,0.291589599646186,20.643646756390304
rolling_time_series,R5-13_air2_200_tr2_300_part1,B35_SO2,all,126,0.0013474930510593698,0.0014874306610701987,0.291589599646186,20.643646756390304
rolling_time_series,R5-13_air2_200_tr2_300_part2,B35_H2S,unknown,126,0.004668787842725294,0.004792807141544651,-9.427754160882616,21.157847422308578
rolling_time_series,R5-13_air2_200_tr2_300_part2,B35_H2S,all,126,0.004668787842725294,0.004792807141544651,-9.427754160882616,21.157847422308578
rolling_time_series,R5-13_air2_200_tr2_300_part2,B35_SO2,unknown,126,0.0020889483825997563,0.002156137804481634,-0.8084161898145839,28.796231341238936
rolling_time_series,R5-13_air2_200_tr2_300_part2,B35_SO2,all,126,0.0020889483825997563,0.002156137804481634,-0.8084161898145839,28.796231341238936
rolling_time_series,R5-13_air2_320_tr2_215_part1,B35_H2S,unknown,126,0.0007869277258071677,0.0009955940460829645,0.009863668232677592,6.256990648416087
rolling_time_series,R5-13_air2_320_tr2_215_part1,B35_H2S,all,126,0.0007869277258071677,0.0009955940460829645,0.009863668232677592,6.256990648416087
rolling_time_series,R5-13_air2_320_tr2_215_part1,B35_SO2,unknown,126,0.0005597696037658766,0.0006973279729747195,0.8321755880977584,6.040305607646523
rolling_time_series,R5-13_air2_320_tr2_215_part1,B35_SO2,all,126,0.0005597696037658766,0.0006973279729747195,0.8321755880977584,6.040305607646523
rolling_time_series,R5-13_air2_320_tr2_215_part2,B35_H2S,unknown,126,0.0006452648201223189,0.0008041829115985277,0.4964696041905301,5.028397635037861
rolling_time_series,R5-13_air2_320_tr2_215_part2,B35_H2S,all,126,0.0006452648201223189,0.0008041829115985277,0.4964696041905301,5.028397635037861
rolling_time_series,R5-13_air2_320_tr2_215_part2,B35_SO2,unknown,126,0.0004267559408866513,0.0005242481060755887,0.7993360153782041,5.1190112857765495
rolling_time_series,R5-13_air2_320_tr2_215_part2,B35_SO2,all,126,0.0004267559408866513,0.0005242481060755887,0.7993360153782041,5.1190112857765495
