Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.0002488612470800099,0.0003007183440046202,0.6272443466556603,3.9488131824440416
1,t+1,B35_SO2,0.0006163925402026554,0.0007209577436829498,0.6931654921492056,9.99828842021675
2,t+2,B35_H2S,0.00026891727881314957,0.00032296190912225006,0.5146706998782546,4.2859645617883935
2,t+2,B35_SO2,0.0006602494430259648,0.0007843339929238931,0.5991465168119223,10.458949783689347
3,t+3,B35_H2S,0.0002772341949585787,0.0003340645659908862,0.4132244900496084,4.430077252884575
3,t+3,B35_SO2,0.0007105098886250048,0.0008480099957326047,0.47933965208427953,11.10952673999785
4,t+4,B35_H2S,0.0002798657944447426,0.0003404165764880593,0.3076827814255638,4.482234511225715
4,t+4,B35_SO2,0.0007588228291182807,0.0009048477191846184,0.33744689115435234,11.765551414355977
5,t+5,B35_H2S,0.00028276381894487356,0.0003456929799111966,0.1929542652162035,4.539859144269402
5,t+5,B35_SO2,0.0007972526127180432,0.0009529215308173078,0.1730858985513778,12.274563572057481
6,t+6,B35_H2S,0.00028621561918732444,0.0003521938773778228,0.07158578258949255,4.602723151904771
6,t+6,B35_SO2,0.0008374159892300834,0.000999699623842815,-0.030476209382612085,12.811636173054444
7,t+7,B35_H2S,0.00029014207605985916,0.00035769684833264167,-0.060501049670304674,4.6730005030212105
7,t+7,B35_SO2,0.000879067735196509,0.0010461964158225956,-0.28233415679501594,13.384757395070116
8,t+8,B35_H2S,0.0002942709747505704,0.00036335430359479815,-0.2085609286369532,4.745393543517903
8,t+8,B35_SO2,0.000912962069158735,0.00108236165487991,-0.571082415307395,13.858646723253434
9,t+9,B35_H2S,0.0002965232417006193,0.0003676626816829832,-0.26966413546616996,4.78602221093009
9,t+9,B35_SO2,0.0009403101398529603,0.0011091550288033448,-0.9125780508172734,14.244908862982333
10,t+10,B35_H2S,0.000295527537356736,0.0003696380795354979,-0.24360412224372507,4.774996003775954
10,t+10,B35_SO2,0.0009607381110750704,0.0011270481233215525,-1.3232899047717441,14.512167710318558
11,t+11,B35_H2S,0.00029345247428088657,0.00036963803107041413,-0.18884529968264108,4.745176299948104
11,t+11,B35_SO2,0.0009752349227305872,0.0011343120412422231,-1.7998425039612167,14.718323575950205
12,t+12,B35_H2S,0.00029080899955957377,0.0003660044557545543,-0.11197459347146177,4.7097370614605065
12,t+12,B35_SO2,0.000990460271847646,0.0011434878665905679,-2.413308085426442,14.92312750996547
13,t+13,B35_H2S,0.00028991815195250127,0.00036558018824626423,-0.05024409755281045,4.695727315721471
13,t+13,B35_SO2,0.0010155032456837874,0.0011664476198451625,-3.312158456971927,15.262930830313612
14,t+14,B35_H2S,0.0002846987645795816,0.0003586128486684015,0.05589732912731049,4.617464769882622
14,t+14,B35_SO2,0.0010458986018621259,0.0011976890475977875,-4.520047982482269,15.690155736657237
15,t+15,B35_H2S,0.0002788947233604518,0.0003503494123860828,0.16781227703539647,4.527468872037865
15,t+15,B35_SO2,0.0010890348852705962,0.0012477140744931586,-6.259084658146552,16.307158451009766
16,t+16,B35_H2S,0.0002708395146247457,0.00033455906466367313,0.2970380085569744,4.398796561161068
16,t+16,B35_SO2,0.0011582563321492765,0.0013253640200318194,-8.868346896370463,17.305234229882508
17,t+17,B35_H2S,0.0002666156180093226,0.0003247698199415758,0.3920610997378521,4.329122187274703
17,t+17,B35_SO2,0.0012294718276984968,0.0014041948400595713,-12.306132113996748,18.337693685529718
18,t+18,B35_H2S,0.00026713873443711945,0.0003231551803715672,0.4485174077228661,4.329352703369285
18,t+18,B35_SO2,0.0012842786415878044,0.0014574713284807668,-15.948023624011874,19.16134594848477
