epoch,target,mv,correct,total,kci_percent,ann_sign_avg,dynamic_positive_percent
1,B35_H2S,air2_SP,462.0,794.0,58.186397984886646,-0.163727959697733,0.0
1,B35_H2S,HEATER2_output_T_SP,938.0,1212.0,77.39273927392739,-0.5478547854785478,0.0
1,B35_SO2,air2_SP,958.0,1280.0,74.84375,1.0,74.84375
1,B35_SO2,HEATER2_output_T_SP,305.0,1146.0,26.61431064572426,-0.5951134380453752,87.87085514834206
2,B35_H2S,air2_SP,417.0,772.0,54.015544041450774,-0.10362694300518134,6.606217616580311
2,B35_H2S,HEATER2_output_T_SP,976.0,1206.0,80.92868988391376,-0.6185737976782753,0.0
2,B35_SO2,air2_SP,1280.0,1280.0,100.0,1.0,100.0
2,B35_SO2,HEATER2_output_T_SP,653.0,1146.0,56.980802792321114,-0.6823734729493892,44.67713787085515
3,B35_H2S,air2_SP,420.0,822.0,51.09489051094891,-0.021897810218978103,0.0
3,B35_H2S,HEATER2_output_T_SP,952.0,1226.0,77.65089722675367,-0.5530179445350734,0.0
3,B35_SO2,air2_SP,1280.0,1280.0,100.0,1.0,100.0
3,B35_SO2,HEATER2_output_T_SP,237.0,1158.0,20.466321243523318,-0.616580310880829,98.70466321243524
4,B35_H2S,air2_SP,442.0,836.0,52.87081339712919,-0.05741626794258373,0.0
4,B35_H2S,HEATER2_output_T_SP,936.0,1184.0,79.05405405405405,-0.581081081081081,0.0
4,B35_SO2,air2_SP,1280.0,1280.0,100.0,1.0,100.0
4,B35_SO2,HEATER2_output_T_SP,202.0,1098.0,18.397085610200364,-0.6320582877959927,100.0
5,B35_H2S,air2_SP,444.0,836.0,53.110047846889955,-0.06220095693779904,0.0
5,B35_H2S,HEATER2_output_T_SP,928.0,1210.0,76.69421487603306,-0.5338842975206611,0.0
5,B35_SO2,air2_SP,1280.0,1280.0,100.0,1.0,100.0
5,B35_SO2,HEATER2_output_T_SP,224.0,1136.0,19.718309859154928,-0.6056338028169014,100.0
6,B35_H2S,air2_SP,450.0,832.0,54.08653846153846,-0.08173076923076923,0.0
6,B35_H2S,HEATER2_output_T_SP,951.0,1210.0,78.59504132231405,-0.5702479338842975,0.08264462809917356
6,B35_SO2,air2_SP,1280.0,1280.0,100.0,1.0,100.0
6,B35_SO2,HEATER2_output_T_SP,228.0,1158.0,19.689119170984455,-0.6062176165803109,100.0
7,B35_H2S,air2_SP,406.0,794.0,51.13350125944584,-0.022670025188916875,0.0
7,B35_H2S,HEATER2_output_T_SP,1012.0,1228.0,82.41042345276873,-0.5960912052117264,6.026058631921824
7,B35_SO2,air2_SP,1280.0,1280.0,100.0,1.0,100.0
7,B35_SO2,HEATER2_output_T_SP,196.0,1154.0,16.984402079722702,-0.6603119584055459,100.0
8,B35_H2S,air2_SP,420.0,814.0,51.597051597051596,-0.03194103194103194,0.0
8,B35_H2S,HEATER2_output_T_SP,1018.0,1220.0,83.44262295081967,-0.5737704918032787,8.19672131147541
8,B35_SO2,air2_SP,1280.0,1280.0,100.0,1.0,100.0
8,B35_SO2,HEATER2_output_T_SP,210.0,1146.0,18.32460732984293,-0.6335078534031413,100.0
