plot_type,case,horizon,variable,split,n_samples,MAE,RMSE,R2,MAPE
parity,R5,1,B35_H2S,train,1117,0.0003102573022050252,0.00039369381016318136,0.941556663243159,3.580675411624839
parity,R5,1,B35_H2S,valid,109,0.00031904072178191086,0.00039601252936668965,0.9067689565791266,3.6203722254216157
parity,R5,1,B35_H2S,test,109,0.0002595946801485785,0.0003120626051774225,0.7898195698293248,3.4753344748908352
parity,R5,1,B35_H2S,all,1335,0.00030683795159058917,0.00038786652583242817,0.9401288530093093,3.575315704208991
parity,R5,1,B35_SO2,train,1117,0.00013326667248301385,0.00017593081586233744,0.9784191576419533,10.509158112030613
parity,R5,1,B35_SO2,valid,109,0.00010392746898590477,0.0001335999161837621,0.9795749637785548,13.778538058084914
parity,R5,1,B35_SO2,test,109,0.00018963868411421607,0.00022044715630233265,0.6287801402184815,8.220133148015957
parity,R5,1,B35_SO2,all,1335,0.00013547384558160273,0.00017698176308432112,0.9768780601927022,10.589202076856322
parity,R5-1,1,B35_H2S,train,1117,0.00030375413520087366,0.00039263123090909767,0.9718611484200904,3.2843053489520053
parity,R5-1,1,B35_H2S,valid,109,0.00028328728131579316,0.00036031492697987804,0.6677163330963709,3.2537227852061648
parity,R5-1,1,B35_H2S,test,109,0.0006040926926884278,0.0006956116292437241,0.9254590986243739,5.991215691897529
parity,R5-1,1,B35_H2S,all,1335,0.0003266050832852704,0.00042319409635246247,0.9665027369085332,3.502821999088908
parity,R5-1,1,B35_SO2,train,1117,0.00020025777006195432,0.00029642878537204485,0.9691401604391428,10.286557765412768
parity,R5-1,1,B35_SO2,valid,109,0.00018625335297616226,0.0002286175008151882,0.7585058549490415,8.79938856403754
parity,R5-1,1,B35_SO2,test,109,0.0001284850899406568,0.00017150013813121688,0.8893925137156483,13.399708322397306
parity,R5-1,1,B35_SO2,all,1335,0.0001932542467693905,0.0002831785185357481,0.9688893916837319,10.419315793698473
parity,R5-2,1,B35_H2S,train,1117,0.00027992600184837145,0.00036123065455417647,0.9462519474275285,3.058570805287177
parity,R5-2,1,B35_H2S,valid,109,0.0003617897467340172,0.00044227841595821925,0.8891714210914268,3.902173264201505
parity,R5-2,1,B35_H2S,test,109,0.00033803557726446484,0.00042792423215347867,0.6394180218020891,3.998674471049017
parity,R5-2,1,B35_H2S,all,1335,0.0002913545351164535,0.0003743019790766916,0.9389603534491,3.2042067360659803
parity,R5-2,1,B35_SO2,train,1117,0.00017581597276285669,0.0002434303650834938,0.9693923000014422,13.20364537020971
parity,R5-2,1,B35_SO2,valid,109,0.00011008411222618891,0.00013672835975716156,0.9620213995988202,19.392007776595783
parity,R5-2,1,B35_SO2,test,109,0.00020106789848554603,0.00024182788565148473,0.9015170289234591,14.869418491895402
parity,R5-2,1,B35_SO2,all,1335,0.0001725108694709289,0.00023639566295433341,0.9689323170258994,13.844919357145905
parity,R5-6,1,B35_H2S,train,1232,0.00029019715129670397,0.00037211264782544803,0.9517315501448829,3.5265642445964036
parity,R5-6,1,B35_H2S,valid,123,0.0003465215513912005,0.0004434715840930049,0.6452244529127289,4.365941261606367
parity,R5-6,1,B35_H2S,test,123,0.00043812986288055563,0.0005477748943975621,0.8769695443941377,5.221988340440446
parity,R5-6,1,B35_H2S,all,1478,0.0003071955442171619,0.00039592772844629744,0.9415969583383054,3.7375118338257964
parity,R5-6,1,B35_SO2,train,1232,0.0001374980670741688,0.00018753197080313466,0.9739813199702424,9.302227261318949
parity,R5-6,1,B35_SO2,valid,123,0.00014278687920713415,0.00017222352760977425,0.8866321026971148,10.447219782354091
parity,R5-6,1,B35_SO2,test,123,0.00014112819389287162,0.00018117397787857298,0.9240482635186624,18.897509699665918
parity,R5-6,1,B35_SO2,all,1478,0.00013824030624267703,0.00018578167719666982,0.9722971408848561,10.19603904751922
parity,R5-11,1,B35_H2S,unknown,79,0.0002488612470800099,0.0003007183440046202,0.6272443466556603,3.9488131824440416
parity,R5-11,1,B35_H2S,all,79,0.0002488612470800099,0.0003007183440046202,0.6272443466556603,3.9488131824440416
parity,R5-11,1,B35_SO2,unknown,79,0.0006163925402026554,0.0007209577436829498,0.6931654921492056,9.99828842021675
parity,R5-11,1,B35_SO2,all,79,0.0006163925402026554,0.0007209577436829498,0.6931654921492056,9.99828842021675
parity,R5-12,1,B35_H2S,unknown,109,0.0015649479344595034,0.0020366851881488983,-1.583911116121795,9.45260429565289
parity,R5-12,1,B35_H2S,all,109,0.0015649479344595034,0.0020366851881488983,-1.583911116121795,9.45260429565289
parity,R5-12,1,B35_SO2,unknown,109,0.0010052965711849955,0.0014319932651588783,0.4813841262166092,32.6269539206365
parity,R5-12,1,B35_SO2,all,109,0.0010052965711849955,0.0014319932651588783,0.4813841262166092,32.6269539206365
parity,R5,18,B35_H2S,train,1117,0.0004433999922102093,0.000568934589070991,0.8782315126719292,5.083844672785692
parity,R5,18,B35_H2S,valid,109,0.0003604374073289009,0.0004493742426693397,0.8879723768577101,4.175224077277091
parity,R5,18,B35_H2S,test,109,0.000417933785518926,0.00047861360714810346,0.5160458469894704,5.509272080528067
parity,R5,18,B35_H2S,all,1335,0.0004345470047334958,0.0005531914814237332,0.8772909288982891,5.044392944346352
parity,R5,18,B35_SO2,train,1117,0.00017382310718149548,0.00022575212482962872,0.9648866493985628,14.742492613336488
parity,R5,18,B35_SO2,valid,109,0.00015684063555979245,0.00019976654955223988,0.9704921061870616,15.285360607175406
parity,R5,18,B35_SO2,test,109,0.00031099768561285965,0.00035786086399066487,-0.32004477732072223,13.701010328569371
parity,R5,18,B35_SO2,all,1335,0.00018363654511576745,0.00023739481692701666,0.9588067940469224,14.70178178359029
parity,R5-1,18,B35_H2S,train,1117,0.0004120832010077898,0.0005233503232390426,0.9509590996418291,4.443406083695564
parity,R5-1,18,B35_H2S,valid,109,0.00039084762570686105,0.0004923686133645483,-0.04208606868286213,4.533039876577746
parity,R5-1,18,B35_H2S,test,109,0.0007683185242102871,0.0008736031105931024,0.8987780924719575,7.881698027926854
parity,R5-1,18,B35_H2S,all,1335,0.0004394352403495658,0.0005579206642853464,0.9424026692523106,4.731453952868123
parity,R5-1,18,B35_SO2,train,1117,0.0002515119856384897,0.00036739023648368365,0.9527416961339352,12.653168100689955
parity,R5-1,18,B35_SO2,valid,109,0.00024310331828833923,0.0002987843539191565,0.7861610721160934,11.82220629299423
parity,R5-1,18,B35_SO2,test,109,0.00015891211213089134,0.0002151799750232816,0.842959171908529,12.824840323936007
parity,R5-1,18,B35_SO2,all,1335,0.0002432648463474825,0.0003521420287130952,0.9518693461231673,12.599338464206799
parity,R5-2,18,B35_H2S,train,1117,0.0003972160823501455,0.0005386356306389715,0.8833019203037579,4.281015463047755
parity,R5-2,18,B35_H2S,valid,109,0.0005829712024267078,0.0007231965180261445,0.4971123100973186,6.022829877565284
parity,R5-2,18,B35_H2S,test,109,0.000462115573748892,0.0005826273302945449,0.4990341940581099,5.271144638803651
parity,R5-2,18,B35_H2S,all,1335,0.0004176815150473804,0.000559616207391981,0.8624320253835371,4.504073029594425
parity,R5-2,18,B35_SO2,train,1117,0.00021853781904863088,0.00029359759722189584,0.9554560959978416,17.703736402174165
parity,R5-2,18,B35_SO2,valid,109,0.00013844872405372575,0.00016614963549488288,0.8845667180366099,27.332503013647624
parity,R5-2,18,B35_SO2,test,109,0.0002902363370275068,0.00038616385862979695,0.8867791811604027,17.237109839319086
parity,R5-2,18,B35_SO2,all,1335,0.00021785274571923226,0.00029419893533340775,0.9533466984130903,18.45180626382166
parity,R5-6,18,B35_H2S,train,1232,0.0003982965881635187,0.0005073828952257737,0.9104115489187893,4.807459866130018
parity,R5-6,18,B35_H2S,valid,123,0.00040642392362763753,0.0005601235675963088,-0.2975217109650157,5.320192175845341
parity,R5-6,18,B35_H2S,test,123,0.00063425425728497,0.0007774595736381473,0.7523464016854853,6.804315096407877
parity,R5-6,18,B35_H2S,all,1478,0.00041860948096732463,0.000539444936666917,0.8947298925173006,5.016309167496164
parity,R5-6,18,B35_SO2,train,1232,0.00016427444017465164,0.00022560100135069218,0.9626639713700872,11.910440129910011
parity,R5-6,18,B35_SO2,valid,123,0.0001830071201184102,0.00021938059305838656,0.8397027835890154,11.579380660072333
parity,R5-6,18,B35_SO2,test,123,0.00014603931824528084,0.00017943434763615848,0.8937379398694815,28.191983769599755
parity,R5-6,18,B35_SO2,all,1478,0.00016431584723538892,0.00022160620039989745,0.9613792591978965,13.23784848775291
parity,R5-11,18,B35_H2S,unknown,79,0.00026713873443711945,0.0003231551803715672,0.4485174077228661,4.329352703369285
parity,R5-11,18,B35_H2S,all,79,0.00026713873443711945,0.0003231551803715672,0.4485174077228661,4.329352703369285
parity,R5-11,18,B35_SO2,unknown,79,0.0012842786415878044,0.0014574713284807668,-15.948023624011874,19.16134594848477
parity,R5-11,18,B35_SO2,all,79,0.0012842786415878044,0.0014574713284807668,-15.948023624011874,19.16134594848477
parity,R5-12,18,B35_H2S,unknown,109,0.0015450274755797453,0.0019787322028822123,-1.8943769355398894,9.49389841745982
parity,R5-12,18,B35_H2S,all,109,0.0015450274755797453,0.0019787322028822123,-1.8943769355398894,9.49389841745982
parity,R5-12,18,B35_SO2,unknown,109,0.0006112459975435966,0.0010530204961473274,0.6152499039284377,19.972975782252234
parity,R5-12,18,B35_SO2,all,109,0.0006112459975435966,0.0010530204961473274,0.6152499039284377,19.972975782252234
