plot_type,case,variable,split,n_samples,MAE,RMSE,R2,MAPE
rolling_time_series,R5,B35_H2S,train,1134,0.0004490224186794756,0.0005754471781596381,0.8737407922330761,5.190454812398819
rolling_time_series,R5,B35_H2S,valid,126,0.00035206713418520295,0.0004339330644372705,0.8910249950383032,4.071085732549841
rolling_time_series,R5,B35_H2S,test,126,0.00037884804146664033,0.0004470585272078898,0.5327155657209173,5.006105537317797
rolling_time_series,R5,B35_H2S,all,1386,0.0004338288130697386,0.0005533710184634652,0.8748552997446988,5.071934961950637
rolling_time_series,R5,B35_SO2,train,1134,0.0001773771259585195,0.0002326839883740125,0.9622153754183174,14.674370808557768
rolling_time_series,R5,B35_SO2,valid,126,0.00013029842277184847,0.0001761655256264948,0.9760550653350829,13.154201931469064
rolling_time_series,R5,B35_SO2,test,126,0.00030617162161847864,0.0003521575395419636,-0.08103259214075864,13.22844445471471
rolling_time_series,R5,B35_SO2,all,1386,0.00018480583436518205,0.0002416469571853359,0.9569310914836963,14.40472578756397
rolling_time_series,R5-1,B35_H2S,train,1134,0.00041718731311435163,0.0005200702254201338,0.9509694812489333,4.534352724348267
rolling_time_series,R5-1,B35_H2S,valid,126,0.0003816498662984403,0.00047385861472762727,0.3686888265544619,4.354357720142739
rolling_time_series,R5-1,B35_H2S,test,126,0.0008238440285168538,0.0009284813922603096,0.8708474804653091,8.152565608715305
rolling_time_series,R5-1,B35_H2S,all,1386,0.00045092542844040536,0.0005657558931394487,0.939298758724233,4.846917986181131
rolling_time_series,R5-1,B35_SO2,train,1134,0.00026861876837013177,0.00038932190314368086,0.9461729714752932,13.275048286493119
rolling_time_series,R5-1,B35_SO2,valid,126,0.0002623374020381048,0.0003280131780948217,0.7094549411545141,12.191890992265689
rolling_time_series,R5-1,B35_SO2,test,126,0.00016747396617634833,0.00022418277071947328,0.8259003864934934,15.390188938087737
rolling_time_series,R5-1,B35_SO2,all,1386,0.0002588527530496036,0.0003719719513005937,0.9450779814005014,13.36886495534468
rolling_time_series,R5-2,B35_H2S,train,1134,0.00040430413490026703,0.0005343538113367618,0.8857052711623462,4.377098316229604
rolling_time_series,R5-2,B35_H2S,valid,126,0.0004942425101283071,0.0006185983222698518,0.7604646505001339,5.243350107949087
rolling_time_series,R5-2,B35_H2S,test,126,0.0005697045103982946,0.0006891571159254496,0.2026620193804407,6.5630620653189755
rolling_time_series,R5-2,B35_H2S,all,1386,0.0004275167486026368,0.0005581957440928334,0.8645786425048608,4.654572456303137
rolling_time_series,R5-2,B35_SO2,train,1134,0.00022901170542520945,0.0002973918824518436,0.9536768219327146,16.88712953446937
rolling_time_series,R5-2,B35_SO2,valid,126,0.00011766340893764815,0.000143743791965747,0.9558988546414303,17.69384795636023
rolling_time_series,R5-2,B35_SO2,test,126,0.00025417272717072456,0.0002953313673234855,0.9259291604652033,17.192673740474163
rolling_time_series,R5-2,B35_SO2,all,1386,0.00022117649863047796,0.0002866515591490052,0.9542049605845876,16.98824431882352
rolling_time_series,R5-6,B35_H2S,train,1249,0.00041457023525670866,0.0005253783193595781,0.9028356772513122,5.044176371084957
rolling_time_series,R5-6,B35_H2S,valid,140,0.0004609466524176073,0.0006235293128726226,0.2229908113063218,5.827010730302986
rolling_time_series,R5-6,B35_H2S,test,140,0.0006441219368774902,0.0007837614601457555,0.77593881569379,7.380669497616767
rolling_time_series,R5-6,B35_H2S,all,1529,0.0004398350728168363,0.0005633113968792731,0.8827520546065402,5.329791706601619
rolling_time_series,R5-6,B35_SO2,train,1249,0.00017861044367713848,0.00024534491048876683,0.9552637669492154,13.17093972627793
rolling_time_series,R5-6,B35_SO2,valid,140,0.00019306470806045985,0.0002299353277180866,0.8386177097703138,12.654009172429555
rolling_time_series,R5-6,B35_SO2,test,140,0.00014979619849668602,0.0001934782474274037,0.9097389030881051,22.020360035488004
rolling_time_series,R5-6,B35_SO2,all,1529,0.00017729559913063855,0.0002396654448975621,0.9535859997940371,13.933888428534724
rolling_time_series,R5-11,B35_H2S,unknown,96,0.0003662170965401182,0.0004265567467732611,0.34312257120989087,5.813462455028414
rolling_time_series,R5-11,B35_H2S,all,96,0.0003662170965401182,0.0004265567467732611,0.34312257120989087,5.813462455028414
rolling_time_series,R5-11,B35_SO2,unknown,96,0.0012075720006079064,0.0014775471100833327,-0.474108381604057,18.362735201385508
rolling_time_series,R5-11,B35_SO2,all,96,0.0012075720006079064,0.0014775471100833327,-0.474108381604057,18.362735201385508
rolling_time_series,R5-12,B35_H2S,unknown,126,0.0016703230172223158,0.002092818063667528,-1.964945780566024,10.21290326060836
rolling_time_series,R5-12,B35_H2S,all,126,0.0016703230172223158,0.002092818063667528,-1.964945780566024,10.21290326060836
rolling_time_series,R5-12,B35_SO2,unknown,126,0.0007247345095202759,0.0011985147655869405,0.5947724054821039,18.342868557836187
rolling_time_series,R5-12,B35_SO2,all,126,0.0007247345095202759,0.0011985147655869405,0.5947724054821039,18.342868557836187
