plot_type,case,variable,split,n_samples,MAE,RMSE,R2,MAPE
rolling_time_series,R5,B35_H2S,train,1134,0.00039822638546041283,0.0005029929242750358,0.9035336420939944,4.644821283477238
rolling_time_series,R5,B35_H2S,valid,126,0.00040934081138181846,0.000495969678252767,0.857638792494721,4.850258636551253
rolling_time_series,R5,B35_H2S,test,126,0.0003993799687321338,0.00048797599704073673,0.44326379007009087,5.233298949953488
rolling_time_series,R5,B35_H2S,all,1386,0.0003993416590234243,0.0005010102006102562,0.8974176182091133,4.716995376163626
rolling_time_series,R5,B35_SO2,train,1134,0.00022337477289523808,0.0003007013291984481,0.9368965928833358,14.351953322669864
rolling_time_series,R5,B35_SO2,valid,126,0.0001488447085843795,0.0002222689466287623,0.9618820627248715,11.180869370791749
rolling_time_series,R5,B35_SO2,test,126,0.0002213217963048079,0.0002516873082642778,0.447811397667238,9.089115487723797
rolling_time_series,R5,B35_SO2,all,1386,0.00021641267826784822,0.0002902258666205588,0.9378739935688466,13.585233160231299
rolling_time_series,R5-1,B35_H2S,train,1134,0.00037069341105871724,0.00048340417345000766,0.9576392834322028,3.923385108561734
rolling_time_series,R5-1,B35_H2S,valid,126,0.0003142912904724976,0.0003823586334348318,0.588956564836232,3.582823131119666
rolling_time_series,R5-1,B35_H2S,test,126,0.000845159677611684,0.0009669950627702304,0.8599106928431909,7.9515632462497186
rolling_time_series,R5-1,B35_H2S,all,1386,0.00040869924251023964,0.0005380430812561828,0.9450998537440132,4.258622941311362
rolling_time_series,R5-1,B35_SO2,train,1134,0.00024614400080911754,0.0003448050286375967,0.9577788642044505,12.902479969637994
rolling_time_series,R5-1,B35_SO2,valid,126,0.0004011587611209816,0.00048387634172208634,0.36773420572274895,18.751804996692144
rolling_time_series,R5-1,B35_SO2,test,126,0.00023590901566261175,0.0003297227615874491,0.6233905619891832,18.28800938659108
rolling_time_series,R5-1,B35_SO2,all,1386,0.00025930579855142283,0.0003583888167328845,0.9490158710773489,13.923830373638655
rolling_time_series,R5-2,B35_H2S,train,1134,0.00040043322118317004,0.0005451243483690938,0.8810513438373339,4.267488827729144
rolling_time_series,R5-2,B35_H2S,valid,126,0.000536567446208026,0.0006899433876912446,0.7020255330005076,5.607481276554101
rolling_time_series,R5-2,B35_H2S,test,126,0.0007005009769628268,0.0008104647530299344,-0.10274278919066648,8.144495951794088
rolling_time_series,R5-2,B35_H2S,all,1386,0.00044008794671085297,0.0005883196402997119,0.8495677971671796,4.741761516173682
rolling_time_series,R5-2,B35_SO2,train,1134,0.00022593153889078786,0.0002927858693379603,0.9551006191213013,15.202414594244724
rolling_time_series,R5-2,B35_SO2,valid,126,0.00013166275845046712,0.00016486752952416916,0.9419847811974859,18.839327617062228
rolling_time_series,R5-2,B35_SO2,test,126,0.0002508403229464941,0.00029972702907413433,0.9237078361619517,15.616596819550455
rolling_time_series,R5-2,B35_SO2,all,1386,0.00021962608467400473,0.0002842101785978558,0.9549817015960107,15.570695980437744
rolling_time_series,R5-6,B35_H2S,train,1249,0.0003996846045479236,0.0005000686611242071,0.911971802094299,4.894535304374688
rolling_time_series,R5-6,B35_H2S,valid,140,0.00048778353314813663,0.0006351044013427835,0.19387451807818334,6.1886455146304495
rolling_time_series,R5-6,B35_H2S,test,140,0.000518406929441215,0.000610527934458208,0.8640403937032671,6.070875689860408
rolling_time_series,R5-6,B35_H2S,all,1529,0.0004186218023825152,0.0005247254961093706,0.8982645058635575,5.120737451793791
rolling_time_series,R5-6,B35_SO2,train,1249,0.0002062644974739967,0.00027691933568394525,0.943008266391258,12.42924161546825
rolling_time_series,R5-6,B35_SO2,valid,140,0.00022570321267063607,0.0002968980632674568,0.7309337666600881,13.558627552809515
rolling_time_series,R5-6,B35_SO2,test,140,0.00019913827968755837,0.0002766760616977168,0.8154221904423643,20.40477335976155
rolling_time_series,R5-6,B35_SO2,all,1529,0.00020739186806747486,0.0002787860822663941,0.9371970080535439,13.262916223335381
rolling_time_series,R5-11,B35_H2S,unknown,96,0.0003957980306914176,0.00046169304364385074,0.2304490648289449,6.169711384850282
rolling_time_series,R5-11,B35_H2S,all,96,0.0003957980306914176,0.00046169304364385074,0.2304490648289449,6.169711384850282
rolling_time_series,R5-11,B35_SO2,unknown,96,0.0011289757255605968,0.0012578148585898523,-0.06826791179949243,18.4433605813922
rolling_time_series,R5-11,B35_SO2,all,96,0.0011289757255605968,0.0012578148585898523,-0.06826791179949243,18.4433605813922
rolling_time_series,R5-12,B35_H2S,unknown,126,0.002635614707534533,0.002994971848620501,-5.07210530557239,16.338342178752065
rolling_time_series,R5-12,B35_H2S,all,126,0.002635614707534533,0.002994971848620501,-5.07210530557239,16.338342178752065
rolling_time_series,R5-12,B35_SO2,unknown,126,0.0005002627817623637,0.0006589858377795842,0.8774920150739787,25.429079126911734
rolling_time_series,R5-12,B35_SO2,all,126,0.0005002627817623637,0.0006589858377795842,0.8774920150739787,25.429079126911734
