Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.002066178265760273,0.0025344625902170843,-3.0013038390078215,12.515771406246301
1,t+1,B35_SO2,0.000915512573689355,0.0013447507874643305,0.5426512786997687,25.53623514208875
2,t+2,B35_H2S,0.002134280493018486,0.0025932783522380964,-3.313419254621464,12.93720243620784
2,t+2,B35_SO2,0.000898854265060961,0.0013271185438293246,0.5552838245365536,24.96359935052248
3,t+3,B35_H2S,0.002197934027417488,0.002654572515077274,-3.603953677281358,13.327532632906744
3,t+3,B35_SO2,0.0008746010655434948,0.0013048243776796829,0.5703939987022617,24.009135342616688
4,t+4,B35_H2S,0.0022534236252958655,0.0027106098309388794,-3.848464736310209,13.666075429603083
4,t+4,B35_SO2,0.0008483407259746915,0.0012796898403961217,0.5864902837136733,23.060816972768997
5,t+5,B35_H2S,0.0022998586141071264,0.0027601267141702697,-4.057855828715252,13.945648701279456
5,t+5,B35_SO2,0.000817774184111281,0.0012501267540518985,0.6045525681573507,22.06601870463522
6,t+6,B35_H2S,0.002336986849790085,0.0028006848407502428,-4.178083317033469,14.178881863668485
6,t+6,B35_SO2,0.0007861199775506479,0.0012184353184805123,0.6225730612517686,21.122623386510643
7,t+7,B35_H2S,0.0023636076012901936,0.0028310995685533243,-4.263193993906042,14.346736021548558
7,t+7,B35_SO2,0.0007599945178170048,0.0011930123903143833,0.6356785810465908,20.368183154531707
8,t+8,B35_H2S,0.0023808400639449127,0.0028519476028586,-4.301820999902313,14.45935117093291
8,t+8,B35_SO2,0.0007364949141169751,0.0011714697574361974,0.6453387846725483,19.742645238538152
9,t+9,B35_H2S,0.002389792231660018,0.0028647968111960107,-4.315587904763214,14.522160895607488
9,t+9,B35_SO2,0.0007138703350839395,0.001150836408225167,0.6533532777650564,19.21872982488015
10,t+10,B35_H2S,0.002390048385247979,0.0028696670244285566,-4.29961339218638,14.534454662431088
10,t+10,B35_SO2,0.0006909980285746321,0.0011290354300559113,0.6609783456808869,18.73728445339995
11,t+11,B35_H2S,0.0023850106670076903,0.002868532373441096,-4.283064242404059,14.516352259840435
11,t+11,B35_SO2,0.0006677532316718958,0.0011057434192483326,0.6683787290283678,18.27868834972107
12,t+12,B35_H2S,0.002376269592450105,0.002863070207115994,-4.279899011310545,14.47849164460494
12,t+12,B35_SO2,0.0006435325671721194,0.0010800538927032163,0.6760123405701217,17.813302074462918
13,t+13,B35_H2S,0.002363622321718387,0.0028526165426936635,-4.3131884779509155,14.420712787665646
13,t+13,B35_SO2,0.0006163510195540656,0.0010491748326343284,0.6854812754436955,17.271988459996056
14,t+14,B35_H2S,0.0023487254218879186,0.002835170299591361,-4.363491974493351,14.35726972366505
14,t+14,B35_SO2,0.0005882486206834679,0.0010166211626254972,0.6949211348233612,16.693417755529463
15,t+15,B35_H2S,0.0023320744119179233,0.002814330186997546,-4.401304943274896,14.28360951724405
15,t+15,B35_SO2,0.0005605407205926149,0.0009831215307330807,0.7042735848215773,16.158585800000246
16,t+16,B35_H2S,0.0023167866086242885,0.0027943566133808253,-4.4786883846859675,14.223176405950873
16,t+16,B35_SO2,0.0005323538556190093,0.000946339584211507,0.7146690801138542,15.631762843039615
17,t+17,B35_H2S,0.002308368951872036,0.002777498390759968,-4.560503508840868,14.21050131938929
17,t+17,B35_SO2,0.0005048615810438626,0.0009108929002760877,0.7242002646666312,15.084702066572284
18,t+18,B35_H2S,0.002313772974368657,0.0027677081658355513,-4.66267498315199,14.295056200152226
18,t+18,B35_SO2,0.00047859373155855975,0.0008758539985951392,0.7338242281383023,14.583686520093972
