Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.00031828548425421834,0.0003949437094349627,0.9456268003623305,3.8965401954537486
1,t+1,B35_SO2,0.00014682573433361974,0.00020094696342757087,0.9701257149532302,9.030431449514872
2,t+2,B35_H2S,0.00034957766129007105,0.0004341807380364014,0.9342855162415772,4.275111587006077
2,t+2,B35_SO2,0.00015496480970623688,0.0002115196020102961,0.9669152585963575,9.570943588327813
3,t+3,B35_H2S,0.00035918973954462936,0.00044636027446367783,0.930544930872822,4.391029923060947
3,t+3,B35_SO2,0.00015873689724118235,0.00021564282946945682,0.9656300673050322,9.820048893164458
4,t+4,B35_H2S,0.00036651854854659723,0.0004555170590514525,0.9276621321292093,4.479104218247456
4,t+4,B35_SO2,0.00016221894167709977,0.00021976811546153688,0.9643210316718142,10.025945954805318
5,t+5,B35_H2S,0.0003733821326812741,0.00046414945175408435,0.9248879675628268,4.561913483624543
5,t+5,B35_SO2,0.00016571159360847306,0.00022441904121860208,0.9628146010206168,10.2322867164136
6,t+6,B35_H2S,0.0003798104174255265,0.00047230075708926583,0.9222214722001549,4.6394238542392685
6,t+6,B35_SO2,0.00016910335139592886,0.0002287595883460191,0.9613824035890598,10.4368418436964
7,t+7,B35_H2S,0.0003856541508245029,0.00047942510144650816,0.9198542571820112,4.71005537828067
7,t+7,B35_SO2,0.0001718675345052227,0.00023271200340578929,0.9600567787397407,10.613519585844498
8,t+8,B35_H2S,0.0003911369591480165,0.00048574664327009334,0.9177238175258656,4.776283461252608
8,t+8,B35_SO2,0.00017398304028520698,0.0002357626391214756,0.9590237821608172,10.752079352012045
9,t+9,B35_H2S,0.00039604748126789913,0.0004912393064532892,0.915852834083472,4.836524858773142
9,t+9,B35_SO2,0.00017554750801125537,0.00023797718112530155,0.9582727663586137,10.857739263356873
10,t+10,B35_H2S,0.00040057390847172183,0.0004965552986398146,0.9140270798230105,4.893343135303641
10,t+10,B35_SO2,0.00017691595534601265,0.00024003052095752987,0.9575737927799357,10.95531628769471
11,t+11,B35_H2S,0.0004051462764533413,0.000501847944432956,0.9121940073904518,4.951513548214509
11,t+11,B35_SO2,0.00017837447031747629,0.00024241659515533692,0.9567507331395191,11.054841006434117
12,t+12,B35_H2S,0.0004096215163678085,0.000506968791280855,0.9104008034448657,5.00932333571592
12,t+12,B35_SO2,0.00017984595163935362,0.0002443925058020597,0.9560669866705823,11.15211297329448
13,t+13,B35_H2S,0.0004137672162109762,0.0005117472598544808,0.9087207975918422,5.06291506993982
13,t+13,B35_SO2,0.0001810948961052162,0.0002461325467813587,0.955462284836661,11.237892682853008
14,t+14,B35_H2S,0.00041775399331376727,0.0005163392479412522,0.9071048181123276,5.114845028258652
14,t+14,B35_SO2,0.00018227331353757556,0.00024777318383152397,0.9548883817113041,11.321756973106142
15,t+15,B35_H2S,0.00042171670694087166,0.0005207795865460154,0.9055307438507116,5.166559975091147
15,t+15,B35_SO2,0.00018304145315462043,0.0002487341141923002,0.9545585360210952,11.393841198315325
16,t+16,B35_H2S,0.00042554232613907305,0.0005251071620268588,0.9039924500942541,5.216801848745047
16,t+16,B35_SO2,0.00018386061072867333,0.0002496679130174974,0.9542362208078617,11.470340927106465
17,t+17,B35_H2S,0.0004294093894725814,0.0005294286816955415,0.9024406671832252,5.268259016187945
17,t+17,B35_SO2,0.00018483377290296282,0.00025084659258006124,0.9538222737431777,11.555431163798376
18,t+18,B35_H2S,0.0004326159680227879,0.000533858662258233,0.9008179749703364,5.313557494047856
18,t+18,B35_SO2,0.00018588376726076214,0.00025195068109483404,0.9534331192075287,11.637802363536073
