Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.00027710754284214327,0.00034959127508632965,0.9573974437210837,3.3855204077839423
1,t+1,B35_SO2,0.00012059730169075735,0.00016125132796891074,0.9807628281478884,7.739621573428766
2,t+2,B35_H2S,0.0003105286478956593,0.0003916900626347047,0.9465183124690848,3.79679055251992
2,t+2,B35_SO2,0.0001282518022211649,0.00017113383562701617,0.9783430012336566,8.193709995693279
3,t+3,B35_H2S,0.00032338448223021894,0.0004083075858583945,0.9418823863831949,3.954382905885944
3,t+3,B35_SO2,0.0001320013474453765,0.00017627552761753271,0.9770336126697636,8.438274950407287
4,t+4,B35_H2S,0.00033322027617546055,0.000421107135049395,0.9381782047919921,4.072784706402611
4,t+4,B35_SO2,0.0001354522062773541,0.0001808436850915715,0.9758404068591554,8.674324700083586
5,t+5,B35_H2S,0.0003425630117419303,0.0004332267914836802,0.9345628399901014,4.185772932983765
5,t+5,B35_SO2,0.00013889811842224292,0.0001854838879684848,0.9745981456396348,8.911064892137881
6,t+6,B35_H2S,0.0003509269284855012,0.00044386534107981776,0.9313050353224513,4.287900714100969
6,t+6,B35_SO2,0.00014228098192070178,0.00018999195482727161,0.9733622800226014,9.138426049358957
7,t+7,B35_H2S,0.0003578670691372785,0.00045255911488857825,0.9285849814237965,4.372790445316533
7,t+7,B35_SO2,0.00014540015078331843,0.00019416592923870884,0.9721931645321592,9.345348451394202
8,t+8,B35_H2S,0.00036364784389178543,0.0004597692837315014,0.9262886400970061,4.443563799695939
8,t+8,B35_SO2,0.00014821056030742954,0.0001980969880741483,0.9710707185884856,9.527302887683716
9,t+9,B35_H2S,0.00036890630877717815,0.00046640198837508926,0.924146773117909,4.507943036198602
9,t+9,B35_SO2,0.0001509020833041739,0.00020181387498654883,0.9699910358799836,9.700232873732926
10,t+10,B35_H2S,0.0003737700524896145,0.00047260530066041705,0.9221204176390668,4.567810232923404
10,t+10,B35_SO2,0.00015339888765219018,0.00020529591761491039,0.968964274637638,9.859736515128768
11,t+11,B35_H2S,0.0003780026985003831,0.000477999366079981,0.9203410644443965,4.620164005836003
11,t+11,B35_SO2,0.0001553143694019538,0.00020824978899271107,0.9680829167918248,9.986649754413994
12,t+12,B35_H2S,0.0003814625815800045,0.00048249330460375494,0.9188433247067153,4.663200507697607
12,t+12,B35_SO2,0.00015672839989348125,0.00021051871977297327,0.9674015715030828,10.083047940311001
13,t+13,B35_H2S,0.0003842229095839322,0.00048610616355064805,0.9176387289699371,4.697555984532124
13,t+13,B35_SO2,0.00015761390235008758,0.00021216376488868727,0.9669072948813487,10.14438333918486
14,t+14,B35_H2S,0.00038650204619543495,0.0004891621747805223,0.9166263820183755,4.726812936807372
14,t+14,B35_SO2,0.00015820922086722875,0.0002135411978296558,0.9664924130738352,10.189287973548291
15,t+15,B35_H2S,0.00038847458316658315,0.0004919908725938718,0.9156865845604335,4.752740169582151
15,t+15,B35_SO2,0.00015871995109265904,0.00021470428032378117,0.9661418665116495,10.225455405788326
16,t+16,B35_H2S,0.0003904847094468424,0.0004947540492778169,0.914770838082985,4.7798197563280835
16,t+16,B35_SO2,0.0001593651854760776,0.0002159006207038481,0.9657780934275267,10.270322917544927
17,t+17,B35_H2S,0.0003926161163240877,0.0004975753885583189,0.9138269087626818,4.808425545475396
17,t+17,B35_SO2,0.00016030832062351898,0.0002173919631949714,0.9653180824224563,10.32830077348477
18,t+18,B35_H2S,0.0003946042381969118,0.0005002871161131252,0.9128998263763725,4.835446155789285
18,t+18,B35_SO2,0.0001610408142934874,0.0002185921487305917,0.9649478070829071,10.381955593704758
