Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.00028739876588127546,0.0003706375740447683,0.9482015553517248,3.36259196964995
1,t+1,B35_SO2,0.00012256992860481273,0.00017282302340552256,0.9791748683299011,8.401834803706757
2,t+2,B35_H2S,0.00032258816504224203,0.0004136455627227975,0.9354882825074206,3.77643859779547
2,t+2,B35_SO2,0.00013001866163209988,0.00018269069434728732,0.9767467295201142,8.908604871655536
3,t+3,B35_H2S,0.0003367327858268442,0.000431292895640262,0.92987628353806,3.942056453962158
3,t+3,B35_SO2,0.0001333178307367632,0.00018664046502237696,0.9757486795336482,9.16994690459854
4,t+4,B35_H2S,0.00034803181774675145,0.00044527799395698285,0.925261802575616,4.073683774783491
4,t+4,B35_SO2,0.0001365115161879425,0.00019069914391396,0.9747014175167824,9.427210780964241
5,t+5,B35_H2S,0.0003593613327846543,0.0004594706249097244,0.9204283803007378,4.207070361233442
5,t+5,B35_SO2,0.00014016597666223225,0.00019556629927469947,0.9734136264842306,9.716896557158725
6,t+6,B35_H2S,0.0003699144634748652,0.00047233198690567723,0.915920062295734,4.331599432843809
6,t+6,B35_SO2,0.00014382226211688654,0.00020051041905655095,0.9720736349243069,10.002722479460777
7,t+7,B35_H2S,0.00037858713607404445,0.0004829866689341978,0.9121021088742399,4.433999619257364
7,t+7,B35_SO2,0.00014714461695720813,0.00020531878247261772,0.9707407151612505,10.271415477698635
8,t+8,B35_H2S,0.00038598668661902363,0.0004921627396839286,0.9087589511384312,4.52146106922102
8,t+8,B35_SO2,0.0001502751277449525,0.00021007670919044203,0.9693926109616327,10.520228174288754
9,t+9,B35_H2S,0.000392511957686358,0.0005004249714510354,0.905704230040318,4.598887839373569
9,t+9,B35_SO2,0.00015342945413197802,0.00021470503955784117,0.9680534224798752,10.759062933216326
10,t+10,B35_H2S,0.00039895249499002916,0.000508198204198712,0.9027899882286279,4.6751876703311614
10,t+10,B35_SO2,0.0001563663869735898,0.00021903867380139593,0.966775188309641,10.977276543074971
11,t+11,B35_H2S,0.0004043052645949129,0.0005145450439348803,0.9003865105172243,4.739162556137345
11,t+11,B35_SO2,0.0001586453850106658,0.00022271066895073062,0.9656763211775853,11.140853624154534
12,t+12,B35_H2S,0.00040873288220459126,0.0005193510729041605,0.8985491086510716,4.791994638820437
12,t+12,B35_SO2,0.0001604483074621112,0.00022537912678324823,0.964873553965989,11.276366427834187
13,t+13,B35_H2S,0.00041213502405062065,0.0005230307740864336,0.8971376921756661,4.833193109595023
13,t+13,B35_SO2,0.00016158279219927207,0.00022721046691907037,0.9643249026695336,11.366036645723907
14,t+14,B35_H2S,0.0004150077065939082,0.000526095326443637,0.8959442234710666,4.867888452011085
14,t+14,B35_SO2,0.00016227099325701356,0.00022854457351196775,0.9639290608524218,11.44018361009144
15,t+15,B35_H2S,0.00041780454072768206,0.0005290754909258075,0.8947655661585823,4.901856470826077
15,t+15,B35_SO2,0.00016289093007509467,0.0002298742978483767,0.963531841581757,11.496163293069372
16,t+16,B35_H2S,0.0004203701001577863,0.0005320851421788892,0.8935560096217211,4.933814036541204
16,t+16,B35_SO2,0.00016348903660045244,0.00023130131588072408,0.9631005559414507,11.541717880957938
17,t+17,B35_H2S,0.00042251943645723184,0.0005343979954560166,0.8926067956198396,4.962444238687352
17,t+17,B35_SO2,0.00016402295501577433,0.0002326999511462756,0.9626740169141916,11.55546345996863
18,t+18,B35_H2S,0.00042413434804558254,0.0005351416659206218,0.8922672446153354,4.986792215794182
18,t+18,B35_SO2,0.00016453647301873614,0.0002339922756058326,0.9622765311306118,11.54617974964511
