plot_type,case,horizon,variable,split,n_samples,MAE,RMSE,R2,MAPE
parity,R5,1,B35_H2S,train,1117,0.00028739876588127546,0.0003706375740447683,0.9482015553517248,3.36259196964995
parity,R5,1,B35_H2S,valid,109,0.00030111297997912235,0.00037406915452221706,0.9168147190987864,3.4239714930085228
parity,R5,1,B35_H2S,test,109,0.00025993864858730016,0.00031701769697818096,0.783091869963545,3.463992732067811
parity,R5,1,B35_H2S,all,1335,0.0002862764412008425,0.0003668383052593961,0.9464447150041917,3.3758826446684003
parity,R5,1,B35_SO2,train,1117,0.00012256992860481273,0.00017282302340552256,0.9791748683299011,8.401834803706757
parity,R5,1,B35_SO2,valid,109,7.585778341792613e-05,0.00010906405900290278,0.986388255851781,9.0028464492972
parity,R5,1,B35_SO2,test,109,0.00014681356846629713,0.00018105744035711613,0.7495881058860857,6.1956663426318626
parity,R5,1,B35_SO2,all,1335,0.00012073542142843157,0.00016922846993904785,0.9788595568165515,8.270777056225254
parity,R5-1,1,B35_H2S,train,1117,0.00027949400931106166,0.0003582012301987517,0.9765797874731826,3.024499456319784
parity,R5-1,1,B35_H2S,valid,109,0.0002475192712207686,0.0003130663628074187,0.7491481540418723,2.843631824845707
parity,R5-1,1,B35_H2S,test,109,0.0005183216116813537,0.0005929701297609247,0.945834019903233,4.950082666865099
parity,R5-1,1,B35_H2S,all,1335,0.0002963831195781177,0.00037956134828228,0.9730540137104735,3.1669518893675477
parity,R5-1,1,B35_SO2,train,1117,0.00016247377159703285,0.00022561238166568293,0.9821236530413845,8.7790337584858
parity,R5-1,1,B35_SO2,valid,109,0.00022150900177845317,0.0002676159019205215,0.6690887805352429,9.469373207643736
parity,R5-1,1,B35_SO2,test,109,0.00010043515661010067,0.0001437161631756504,0.9223275860604747,9.596700528819094
parity,R5-1,1,B35_SO2,all,1335,0.00016222855141441054,0.00022388144207745181,0.980554277511483,8.902159359927406
parity,R5-2,1,B35_H2S,train,1117,0.00028028246862855954,0.0003797520348966905,0.9405989999594303,3.0662118802545395
parity,R5-2,1,B35_H2S,valid,109,0.000376787834747262,0.00047834945069479093,0.8703564744589,3.9404927237251828
parity,R5-2,1,B35_H2S,test,109,0.0003629505830642722,0.0004691881763730203,0.5665246804456804,4.27502026184337
parity,R5-2,1,B35_H2S,all,1335,0.0002949116142318788,0.00039663428754425667,0.9314593414928682,3.236291824472879
parity,R5-2,1,B35_SO2,train,1117,0.00014391735438086834,0.00019134864850091314,0.9810882380143299,11.691420024598713
parity,R5-2,1,B35_SO2,valid,109,0.00010565214627808053,0.00013269952352154064,0.9642265788721693,19.553089748613434
parity,R5-2,1,B35_SO2,test,109,0.00016688072979925063,0.0002020875481887391,0.9312254916636696,12.148178546690945
parity,R5-2,1,B35_SO2,all,1335,0.00014266799126281575,0.00018816892151044977,0.9803154429132206,12.370602555554264
parity,R5-6,1,B35_H2S,train,1232,0.00027710754284214327,0.00034959127508632965,0.9573974437210837,3.3855204077839423
parity,R5-6,1,B35_H2S,valid,123,0.0003328887668112656,0.00044695434681376516,0.6396301784425275,4.186992276812538
parity,R5-6,1,B35_H2S,test,123,0.00037663171311274165,0.00045036586104242837,0.916835245571847,4.400267988150119
parity,R5-6,1,B35_H2S,all,1478,0.0002900321460163555,0.0003679361540316832,0.9495630799461322,3.5366672225847253
parity,R5-6,1,B35_SO2,train,1232,0.00012059730169075735,0.00016125132796891074,0.9807628281478884,7.739621573428766
parity,R5-6,1,B35_SO2,valid,123,0.00013291185364265425,0.00016533211044244113,0.8955232752182066,9.493588275731025
parity,R5-6,1,B35_SO2,test,123,0.00016624818343722054,0.00021743984175464474,0.8905982385541215,21.271941924932687
parity,R5-6,1,B35_SO2,all,1478,0.00012542121802695377,0.00016698405681076485,0.977619548145686,9.011755069787467
