plot_type,case,variable,split,n_samples,MAE,RMSE,R2,MAPE
rolling_time_series,R5,B35_H2S,train,1134,0.000415994583369221,0.0005275995983361992,0.8938644089004911,4.9092935284375905
rolling_time_series,R5,B35_H2S,valid,126,0.00036947708547217735,0.0004658948114628877,0.8743804716552595,4.261707373598217
rolling_time_series,R5,B35_H2S,test,126,0.0004010372854437514,0.00048179895542403435,0.45726946488379494,5.266901701530751
rolling_time_series,R5,B35_H2S,all,1386,0.0004104059655671743,0.0005182523283530031,0.8902354336830054,4.88293189373339
rolling_time_series,R5,B35_SO2,train,1134,0.0001818289147324814,0.0002578257354413186,0.9536089028852056,11.820775165502672
rolling_time_series,R5,B35_SO2,valid,126,0.00010484668823910925,0.0001521024693499077,0.982149748559124,8.75065609785669
rolling_time_series,R5,B35_SO2,test,126,0.00025478304172800285,0.00028854489138706784,0.27424241193170273,10.678995044501963
rolling_time_series,R5,B35_SO2,all,1386,0.00018146272386904044,0.0002531008250822775,0.9527514673330699,11.437875239262063
rolling_time_series,R5-1,B35_H2S,train,1134,0.00041199207414411204,0.0005321933559439132,0.94865698078951,4.4610047467356475
rolling_time_series,R5-1,B35_H2S,valid,126,0.0003904685478062032,0.00048089446191155056,0.34980224407409155,4.461216350776902
rolling_time_series,R5-1,B35_H2S,test,126,0.000740227635143847,0.0008320613448858494,0.8962788873631,7.358558228080233
rolling_time_series,R5-1,B35_H2S,all,1386,0.00043987498638609627,0.0005618681079583818,0.9401301509713457,4.724437936316178
rolling_time_series,R5-1,B35_SO2,train,1134,0.00021555867607916883,0.00030248078634088037,0.9675078599150271,11.64941516793674
rolling_time_series,R5-1,B35_SO2,valid,126,0.00033273920360714305,0.0004107390650989521,0.5444218041552413,15.090658127220852
rolling_time_series,R5-1,B35_SO2,test,126,0.0002031797060561546,0.00029019153200305795,0.7082822785326618,15.691534909440142
rolling_time_series,R5-1,B35_SO2,all,1386,0.00022508609039780151,0.00031281265665413844,0.9611586122501876,12.329720868008334
rolling_time_series,R5-2,B35_H2S,train,1134,0.0003893592027747033,0.0005315992285185128,0.886880607830582,4.245033976464098
rolling_time_series,R5-2,B35_H2S,valid,126,0.0004541031480143986,0.0005922593434979965,0.7804284944214587,4.756463144314444
rolling_time_series,R5-2,B35_H2S,test,126,0.0005675936251459346,0.0006865073035710448,0.2087817680636045,6.621220714506664
rolling_time_series,R5-2,B35_H2S,all,1386,0.0004114481452847875,0.0005531269019008178,0.867026933616712,4.507544513363454
rolling_time_series,R5-2,B35_SO2,train,1134,0.0002098235088959238,0.0002680071481519894,0.9623787793735025,15.970149757851482
rolling_time_series,R5-2,B35_SO2,valid,126,0.00011745739082988743,0.00014288564156327382,0.9564238504908089,18.982372318736036
rolling_time_series,R5-2,B35_SO2,test,126,0.0002547580051174367,0.00029722036340571254,0.9249785875340247,17.117249934628067
rolling_time_series,R5-2,B35_SO2,all,1386,0.00020551154327369441,0.000262021292357048,0.961736650097223,16.348270006729766
rolling_time_series,R5-6,B35_H2S,train,1249,0.00039336160910400075,0.0004966409629179274,0.9131744368843858,4.849485608068646
rolling_time_series,R5-6,B35_H2S,valid,140,0.00046203545837636645,0.0006275809086541768,0.21286023651399344,5.851090327675456
rolling_time_series,R5-6,B35_H2S,test,140,0.0005154728964149907,0.0006174750639874468,0.8609286512675098,6.083782225760209
rolling_time_series,R5-6,B35_H2S,all,1529,0.00041083049015152836,0.0005219744865776476,0.8993284589464001,5.0542116951986475
rolling_time_series,R5-6,B35_SO2,train,1249,0.00017655711041550178,0.00023978750719431485,0.9572674891771629,10.845754301675097
rolling_time_series,R5-6,B35_SO2,valid,140,0.0001919869264825658,0.00024247169186880784,0.8205404578218447,12.013863380419394
rolling_time_series,R5-6,B35_SO2,test,140,0.00017238834445843093,0.00024122086915184208,0.8596972855747617,18.53448305737718
rolling_time_series,R5-6,B35_SO2,all,1529,0.00017758820722086417,0.00024016599173021553,0.953391923910578,11.656713946424928
rolling_time_series,R5-11,B35_H2S,unknown,96,0.00047344313114330546,0.0005379171509438037,-0.04462758830852165,7.397778520485193
rolling_time_series,R5-11,B35_H2S,all,96,0.00047344313114330546,0.0005379171509438037,-0.04462758830852165,7.397778520485193
rolling_time_series,R5-11,B35_SO2,unknown,96,0.0010219640379369316,0.0011256677102308484,0.14440712560912738,16.85875051219739
rolling_time_series,R5-11,B35_SO2,all,96,0.0010219640379369316,0.0011256677102308484,0.14440712560912738,16.85875051219739
rolling_time_series,R5-12,B35_H2S,unknown,126,0.0028116941691584177,0.0031714236963915105,-5.808670843357827,17.455465222131288
rolling_time_series,R5-12,B35_H2S,all,126,0.0028116941691584177,0.0031714236963915105,-5.808670843357827,17.455465222131288
rolling_time_series,R5-12,B35_SO2,unknown,126,0.000587073619820415,0.0006757044681961152,0.8711970483704912,41.62652057241854
rolling_time_series,R5-12,B35_SO2,all,126,0.000587073619820415,0.0006757044681961152,0.8711970483704912,41.62652057241854
