Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.00016980857281431543,0.0002473558415122553,0.988245642597798,1.7089184585125785
1,t+1,B35_SO2,8.753136215558579e-05,0.00013252817142355165,0.9930306749912235,4.998003863471342
2,t+2,B35_H2S,0.00015287818616805017,0.00023820496534743187,0.9891038780492686,1.5047427484167275
2,t+2,B35_SO2,6.822021074880054e-05,9.804753691321631e-05,0.9961856776430836,4.311406771718195
3,t+3,B35_H2S,0.00014903783016201072,0.00023852019914645504,0.9890789981127515,1.4610265525032502
3,t+3,B35_SO2,6.486948334508284e-05,9.304176279865857e-05,0.9965654729598293,4.29277369032987
4,t+4,B35_H2S,0.00015766217213018406,0.0002523724207388757,0.987778521590434,1.5322375064073925
4,t+4,B35_SO2,6.390378467621513e-05,9.116407691048072e-05,0.9967029612083113,4.354599495911864
5,t+5,B35_H2S,0.00015430498604705067,0.00025131901006726783,0.9878846608681949,1.4985734423431536
5,t+5,B35_SO2,6.277176114959153e-05,8.703050098127258e-05,0.9969953933271082,4.311047367371238
6,t+6,B35_H2S,0.00015161320415086642,0.0002497363164647571,0.988040373588734,1.4772305667587713
6,t+6,B35_SO2,6.225123810209632e-05,8.555463366244771e-05,0.9970966317869192,4.268433720103506
7,t+7,B35_H2S,0.0001539415977009088,0.0002560818747186511,0.9874282425947278,1.5029345142402613
7,t+7,B35_SO2,6.365474869744325e-05,8.74409994406448e-05,0.9969674003154799,4.306698467340874
8,t+8,B35_H2S,0.00016181641940693421,0.0002688092235740225,0.9861510028712969,1.5751354279695342
8,t+8,B35_SO2,6.657065713751337e-05,9.03810669572273e-05,0.9967602884557946,4.591834589065324
9,t+9,B35_H2S,0.0001597196927056307,0.0002681848348195524,0.9862186558531681,1.5642359118786233
9,t+9,B35_SO2,6.690687793639311e-05,9.118644205258717e-05,0.9967025907204269,4.615415691598575
10,t+10,B35_H2S,0.00015930086930791317,0.0002682441762121501,0.9862154462462241,1.5700622981034917
10,t+10,B35_SO2,6.597763647404603e-05,9.184567200078347e-05,0.996655072630369,4.449004046392345
11,t+11,B35_H2S,0.0001628678899630681,0.00027463653925572496,0.9855529710243257,1.6102867284372058
11,t+11,B35_SO2,6.659949599462907e-05,9.269310966273121e-05,0.9965933944238712,4.550153952101973
12,t+12,B35_H2S,0.00016494199616164047,0.0002799688913680831,0.9849891486857081,1.6280354748997725
12,t+12,B35_SO2,6.724107340689303e-05,9.331684074340091e-05,0.996547703742127,4.759902945405544
13,t+13,B35_H2S,0.00016654710369907772,0.0002867777997929923,0.984252482012002,1.6400823399638356
13,t+13,B35_SO2,6.704226640715584e-05,9.349141894977315e-05,0.9965350425603492,4.779532726493134
14,t+14,B35_H2S,0.00017017190550904662,0.00029691692323754174,0.9831217654317966,1.6682927104167835
14,t+14,B35_SO2,6.793857931029006e-05,9.48028669431704e-05,0.9964373763016383,4.902334483397679
15,t+15,B35_H2S,0.0001715168320004498,0.0002994756454771932,0.9828303688993741,1.6822012504507493
15,t+15,B35_SO2,6.64116868573242e-05,9.216565157263319e-05,0.9966330098579567,4.718157485123806
16,t+16,B35_H2S,0.00017236365503357393,0.00029730799071074355,0.9830775994830159,1.7008612986403997
16,t+16,B35_SO2,6.628885071646148e-05,9.3284546549656e-05,0.9965509212481711,4.542618356486193
17,t+17,B35_H2S,0.0001832067586963705,0.00030827906458718993,0.9818045411100542,1.810379845594521
17,t+17,B35_SO2,7.208543343086092e-05,0.00010015458480589851,0.9960242924438156,4.93265399595491
18,t+18,B35_H2S,0.00020052513363055783,0.00032592040945574155,0.9796578951764471,1.9821483353614877
18,t+18,B35_SO2,7.831829059778472e-05,0.00010632767652973647,0.995519141431122,5.475559915844074
