Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.00013635797523751353,0.0001831401749397662,0.9862384718647287,1.6266040206201764
1,t+1,B35_SO2,7.209283636737401e-05,9.936036795329188e-05,0.9928701505716696,5.270930057407026
2,t+2,B35_H2S,0.00011170385896069048,0.00015140315017697707,0.9905953590810757,1.330037566390538
2,t+2,B35_SO2,5.6474381581438554e-05,7.782821910902454e-05,0.9956264530670772,4.2551269531644325
3,t+3,B35_H2S,0.00010726586369829268,0.00014644883143478994,0.9912023007276122,1.2784927065440825
3,t+3,B35_SO2,5.083426116309508e-05,7.049544259081027e-05,0.996412601525421,3.9035207469147135
4,t+4,B35_H2S,0.0001076296586978663,0.00015019143739562377,0.9907480469198099,1.2707520561425185
4,t+4,B35_SO2,4.84381596942138e-05,6.619926497682307e-05,0.9968373998625825,3.7770770889448
5,t+5,B35_H2S,0.00010833768621245275,0.00015367814322347586,0.9903156411224705,1.2770294425636948
5,t+5,B35_SO2,4.8303733650712706e-05,6.584956569339345e-05,0.996871611514353,3.762555366742794
6,t+6,B35_H2S,0.00010932704461691661,0.00015564164581623538,0.9900681346922032,1.2881922604859315
6,t+6,B35_SO2,4.9171029660770565e-05,6.707162910152478e-05,0.9967554126003012,3.833580879966992
7,t+7,B35_H2S,0.00011133816793047647,0.00015858514380533422,0.9896908215819238,1.3046792615079765
7,t+7,B35_SO2,4.995175489245005e-05,6.835107482965842e-05,0.9966314407080447,3.915857858929118
8,t+8,B35_H2S,0.00011475435082339341,0.0001661564386732399,0.9886867468345941,1.3370321079946061
8,t+8,B35_SO2,5.2005011382307085e-05,7.140139678952526e-05,0.9963250805091093,4.10495067912984
9,t+9,B35_H2S,0.00011736634182580539,0.00017009909663970608,0.9881465902294337,1.3675489229091264
9,t+9,B35_SO2,5.422113013149577e-05,7.491006102120642e-05,0.9959560833576045,4.191216314151111
10,t+10,B35_H2S,0.00011979576688300984,0.00017184961276912232,0.9879031495872355,1.4028053248133765
10,t+10,B35_SO2,5.6557452835954404e-05,7.808779194767111e-05,0.9956066204102624,4.228582481635301
11,t+11,B35_H2S,0.00012141220369228675,0.00017233420702858862,0.9878350436379221,1.4257761033365337
11,t+11,B35_SO2,5.773317840222042e-05,8.047114154871701e-05,0.995335029298633,4.296804620289187
12,t+12,B35_H2S,0.00012041599245485937,0.00017137417942957695,0.9879694043059394,1.4162425068310047
12,t+12,B35_SO2,5.806138228620599e-05,8.138162971024482e-05,0.9952293652658526,4.33284782915315
13,t+13,B35_H2S,0.00011937599537311455,0.0001706200460691766,0.9880743646812449,1.4001134920744955
13,t+13,B35_SO2,5.744598984918784e-05,8.229053505810028e-05,0.9951226092207726,4.286475002001606
14,t+14,B35_H2S,0.00011878879318883559,0.0001711998711920438,0.9879925127042473,1.392214066404476
14,t+14,B35_SO2,5.88269660775323e-05,8.428593017216279e-05,0.9948835465722126,4.401193710095277
15,t+15,B35_H2S,0.00012051148926251849,0.00017322114981432575,0.9877064868839205,1.415111219378295
15,t+15,B35_SO2,6.039599103692427e-05,8.723006358151946e-05,0.99452011211667,4.411054696315868
16,t+16,B35_H2S,0.00012289913846319045,0.00017515193538115552,0.9874289923613349,1.449302608104051
16,t+16,B35_SO2,6.287114846935377e-05,9.024773589728516e-05,0.9941344766861508,4.514394444205991
17,t+17,B35_H2S,0.0001277512966533172,0.00018040592857119096,0.9866598261374506,1.4968398244604502
17,t+17,B35_SO2,6.691650195155565e-05,9.404108845274706e-05,0.9936307461271446,4.866306904262717
18,t+18,B35_H2S,0.000135150279832386,0.00018859827076850178,0.9854140402854855,1.5833345054982975
18,t+18,B35_SO2,7.0884702114198e-05,9.819911859685686e-05,0.9930545462727507,5.211006569847221
