Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.00022817326563793686,0.000289837816087607,0.9683241756134765,2.6935627846700982
1,t+1,B35_SO2,0.00011001075762228632,0.00015407232997029284,0.9834486334635136,7.351325773812754
2,t+2,B35_H2S,0.00020311420238789348,0.00025631437575810996,0.975229898096677,2.416365805139544
2,t+2,B35_SO2,9.679727415227376e-05,0.00014136612529299438,0.9860767091131808,6.547698942601536
3,t+3,B35_H2S,0.00018921142320631987,0.000234428184354008,0.9792823752216451,2.2704076263365485
3,t+3,B35_SO2,9.122782562051787e-05,0.0001327410318353848,0.9877331190562826,6.108887072009614
4,t+4,B35_H2S,0.00019767782812491966,0.00024589317986632665,0.977208488928606,2.3658210795336165
4,t+4,B35_SO2,8.861349165333623e-05,0.00012791610912750166,0.9886171980538851,5.9969174270777
5,t+5,B35_H2S,0.00021605499251992467,0.0002683048595103746,0.9728668776948316,2.5779916146568462
5,t+5,B35_SO2,8.73702369626476e-05,0.0001244150890738439,0.9892398785512537,5.868455369835416
6,t+6,B35_H2S,0.00023026960460951324,0.00028848181947529474,0.9686357748903975,2.7360123778534398
6,t+6,B35_SO2,8.964271015285721e-05,0.00012526286118127162,0.9891010371176507,6.06149699993561
7,t+7,B35_H2S,0.00024142856483965331,0.0003077732311288754,0.9643080846105058,2.857825548268229
7,t+7,B35_SO2,9.038610116234858e-05,0.00012569361389681865,0.9890343906671087,6.282382467139003
8,t+8,B35_H2S,0.00025726062651491817,0.00032536484648163064,0.9601237727451659,3.040519020661958
8,t+8,B35_SO2,9.161411391451761e-05,0.00012644921783754295,0.9889107349481343,6.37468165199126
9,t+9,B35_H2S,0.00027078385249826043,0.0003417523624342331,0.956021813696165,3.1988694385078293
9,t+9,B35_SO2,9.379943131779721e-05,0.00012923638855942793,0.9884253068769069,6.572906182999471
10,t+10,B35_H2S,0.0002809668806154652,0.0003553505083263903,0.9524710057146317,3.3178581429981766
10,t+10,B35_SO2,9.726781525888063e-05,0.00013198510220725716,0.9879365716629183,6.801709141501173
11,t+11,B35_H2S,0.0002923005124211003,0.00036786692793274443,0.9490841679793395,3.450085329813113
11,t+11,B35_SO2,0.00010013312071696686,0.00013341544104056595,0.9876824602041583,7.052551255987136
12,t+12,B35_H2S,0.0003037651229284992,0.0003815783863736117,0.9452352216716828,3.5750764575631635
12,t+12,B35_SO2,9.933579628768101e-05,0.0001324872284214292,0.9878617841914191,7.189476405764782
13,t+13,B35_H2S,0.0003149392001313781,0.0003955460652993335,0.9411703973354247,3.706332346332788
13,t+13,B35_SO2,0.0001037729727965748,0.00013928273055386324,0.9865938819358613,7.482317883494831
14,t+14,B35_H2S,0.0003229431977701636,0.00040812199302858374,0.937379388578276,3.7907114890125215
14,t+14,B35_SO2,0.00010636521511469514,0.0001408961096842944,0.9862907523291577,7.753679055656961
15,t+15,B35_H2S,0.000331968826408935,0.0004205103697646215,0.9335222976446322,3.886607610782876
15,t+15,B35_SO2,0.00010834360122492034,0.00014234262090405438,0.9860169176805731,8.015378080057852
16,t+16,B35_H2S,0.000340553055635806,0.0004337975409557708,0.9292489232305272,3.983717390515272
16,t+16,B35_SO2,0.0001125258914983212,0.00014733681883713362,0.9850277803318913,8.387663438845347
17,t+17,B35_H2S,0.0003493302268107296,0.0004475045353056032,0.9246918391740774,4.081375191258872
17,t+17,B35_SO2,0.00011620027646566589,0.00015244650286088513,0.9839803287381513,8.751431698511967
18,t+18,B35_H2S,0.0003586368387732259,0.00046137529668901014,0.9199209506145261,4.1844038050999846
18,t+18,B35_SO2,0.00012056095504168586,0.00016126783201024457,0.9820814001302125,8.878157445984316
