Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.0005938676163796037,0.0007641094248784645,0.775515139350011,6.708982716363542
1,t+1,B35_SO2,0.0004979662155408215,0.0007086261366119032,0.5866696404955427,27.48930001507469
2,t+2,B35_H2S,0.0005747854938049814,0.000725898320215054,0.7976904846962127,6.513333368791925
2,t+2,B35_SO2,0.0004874537542150315,0.0006823781355647546,0.6170927369286264,26.99560851437314
3,t+3,B35_H2S,0.000528279792685589,0.0006699513414452793,0.8279525691022878,5.984085029395353
3,t+3,B35_SO2,0.00043696828548494843,0.0006311531234872091,0.672729393761264,23.843245692495245
4,t+4,B35_H2S,0.0005217475035617282,0.0006587544656931041,0.8339585703868728,5.920594019031603
4,t+4,B35_SO2,0.0004297137537428062,0.0006323298673173523,0.6718111520237123,22.892596512536887
5,t+5,B35_H2S,0.000508758216442372,0.0006469797664065239,0.8401692130620088,5.754201809456021
5,t+5,B35_SO2,0.00042097810106449664,0.0006283558755193392,0.6762145352882902,22.126829968790787
6,t+6,B35_H2S,0.0005218607145508815,0.0006607762148952415,0.8335998953493566,5.9013541034816885
6,t+6,B35_SO2,0.00042685738099076264,0.000631792440330609,0.6729519248837568,22.59852037668843
7,t+7,B35_H2S,0.0005363699032393724,0.0006722537523752871,0.8280574008184645,6.082170058736789
7,t+7,B35_SO2,0.0004483286193934677,0.0006469815388690718,0.6573403978242665,23.951128754856118
8,t+8,B35_H2S,0.0005373314861881794,0.000670174861915221,0.8294171352451628,6.1076045346478764
8,t+8,B35_SO2,0.00045360189250593047,0.0006535595952616126,0.650644385905846,24.26759245037239
9,t+9,B35_H2S,0.0005279919265914906,0.0006539901401232278,0.837854050027058,6.021200866089749
9,t+9,B35_SO2,0.0004452021321069861,0.0006529045308312909,0.6516532554411087,23.431678095025337
10,t+10,B35_H2S,0.0005092289854347133,0.0006371356665667575,0.8464135956854872,5.790359373789827
10,t+10,B35_SO2,0.00044580933555508873,0.000658019113676108,0.646488657006568,23.263263529451013
11,t+11,B35_H2S,0.0005149306435550519,0.0006448314938725042,0.8430149355707693,5.8512673132625395
11,t+11,B35_SO2,0.0004546191864157069,0.0006679456204661249,0.6360643200188022,23.652510455242
12,t+12,B35_H2S,0.0005296301712387751,0.0006588953548478134,0.836448665352762,6.028270933067224
12,t+12,B35_SO2,0.0004662173179770388,0.0006766738153520549,0.6268229320195979,24.224631097560692
13,t+13,B35_H2S,0.0005286287541942819,0.0006565025278568734,0.8380238378003753,6.022525132649474
13,t+13,B35_SO2,0.0004732057993426676,0.000684535509194278,0.6184360253817941,24.60903341890862
14,t+14,B35_H2S,0.0005236054018194145,0.000649371504100432,0.8419187386630205,5.9707819591665725
14,t+14,B35_SO2,0.00046937467789517873,0.0006815265871773342,0.6221101704451454,24.39384372647808
15,t+15,B35_H2S,0.0005308694053222164,0.000655692573110761,0.839229834855943,6.06139588175854
15,t+15,B35_SO2,0.00046755974831336693,0.0006801874665435076,0.623918503787432,24.35784562791856
16,t+16,B35_H2S,0.0005371283561739509,0.0006646765216137332,0.8352296358932159,6.132164117723165
16,t+16,B35_SO2,0.0004627919932010733,0.0006769346791027147,0.6278196056168057,24.126303891393473
17,t+17,B35_H2S,0.0005460066312091852,0.0006748587295883818,0.8305517016538361,6.240036282689243
17,t+17,B35_SO2,0.00047868199685009645,0.0007023177562842499,0.5997210546050806,24.706642546789777
18,t+18,B35_H2S,0.0005167477282430583,0.000646277449708541,0.8449562546166678,5.900503161688499
18,t+18,B35_SO2,0.0004899473268233906,0.000729184468564297,0.5688564688818099,24.994681582179027
